ஆப்பிரிக்கா	Afrika
நெம்புகோல்	Hefboom
நியண்டர்தால் மனிதன்	Neanderthaler
சிங்கப்பூர் துரிதக் கடவு ரயில்	Metro van Singapore
அமில மழை	Zure regen
ஹோபார்ட்	Hobart (Australië)
1810கள்	1810-1819
பழைய கற்காலம்	Paleolithicum
டபிள்யூ. பி. யீட்சு	William Butler Yeats
விண்கலம்	Ruimtevaartuig
கார்ல் பென்ஸ்	Carl Benz
தேர்தல்	Verkiezing
மனௌசு	Manaus (gemeente)
யூஈஎஃப்ஏ கோப்பை வெற்றியாளர்கள் கோப்பை	Europacup II (voetbal)
மாரத்தான்	Marathon (sport)
உயிரணுக் கரு	Celkern
போர்ட்டோ அலெக்ரி	Porto Alegre (gemeente)
பெருக்கல் (கணிதம்)	Vermenigvuldigen
நியூ கினி	Nieuw-Guinea
தி ஃபாக்ஃசு அண்ட் தி ஃகௌண்ட்	Frank en Frey
எழுபது சீடர்கள்	Zeventig discipelen
திருத்தூதர் பணிகள்	Handelingen van de apostelen
புனித வெள்ளி	Goede Vrijdag
ஹென்றி கிரே	Henry Gray
வழக்கறிஞர்	Advocaat (beroep)
சிறைச்சாலை	Gevangenis
இழையம்	Weefsel (biologie)
உணர்வுப்பதிவுவாதம்	Impressionisme
பாகையா	Bahia (staat)
பஃபலோ (நியூ யோர்க்)	Buffalo (New York)
நிர்வாணக் கலை	Naakt (beeldende kunst)
அசோசியேட்டட் பிரெசு	Associated Press
சிலாவிக் மக்கள்	Slavische volkeren
திருத்தந்தையர்களின் பட்டியல்	Lijst van pausen
பெர்வேஸ் முஷாரஃப்	Pervez Musharraf
ஜிம் கேரி	Jim Carrey
ஜூலியா ராபர்ட்ஸ்	Julia Roberts
படை முகில்	Stratus
ஜான் வெயின்	John Wayne
இராசிச் சக்கரம்	Dierenriem
உப்புச் சுரங்கம்	Zoutmijn
ஆப்பிரிக்காவின் கொம்பு	Hoorn van Afrika
சுமோ மற்போர்	Sumo
சூரிய மண்டல உறுப்புகளின் பட்டியல்	Lijst van objecten in ons zonnestelsel
ஹீத் லெட்ஜர்	Heath Ledger
லிசா கெரார்டு	Lisa Gerrard
பொதுவுடைமை அறிக்கை	Manifest van de Communistische Partij
எடுவார்ட் மனே	Édouard Manet
டெபாய்	Debye (eenheid)
பெரிய ஆட்ரான் மோதுவி	Large Hadron Collider
துருவ ஒளி	Poollicht
தொல்லுயிர் எச்சம்	Fossiel
மைஸ்பேஸ்	Myspace
அடிவளிமண்டலம்	Troposfeer
ரே பிராட்பரி	Ray Bradbury
கிறிஸ்டினா ஃபெர்னாண்டஸ் தெ கிர்ச்னர்	Cristina Fernández de Kirchner
திருமுழுக்கு யோவான்	Johannes de Doper
அல் ஃபத்தான் மரைன் கோபுரங்கள்	Al Fattan Marine Towers
ஜெனிஃபர் லோபஸ்	Jennifer Lopez
டில்மா ரூசெஃப்	Dilma Rousseff
டெமட்டர்	Demeter (mythologie)
ஆதி (கணிதம்)	Oorsprong (wiskunde)
பியேர்	Pierre (South Dakota)
ஆல்பேர்ட்டோசோரஸ்	Albertosaurus
கழித்தல் (கணிதம்)	Aftrekken (wiskunde)
வித்து	Zaad (plant)
உருசியாவின் இரண்டாம் நிக்கலாசு	Nicolaas II van Rusland
சாண்ட்ரா புல்லக்	Sandra Bullock
நண்டு	Krabben
பிரித்தானிய நாட்டுப்பண்	God Save the Queen
பங்காசி	Benghazi (stad)
அறுவைச் சிகிச்சை	Chirurgie
நகைச்சுவை	Komedie
சிலுவை	Kruis (symbool)
கத்தரிக்கோல்	Schaar (gereedschap)
எட்வர்ட் ஜென்னர்	Edward Jenner
நீப்போ ஆறு	Dnjepr (rivier)
இயற்கை எரிவளி	Aardgas
பளிங்கு	Marmer
நஞ்சு	Vergif
டோரிஸ் லெசிங்	Doris Lessing
வயிற்றுப்போக்கு	Diarree
கார்சன் நகரம்	Carson City (Nevada)
அந்தமான் நிக்கோபார் தீவுகள்	Andamanen en Nicobaren
டம்போ	Dombo
ஏரிஸ்	Ares (mythologie)
வெர்னர் ஐசன்பர்க்	Werner Heisenberg
வெர்ஜீனியா வூல்ஃப்	Virginia Woolf
சிறுநீர்	Urine
1850கள்	1850-1859
நெஃபர்டீட்டீ	Nefertiti
இவா பெரோன்	Eva Perón
காரகாடித்தன்மைச் சுட்டெண்	PH
பெர்னம்புகோ	Pernambuco
டானியல் டீஃபோ	Daniel Defoe
அமெரிக்கப் புரட்சிப் போர்	Amerikaanse Onafhankelijkheidsoorlog
அன்ஹுயி மாகாணம்	Anhui
ஓபெல்	Opel
பன்னாட்டு ஒலிம்பிக் குழு	Internationaal Olympisch Comité
இசுகைப்	Skype
போர்ஷ்	Porsche
ஒலியனியல்	Fonologie
.இலங்கை	.lk
ஹரோல்ட் பிண்டர்	Harold Pinter
ரஷ்ய ரூபிள்	Russische roebel
ஒராங்குட்டான்	Orang-oetans
ஹிஸ்புல்லா	Hezbollah
டொபீகா	Topeka (Kansas)
திருப்பாடல்கள் (நூல்)	Psalmen
ராம் நாராயண்	Ram Narayan
சிபிலிசு	Syfilis
ராலீ	Raleigh (North Carolina)
பனித்துளி	Dauw
சோடோகான்	Shotokan
மனப்பித்து	Schizofrenie
செஞ்சதுக்கம்	Rode Plein
போசீடான்	Poseidon (mythologie)
இட்டாநகர்	Itanagar
அசிரியா	Assyrische Rijk
மார்ட்டின் ஸ்கோர்செசி	Martin Scorsese
ரஷ்யாவின் உட்குடியரசுகள்	Republieken van Rusland
அல் பசீனோ	Al Pacino
வேலைவாய்ப்பின்மை	Werkloosheid
டெமி லோவாடோ	Demi Lovato
கட்டிடம்	Gebouw
கருங்கல் (பாறை)	Graniet
முதலாம் ஹைலி செலாசி	Haile Selassie
மேக்கொங் ஆறு	Mekong
பொன்னாங் கழுகு	Steenarend
அலெப்போ	Aleppo (stad)
கன்	Caen
சோனி	Sony Corporation
உலோக நாணயம்	Munt (betaalmiddel)
சான் வான் (புவேர்ட்டோ ரிக்கோ)	San Juan (Puerto Rico)
பாபேல் கோபுரம்	Toren van Babel
விசையியல்	Mechanica
போரிஸ் பாஸ்ரர்நாக்	Boris Pasternak
பிக் பென்	Big Ben
தெற்கு அரைக்கோளம்	Zuidelijk halfrond
திமோதி டால்டன்	Timothy Dalton
ஆப்பெரா (உலாவி)	Opera (webbrowser)
பார்பேட்டா மாவட்டம்	Barpeta (district)
திரையரங்கு	Bioscoop
கிராமி விருது	Grammy Award
உலக நாடுகளின் மரபுச் சின்னங்கள்	Lijst van nationale heraldische wapens
ஐன்ரிக் ஏர்ட்சு	Heinrich Hertz
நிதியறிக்கை	Begroting
யொஹான்னெஸ் வெர்மீர்	Johannes Vermeer
என்றி பெக்கெரல்	Antoine Henri Becquerel
உந்தம்	Impuls (natuurkunde)
பரேலி பிரிவு	Bareilly (divisie)
அலிகார் பிரிவு	Aligarh (divisie)
ஆக்ரா பிரிவு	Agra (divisie)
ஏவூர்தி	Raket
பாசெட்டெரே	Basseterre
இதழ்	Tijdschrift
இருபடிச் சமன்பாடு	Vierkantsvergelijking
தேவாலய புனித வீரர்கள்	Tempeliers
புறவணியிழையம்	Epitheel
2011 கனடா நடுவண் அரசுத் தேர்தல்	Canadese federale verkiezingen 2011
பிரான்சு லிசித்து	Franz Liszt
பாபி ஃபிஷர்	Bobby Fischer
எட்வர்ட் டி போனோ	Edward de Bono
அமெரிக்கக் காற்பந்தாட்டம்	American football
நுண்ணறி அட்டை	Chipkaart
புளிங்காடி	Azijn
அகலப்பரப்பு காட்சி	Panorama (representatie)
அலைநீளம்	Golflengte
தாவீது அரசர்	Koning David
கியேடல்	Kurt Gödel
இனப்படுகொலை	Genocide
டெலிடபீசு	Teletubbies
எட்வர்ட் மண்ச்	Edvard Munch
ஃவெடரிக்கோ கார்சியா லோர்க்கா	Federico García Lorca
சூப்	Soep (voedsel)
ஹெஸ்டியா	Hestia (mythologie)
மைக்கல் ஜார்டன்	Michael Jordan
மார்க் ருஃப்பால்லோ	Mark Ruffalo
பாலே	Ballet
இரியோ டி செனீரோ (மாநிலம்)	Rio de Janeiro (staat)
கிப்ரால்ட்டர் பவுண்டு	Gibraltarees pond
கினி வளைகுடா	Golf van Guinee
லோப்சங் சங்கை	Lobsang Sangay
பனி வளைதடியாட்டம்	IJshockey
குர்திசுத்தான்	Koerdistan
மோவின் அளவுகோல்	Hardheidsschaal van Mohs
மூலம் (நோய்)	Aambei
பிணக்கூறு ஆய்வு	Autopsie
தி குட், தி பேட் அண்ட் தி அக்ளி	The Good, the Bad and the Ugly
ஹெர்மீஸ்	Hermes (mythologie)
நீதிமன்றம்	Rechtbank
வோலே சொயிங்கா	Wole Soyinka
ஓணான்	Bloedzuiger (hagedis)
லேவியர்	Leviticus
வேர்	Wortel (plant)
இசுட்டான்போர்டு பல்கலைக்கழகம்	Stanford-universiteit
லுட்விக் மீஸ் வான் டெர் ரோ	Ludwig Mies van der Rohe
மோல்	Mol (eenheid)
வில்லியம் பிளேக்	William Blake
விம்பிள்டன் கோப்பை	Wimbledon (tennistoernooi)
புளூட்டாக்	Plutarchus
பிராங்கு லம்பார்டு	Frank Lampard
மாப்பொருள்	Zetmeel
பயிண்ட்	BIND
செயிண்ட். ஜோர்ஜ்ஸ், கிரெனடா	Saint George's
பொருளியல் கூட்டுறவு மற்றும் வளர்ச்சிக்கான அமைப்பு	Organisatie voor Economische Samenwerking en Ontwikkeling
குழாய்	Buis (voorwerp)
ரோடொஸின் கொலோசஸ்	Kolossus van Rodos
நிக்கோலா போசின்	Nicolas Poussin
பைங்குடில் விளைவு	Broeikaseffect
சோனிபத்	Sonipat (stad)
தூத்துக்குடி	Thoothukudi (stad)
ஜூலியா கிலார்ட்	Julia Gillard
கால்-கை வலிப்பு	Epilepsie
பிஸ்கே விரிகுடா	Golf van Biskaje
கோக்கைன்	Cocaïne
ஆல்க்கேன்	Alkaan
டேவிடு இல்பேர்ட்டு	David Hilbert
ஓமின் விதி	Wet van Ohm
ஹிந்துஸ்தான் டைம்ஸ்	Hindustan Times
குடை	Paraplu
கொத்தமல்லி	Koriander
அரசியல்சட்ட முடியாட்சி	Constitutionele monarchie
லியூ சியாபோ	Liu Xiaobo
கைஃபா	Haifa
உளநிலைப் பகுப்பாய்வு	Psychoanalyse
போனீசியா	Fenicië
வார்சா உடன்பாடு	Warschaupact
இந்திய தேசியக் கொடி	Vlag van India
வெப் மாஸ்டர்	Webmaster
கின்னஸ் உலக சாதனைகள்	Guinness Book of Records
ஸ்டுவர்ட் தீவு	Stewarteiland
என்ட்ரிக் லொரன்சு	Hendrik Lorentz
பொன் விகிதம்	Gulden snede
கோவேறு கழுதை	Muildier/muilezel
கைதியின் குழப்பம்	Prisoner's dilemma
காஸ்ட்ரீஸ்	Castries (Saint Lucia)
புஜியான் மாகாணம்	Fujian (China)
இனக் குழு	Etniciteit
கருதுகோள்	Hypothese
விடுதலைக் கட்டுநர்	Vrijmetselarij
ஐரியக் கடல்	Ierse Zee
அக்கீலியஸ்	Achilles
ஜோசப் கோயபெல்ஸ்	Joseph Goebbels
நொதிப்பு	Fermentatie
கிராம்	Gram (eenheid)
கேன்சஸ் நகரம் (மிசூரி)	Kansas City (Missouri)
கலிமா	Sjahada
.சிங்கப்பூர்	.sg
உயர் இரத்த அழுத்தம்	Hypertensie
முதலாம் ஜஸ்டினியன்	Justinianus I
விண்மீன்களிடை ஊடகம்	Interstellair medium
மன்மோகன் சிங்	Manmohan Singh
றோசா பாக்ஸ்	Rosa Parks
பாபிலோனின் தொங்கு தோட்டம்	Hangende tuinen van Babylon
சிவப்பு பாண்டா	Kleine panda
சிறீ ஜெயவர்தனபுர கோட்டை	Sri Jayewardenapura Kotte
ஆகு பெயர்	Metonymie
டெமோக்கிரட்டிசு	Democritus
பன்னாட்டு அணுசக்தி முகமையகம்	Internationaal Atoomenergieagentschap
மியூசே ஆறு	Maas
பில்வாரா மாவட்டம்	Bhilwara (district)
பூநாரை	Phoenicopterus
தாகித்தி	Tahiti
கறுப்புச் சாவு	Zwarte Dood
இறைமை	Soevereiniteit
அன்வர் சாதாத்	Anwar Sadat
கதீஜா	Khadija
மேலியிக் அமிலம்	Maleïnezuur
திருவெளிப்பாடு (நூல்)	Openbaring van Johannes
தீப்பாறை	Stollingsgesteente
கழுதைப்புலி	Hyena's
குட்பெலாஸ்	Goodfellas
கிமு 399	399 v.Chr.
சுவான்சாங்	Xuanzang
கோபி பாலைவனம்	Gobi
டென்செல் வாஷிங்டன்	Denzel Washington
ஒத்தசொல்	Synoniem (taalkunde)
அசன்	Asan
தோமசு திரான்சிட்ரோமர்	Tomas Tranströmer
குடியுரிமை	Burgerschap
என்றி பெர்குசன்	Henri Bergson
குண்டி	Bil (anatomie)
கட்டில்	Bed
பக்கிங்காம் அரண்மனை	Buckingham Palace
விக் கட்சி (ஐக்கிய அமெரிக்கா)	Whig Party (Verenigde Staten)
ஏபெல் டாஸ்மான்	Abel Tasman
நீலத்திமிங்கிலம்	Blauwe vinvis
போங்கைகாவொன் மாவட்டம்	Bongaigaon (district)
ஆய்னான்	Hainan
மங்கள வார்த்தை செபம்	Weesgegroet
கரவாஜியோ	Caravaggio (schilder)
கசார் மாவட்டம்	Cachar (district)
வேலை (இயற்பியல்)	Arbeid (natuurkunde)
பின்யின்	Hanyu pinyin
மெல் கிப்சன்	Mel Gibson
அரிவாள்	Sikkel (werktuig)
குருத்து ஞாயிறு	Palmzondag
ஆய்வு	Wetenschappelijk onderzoek
இரைபோசோம்	Ribosoom
சல்லி புருதோம்	Sully Prudhomme
நீரியல்	Hydrologie
உரலி	Uniform Resource Locator
ஐரோப்பிய விண்வெளி நிறுவனம்	Europese Ruimtevaartorganisatie
எசுப்பானியா தேசிய காற்பந்து அணி	Spaans voetbalelftal
கூகிள் எர்த்	Google Earth
கற்குழம்பு	Magma (gesteente)
கோப்புப் பரிமாற்ற நெறிமுறை	File Transfer Protocol
பாரன்ஃகைட்	Fahrenheit
மேப்பிள்	Esdoorn (geslacht)
மாறும் அளவுப் பகுப்பாய்வு	Variantieanalyse
களிமண்	Klei
இங்கிலாந்தின் முதலாம் ரிச்சார்ட்	Richard I van Engeland
கார்கீவ்	Charkov
செபாஸ்டியன் வெட்டல்	Sebastian Vettel
கால்வாய் தீவுகள்	Kanaaleilanden
புன்னிலம்	Savanne (landschap)
கம்பளி	Wol
பி.டி.எவ்	Portable Document Format
கூம்பு	Kegel (ruimtelijke figuur)
மாரஞ்ஞோ	Maranhão (staat)
பண்டைய ஆங்கிலம்	Oudengels
கான் திரைப்பட விழா	Filmfestival van Cannes
நெபுலா	Nevels en gaswolken
அனைத்துலகத் தாய்மொழி நாள்	Internationale Moedertaaldag
அகிலத் தொடர் பாட்டை	Universal Serial Bus
கொக்கோ	Cacaoboom
சீயோனிசம்	Zionisme
வெண்குருதியணு	Witte bloedcel
மிகயில் ஷோலகவ்	Michail Sjolochov
ஆங்கிலேயர்	Engelsen (volk)
ஏவோ மொராலெஸ்	Evo Morales
தாலிபான்	Taliban
செபீல்டு	Sheffield
தர்ரங் மாவட்டம்	Darrang
யார்க்	York (Verenigd Koninkrijk)
குறிக்கோளுரை	Motto
தேமாஜி மாவட்டம்	Dhemaji (district)
பெர்ள்	Perl (programmeertaal)
திப்ருகார் மாவட்டம்	Dibrugarh (district)
அயர்ன் மெய்டன்	Iron Maiden
துப்ரி மாவட்டம்	Dhubri (district)
மற்போர்	Worstelen
கேட்டி பெர்ரி	Katy Perry
எரிமம்	Brandstof
ஹைலாகண்டி மாவட்டம்	Hailakandi (district)
எச். ஜி. வெல்ஸ்	Herbert George Wells
நிலப்படவரைவியல்	Cartografie
கோலாகட் மாவட்டம்	Golaghat (district)
கோல்பாரா மாவட்டம்	Goalpara (district)
பவளத் தீவு	Atol (geologie)
மசாலாப் பொருள்	Specerij
வெப்பமண்டலம்	Tropen (geografie)
சிந்துவெளி நாகரிகம்	Indusbeschaving
கரீம்கஞ்சு மாவட்டம்	Karimganj (district)
தாமஸ் மோர்	Thomas More
விஸ்லவா சிம்போர்ஸ்கா	Wisława Szymborska
கர்பி ஆங்கலாங்கு மாவட்டம்	Karbi Anglong (district)
மஞ்சள் (மூலிகை)	Curcuma longa
இலாமா	Lama (dier)
ஜேம்ஸ் கேமரன்	James Cameron
கீரா நைட்லி	Keira Knightley
எம்பி3	MP3
ஜோர்ஹாட் மாவட்டம்	Jorhat (district)
இணைச் சட்டம் (நூல்)	Deuteronomium
கோகராஜார் மாவட்டம்	Kokrajhar (district)
பலத்தீன தேசிய ஆணையம்	Palestijnse Autoriteit
கலப்பினம்	Hybride (biologie)
காட்டுப்பூனை	Moeraskat
நகாமோ மாவட்டம்	Nagaon (district)
எருமை (கால்நடை)	Waterbuffel
ஒலிம்பியா, வாஷிங்டன்	Olympia (Washington)
மரிகாவன் மாவட்டம்	Marigaon (district)
ஹான் சீனர்	Han-Chinezen
லக்கீம்பூர் மாவட்டம்	Lakhimpur (district)
தின்சுகியா மாவட்டம்	Tinsukia (district)
முஜாஹிதீன்	Moedjahedien
உயிர்க்கோளம்	Biosfeer
சோணித்பூர் மாவட்டம்	Sonitpur
சிவசாகர் மாவட்டம்	Sibsagar (district)
திமா ஹசாவ் மாவட்டம்	North Cachar Hills
நல்பாரி மாவட்டம்	Nalbari (district)
ஆட்ரி ஹெப்பர்ன்	Audrey Hepburn
போரோபுதூர்	Borobudur
பெலோ அரிசாஞ்ச்	Belo Horizonte (gemeente)
தாடி	Baard (haargroei)
லே ஆவர்	Le Havre
மடோ குரோசோ	Mato Grosso (staat)
முதலாம் கிரகோரி (திருத்தந்தை)	Paus Gregorius I
லீப் எரிக்சன்	Leif Eriksson
பெரும் மனத் தளர்ச்சிச் சீர்குலைவு	Depressie (klinisch)
தரவு	Gegeven
அப்துல்லா குல்	Abdullah Gül
இறைவாக்கினர்	Profeet
பட்டம்	Vliegeren
நிக்கோலஸ் கேஜ்	Nicolas Cage
முதலாம் கிளமெண்ட் (திருத்தந்தை)	Paus Clemens I
கேசுதிகிலியோன்	Castiglione delle Stiviere
கிருட்டிணன்	Krishna (god)
அரரியா மாவட்டம்	Araria (district)
மரபணு திடீர்மாற்றம்	Mutatie (biologie)
கியூபிசம்	Kubisme
திராயன் போர்	Trojaanse Oorlog
ஆக்ரா	Agra (India)
ஐரோப்பிய அணு ஆராய்ச்சி நிறுவனம்	CERN
மதில்	Muur (bouwsel)
எண்ணெய்	Olie
பருவப் பெயர்ச்சிக் காற்று	Moesson (regentijd)
பன்னாட்டு மன்னிப்பு அவை	Amnesty International
கட்டடக் கலைஞர்	Architect
அக்டோபர் புரட்சி	Oktoberrevolutie
பேசிக் (நிரல் மொழி)	BASIC
ஒவ்வாமை	Allergie
இவான் பாவ்லோவ்	Ivan Pavlov
இடவியல்	Topologie
கோல்டா மேயர்	Golda Meïr
1600கள்	1600-1609
சேர்ந்திசை	Orkest
பச்சை குத்துதல்	Tatoeage
குவார்ட்சு	Kwarts
அட்டை	Bloedzuigers
நிதியியல்	Financiën
ஆர்ட்டெமிஸ் கோயில்	Tempel van Artemis in Efeze
குறுஞ் செய்திகள்	Sms
எட்வின் ஹபிள்	Edwin Hubble
டெசுமான்ட் டுட்டு	Desmond Tutu
மின்பொறியியல்	Elektrotechniek
ஜார்ஜ் புஷ்	George Bush
குருதிவளிக்காவி	Hemoglobine
டெமி மூர்	Demi Moore
பேம்பி	Bambi (film)
நரம்பணு	Zenuwcel
அச்சு நாடுகள்	Asmogendheden
வறட்சி	Droogte
பிரான்ஸ் பேர்டினண்ட்	Frans Ferdinand van Oostenrijk-Este
ஹைன்ரிச் ஹிம்லர்	Heinrich Himmler
தோனெத்ஸ்க்	Donetsk
மிளகு	Peper
மாணிக்கம்	Robijn (korund)
பாங்கா மாவட்டம்	Banka (district)
எண்ணிக்கை (நூல்)	Numeri
காஷ்மீர்	Jammu en Kasjmir (gebied)
போசான்	Boson (deeltje)
சாம்பசி ஆறு	Zambezi
அய்கிடோ	Aikido
புனிதர்	Heilige (christendom)
அடிப்படைத் துகள்	Elementair deeltje
கெவின் ரட்	Kevin Rudd
இலைக்கன்	Korstmos
சேரா பேலின்	Sarah Palin
சமையலறை	Keuken (ruimte)
முதலை	Krokodillen
திரிபுக் கொள்கை விசாரணை	Inquisitie
பச்சையம்	Bladgroen
எலன் ஜான்சன் சர்லீஃப்	Ellen Johnson Sirleaf
எரடோசுதெனீசு	Eratosthenes
காப்பீடு	Verzekering
சுமையுந்து	Vrachtauto
யுன்னான்	Yunnan
சின்சினாட்டி	Cincinnati
இருபால்சேர்க்கை	Biseksualiteit
கிளின்ட் ஈஸ்ட்வுட்	Clint Eastwood
எபிகியூரசு	Epicurus
அமைப்பு	Organisatie
அலெக்சாந்திரியாவின் கலங்கரை விளக்கம்	Pharos van Alexandrië
இரியோ கிராண்டு டோ நார்த்	Rio Grande do Norte
பல்லுறுப்புக்கோவை	Polynoom
ரஷ்யாவின் கூட்டாட்சி அமைப்புகள்	Deelgebieden van Rusland
ஜாக்சன் 5	The Jackson 5
பீட்டர் புரூகல்	Pieter Bruegel de Oude
சார்லசு, வேல்சு இளவரசர்	Charles, prins van Wales
விக்டோரியா அருவி	Victoriawatervallen
முகௌக் கற்குகை	Mogao-grotten
செருமானியப் பேரரசு	Duitse Keizerrijk
தல்மூத்	Talmoed
சுல்தான்	Sultan (rang)
ஜே. எம். கோட்ஸி	John Maxwell Coetzee
வேக் தீவு	Wake (eiland)
டைம் (இதழ்)	Time (tijdschrift)
காற்றுத் திறன்	Windenergie
மல்கம் எக்ஸ்	Malcolm X
செருமனி தேசிய காற்பந்து அணி	Duits voetbalelftal
மிக்கைல் சாக்கஷ்விலி	Micheil Saakasjvili
பொம்பெயி	Pompeï
சிக்கிம் ஆளுநர்களின் பட்டியல்	Lijst van gouverneurs van Sikkim
கிராமிய இசை	Folk
ரூமி	Jalal ad-Din Rumi
அரிஸ்டாஃபனீஸ்	Aristophanes (blijspeldichter)
எம் டிவி	MTV (televisiezender)
காகம்	Corvus (geslacht)
1700கள்	1700-1709
அந்திரேயா (திருத்தூதர்)	Andreas (apostel)
டிஸ்கவரி தொலைக்காட்சி	Discovery Channel
திருத்தூதர் (கிறித்தவம்)	Apostel
உத்தராகண்ட் ஆளுநர்களின் பட்டியல்	Lijst van gouverneurs van Uttarakhand
கேயானு ரீவ்ஸ்	Keanu Reeves
ரிச்மண்ட் (வர்ஜீனியா)	Richmond (Virginia)
ஈசாப்	Aesopus
ஜஸ்டின் டிம்பர்லேக்	Justin Timberlake
சண்டிகர்	Chandigarh (unieterritorium)
முத்து	Parel
பெண் (பால்)	Vrouwelijk (biologie)
பூரான்	Duizendpoten
பிரித்தானிய இந்தியப் பெருங்கடல் மண்டலம்	Brits Indische Oceaanterritorium
படைப்பாக்கப் பொதுமங்கள்	Creative Commons
சீருடற்பயிற்சிகள்	Gymnastiek (sport)
இன ஒப்பாய்வியல்	Etnologie
போர்த்தலேசா	Fortaleza (gemeente)
அங்கோர் வாட்	Angkor Wat (tempel)
அமேடியோ அவகாதரோ	Amedeo Avogadro
இயற்கைத் தேர்வு	Natuurlijke selectie
கிணறு	Waterput
விலங்குக் காட்சிச்சாலை	Dierentuin
டோடோ	Dodo
பெருஞ்சீரகம்	Venkel
கே-2 கொடுமுடி	K2
மரகதம்	Smaragd
சார்புக் கோட்பாடு	Relativiteitstheorie
கடலியல்	Oceanografie
ஆன்டன் வான் லீவன்ஹூக்	Antoni van Leeuwenhoek
வீற்றிருக்கும் எருது	Sitting Bull
படிகம்	Kristal (natuurwetenschappen)
கொட்டொனௌ	Cotonou
மத்தேயு (திருத்தூதர்)	Matteüs (apostel)
பிரெஞ்சு ஓப்பன்	Roland Garros (tennistoernooi)
மம்மி	Mummie
ஓசனிச்சிட்டு	Kolibries
மாக் இயக்குதளம்	Mac OS
லைடன்	Leiden
ஏகபோகம்	Monopolie
கிவி (பறவை)	Apteryx
நீரகக்கரிமம்	Koolwaterstof
அப்பல்லோ 11	Apollo 11
கொலஸ்டிரால்	Cholesterol
காலுறை	Sok (kledingstuk)
தோமா முல்லர்	Thomas Müller (voetballer)
லூயிவில் (கென்டக்கி)	Louisville (Kentucky)
தோமா (திருத்தூதர்)	Tomas (apostel)
பிலிப்பு (திருத்தூதர்)	Filippus (apostel)
ஹெய்நான்	Henan (China)
அம்புரோசு	Ambrosius van Milaan
யோவான் கிறிசோஸ்தோம்	Johannes Chrysostomus
பெர்முடா முக்கோணம்	Bermudadriehoek
ஒன்பதாம் பயஸ் (திருத்தந்தை)	Paus Pius IX
பெஞ்சமின் நெத்தனியாகு	Benjamin Netanyahu
ஆந்த்ரெ இனியஸ்தா	Andrés Iniesta
பதினாறாம் கிரகோரி (திருத்தந்தை)	Paus Gregorius XVI
யசுனாரி கவபட்டா	Yasunari Kawabata
பத்தாம் பயஸ் (திருத்தந்தை)	Paus Pius X
பாலைவனச்சோலை	Oase
பொனெவெந்தூர்	Bonaventura
புருவம்	Wenkbrauw
புபொப 32	NGC 32
2010 எயிட்டி நிலநடுக்கம்	Aardbeving Haïti 2010
புபொப 33	NGC 33
மேடிசன்	Madison (Wisconsin)
வான்கோழி	Meleagris
புபொப 35	NGC 35
தொப்புள்	Navel
முதுகெலும்பிலி	Ongewervelden
கடவுச் சீட்டு	Paspoort
புபொப 36	NGC 36
புபொப 37	NGC 37
எடி மர்பி	Eddie Murphy (acteur)
புபொப 38	NGC 38
புபொப 39	NGC 39
அர்ஜென் ரொபென்	Arjen Robben
எடுவர்டு பூக்னர்	Eduard Buchner
சேலம் (ஒரிகன்)	Salem (Oregon)
பதின்மூன்றாம் லியோ (திருத்தந்தை)	Paus Leo XIII
புபொப 40	NGC 40
அசவாத்	Azawad
ஹமித் கர்சாய்	Hamid Karzai
யூதா ததேயு (திருத்தூதர்)	Judas Taddeüs
முதலாம் லியோ (திருத்தந்தை)	Paus Leo I
கிழிப்பர் ஜேக்	Jack the Ripper
முகம்மது யூனுஸ்	Muhammad Yunus
1740கள்	1740-1749
பர்த்தலமேயு (திருத்தூதர்)	Bartolomeüs (apostel)
பறவைக் காய்ச்சல்	Vogelpest
கிரிகோரி ரஸ்புடின்	Grigori Raspoetin
செபதேயுவின் மகன் யாக்கோபு	Jakobus de Meerdere
நசியான் கிரகோரி	Gregorius van Nazianze
யோவான் (திருத்தூதர்)	Johannes (apostel)
மத்தியா (திருத்தூதர்)	Mattias
அலெக்சாந்திரியா நகர அத்தனாசியார்	Athanasius van Alexandrië
அல்பேயுவின் மகன் யாக்கோபு	Jakobus (zoon van Alfeüs)
ரீஸ் விதர்ஸ்பூன்	Reese Witherspoon
டெர்க் நொவிட்ச்கி	Dirk Nowitzki
ஜெசிகா ஆல்பா	Jessica Alba
அலெக்சாந்திரியா நகர சிரில்	Cyrillus van Alexandrië
புனித தோமினிக்	Dominicus Guzman
தான் செட்சுமன்	Daniel Shechtman
வழங்கி	Server
ஜெஃப் ஹார்டி	Jeff Hardy
1500கள்	1500-1509
ஆண் (பால்)	Mannelijk (biologie)
இடைக் கற்காலம்	Mesolithicum
டேவ் பாடிஸ்டா	Dave Batista
துலொன்	Toulon
விசைப்பொறிகள்	Motor
அந்தியோக்கு இஞ்ஞாசியார்	Ignatius van Antiochië
ஹல்க் ஹோகன்	Hulk Hogan
வில்லியம் கோல்டிங்	William Golding
பிராம்ப்டன்	Brampton (Ontario)
ஆண்டர்ஸ் பேரிங் பிரீவிக்	Anders Behring Breivik
முதலாம் லியோனிடாசு	Leonidas I van Sparta
எசியோடு	Hesiodos
நிலவு மறைப்பு	Maansverduistering
ஜெரோம்	Hiëronymus van Stridon
செசாரியா நகர பசீல்	Basilius van Caesarea
நூர்சியாவின் பெனடிக்ட்	Benedictus van Nursia
