ਅਫ਼ਰੀਕਾ	Afrika
ਗੋਤਾਖੋਰੀ (ਖੇਡ)	Schoonspringen
ਰੂਸੀ ਭਾਸ਼ਾ	Russisch
ਘਰ	Thuis (woning)
ਵਲਾਦੀਮੀਰ ਪੂਤਿਨ	Vladimir Poetin
ਕਨੂੰਨ	Recht
ਸੰਵਿਧਾਨ	Grondwet
ਆਸੀਆਨ	ASEAN
ਸਾਖਾਲਿਨ	Sachalin
ਯੂਨਾਨ ਦਾ ਇਤਿਹਾਸ	Geschiedenis van Griekenland
ਓਪੈੱਕ	Organisatie van olie-exporterende landen
ਅੰਤਰਰਾਸ਼ਟਰੀ ਅਦਾਲਤ	Internationaal Gerechtshof
ਕੌਮਾਂਤਰੀ ਮਾਲੀ ਪੂੰਜੀ	Internationaal Monetair Fonds
੧੮੮੦	1880
ਯੂਨੈਸਕੋ	UNESCO
ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ	Wereldgezondheidsorganisatie
ਡਬਲਿਊ ਟੀ ਓ	Wereldhandelsorganisatie
ਕ੍ਰੀਮੀਆ	Krim
ਸਵਾਹਿਲੀ ਭਾਸ਼ਾ	Swahili
1897	1897
ਚੀਨੀ ਭਾਸ਼ਾ	Chinese talen
ਪਖਾਨਾ	Toilet
ਸਾਈਕੈਟਰੀ	Psychiatrie
ਕੋਸ਼ਾਣੂ	Cel (biologie)
ਲਹੂ	Bloed
ਟੁਲੂਜ਼	Toulouse (stad)
ਪਿੰਜਰ	Skelet
ਫੇਫੜਾ	Long (orgaan)
ਪੀਣ ਵਾਲਾ ਪਾਣੀ	Drinkwater
ਕਾਸਾਬਲਾਂਕਾ	Casablanca (stad)
ਬਲਗਾਰੀ	Bulgaars
ਸਿੱਖਿਆ ਸ਼ਾਸਤਰ	Pedagogiek
ਮੀਂਹ	Regen (neerslag)
ਪੌਣਪਾਣੀ	Klimaat
ਅਲ ਨੀਨੋ	El Niño (natuurverschijnsel)
ਸੰਸਾਰਕ ਤਾਪ	Opwarming van de Aarde
ਭੁਚਾਲ	Aardbeving
ਜ਼ੈੱਨ	Zen
ਅਮਰੀਕੀ ਅੰਗਰੇਜ਼ੀ	Amerikaans-Engels
ਅਨਾਦਿਰ	Anadyr (stad)
ਬਰਤਾਨਵੀ ਅੰਗਰੇਜ਼ੀ	Brits-Engels
ਮਾਊਸ	Muis (computer)
ਲਾਪਤੇਵ ਸਮੁੰਦਰ	Laptevzee
ਕੁਦਰਤੀ ਵਿਗਿਆਨ	Natuurwetenschap
ਸਰਗੇਈ ਆਈਜ਼ੇਂਸਤਾਈਨ	Sergej Eisenstein
ਅਕੀਰਾ ਕੁਰੋਸਾਵਾ	Akira Kurosawa
ਫ਼ਰੈਂਕਲਿਨ ਡੀ ਰੂਜ਼ਵੈਲਟ	Franklin Delano Roosevelt
ਇਬਨ ਸਿਨਾ	Avicenna
ਵਿੰਸਟਨ ਚਰਚਿਲ	Winston Churchill
ਨੈਲਸਨ ਮੰਡੇਲਾ	Nelson Mandela
ਮਾਰਟਿਨ ਲੂਥਰ ਕਿੰਗ, ਜੂਨੀਅਰ	Martin Luther King
ਗਿੰਪ	GIMP
ਪਾਚਕ ਰਸ	Enzym
ਪ੍ਰੋਟੀਨ	Proteïne
ਰੋਮਾ (ਲੋਕ)	Roma (volk)
ਕੁਦਰਤੀ ਤਬਾਹੀ	Natuurramp
ਅਮੀਨੋ ਤਿਜ਼ਾਬ	Aminozuur
ਹੜ੍ਹ	Overstroming
ਸੁਨਾਮੀ	Tsunami
ਜੁਆਲਾਮੁਖੀ	Vulkaan
ਬੱਦਲ	Wolk
ਤਰਕ ਸ਼ਾਸਤਰ	Logica
ਤਿਕੋਣਮਿਤੀ	Goniometrie
ਰੇਖਕੀ	Meetkunde
ਵਿਆਕਰਨ	Grammatica
ਤੇਲੁਗੂ ਭਾਸ਼ਾ	Telugu (taal)
ਵਾਯੂਮੰਡਲ	Atmosfeer (astronomie)
ਜਾਰਜੀਆਈ ਭਾਸ਼ਾ	Georgisch
ਅਰਥਸ਼ਾਸਤਰ	Economie
ਜਪਾਨੀ ਯੈੱਨ	Japanse yen
ਭਾਸ਼ਾ ਵਿਗਿਆਨ	Taalkunde
ਸ਼ਬਦ	Woord
ਧੁਨੀਮ	Foneem
ਉਚਾਰਖੰਡ	Lettergreep
ਲਿਪੀ	Schrift
ਅਰਬੀ ਵਰਣਮਾਲਾ	Arabisch alfabet
ਸਿਰਿਲਿਕ ਲਿਪੀ	Cyrillisch alfabet
ਹਾਂਗਗੁਲ	Hangul
ਲਾਤੀਨੀ ਲਿਪੀ	Latijns alfabet
ਸਾਹਿਤ	Literatuur
ਸ਼੍ਰੇਣੀ:ਫ੍ਰਾਂਸ	Categorie:Frankrijk
ਗਲਪ	Fictie
ਸ਼੍ਰੇਣੀ:ਸੰਗੀਤ	Categorie:Muziek
ਆਲਿਫ਼ ਲੈਲਾ	Duizend-en-een-nacht
ਨਾਵਲ	Roman (literatuur)
ਗੇਂਜੀ ਦੀ ਕਹਾਣੀ	Genji monogatari
ਗਿਲਗਾਮੇਸ਼	Gilgamesj-epos
ਮਾਂਗਾ	Manga (strip)
ਇਲੀਆਡ	Ilias
ਮਹਾਂਭਾਰਤ	Mahabharata
ਸ਼ਾਹਨਾਮਾ	Sjahnama
ਲੂੰਬੜੀ	Vossen
ਹੈਰੀ ਪੌਟਰ	Harry Potter (boekenreeks)
ਵਾਇਲਿਨ	Viool
.ac	.ac
ਸਿਕੰਦਰ ਮਹਾਨ	Alexander de Grote
ਸਮਾਜ	Maatschappij (wereld)
ਸੱਭਿਅਤਾ	Beschaving
ਸਿੱਖਿਆ	Onderwijs
ਟੱਬਰ	Familie (verwanten)
ਹੂਗੋ ਚਾਵੇਜ਼	Hugo Chávez
ਵਿਆਹ	Huwelijk
ਫ਼ਰਾਂਸੀਸੀ ਵਿਕੀਪੀਡੀਆ	Franstalige Wikipedia
ਗਰਭਪਾਤ	Abortus
ਮੌਤ ਦੀ ਸਜ਼ਾ	Doodstraf
ਮਨੁੱਖੀ ਹੱਕ	Rechten van de mens
ਨਸਲਵਾਦ	Racisme
ਗ਼ੁਲਾਮੀ	Slavernij
ਖ਼ਾਨਾਜੰਗੀ	Burgeroorlog
ਆਮੂ ਦਰਿਆ	Amu Darja
ਪਹਾੜ	Berg (landvorm)
2008 ਓਲੰਪਿਕ ਖੇਡਾਂ	Olympische Zomerspelen 2008
ਸੁਨ ਯਾਤ ਸਨ	Sun Yat-sen
ਅਸ਼ੋਕ	Asoka
ਅਕਬਰ	Akbar de Grote
ਸਿਮੋਨ ਬੋਲੀਵਰ	Simón Bolívar
ਹਾਂਗਕਾਂਗ	Hongkong
ਕਰਾਚੀ	Karachi
ਅਰਬ-ਇਜ਼ਰਾਇਲੀ ਟਾਕਰਾ	Arabisch-Israëlisch conflict
ਲਾਗੋਸ	Lagos (Nigeria)
ਰਿਓ ਡੀ ਜਨੇਰੋ	Rio de Janeiro (stad)
ਬਰਤਾਨਵੀ ਸਾਮਰਾਜ	Britse Rijk
ਰਿਆਲ ਮਾਦਰੀਦ ਫੁੱਟਬਾਲ ਕਲੱਬ	Real Madrid CF
ਠੰਢੀ ਜੰਗ	Koude Oorlog
ਸਿਓਲ	Seoel
ਸ਼ੰਘਾਈ	Shanghai
ਅਥਲੇਟਿਕ ਕਲੱਬ ਬਿਲਬੂ	Athletic Bilbao
ਸੱਭਿਆਚਾਰਕ ਇਨਕਲਾਬ	Culturele Revolutie
ਆਰਥਿਕ ਮੰਦਵਾੜਾ	Grote Depressie
ਅਥਲੇਟਿਕੋ ਮਾਦਰੀਦ	Atlético Madrid
ਵਾਲਟ ਡਿਜ਼ਨੀ	Walt Disney
ਇਸ਼ਬੀਲੀਆ	Sevilla (stad)
ਰੂਸੀ ਇਨਕਲਾਬ	Russische Revolutie
ਵਰਸਾਏ ਦੀ ਸੰਧੀ	Verdrag van Versailles (1919)
ਆਰਕੀਮਿਡੀਜ਼	Archimedes
ਵੀਅਤਨਾਮ ਜੰਗ	Vietnamoorlog
ਥਾਮਸ ਐਡੀਸਨ	Thomas Edison
ਅਲਬਾਨੀਆਈ ਭਾਸ਼ਾ	Albanees
ਮਾਈਕਲ ਫ਼ੈਰਾਡੇ	Michael Faraday
ਆਰ. ਸੀ. ਡੀ. ਐਸਪਾਞੋਲ	RCD Espanyol
ਆਰਮੇਨੀਆਈ ਭਾਸ਼ਾ	Armeens
ਯੂਕਰੇਨੀ ਭਾਸ਼ਾ	Oekraïens
ਗਰਾਨਾਦਾ	Granada (stad)
ਐਚਃ ਟੀਃ ਐਮਃ ਐਲਃ	HyperText Markup Language
ਵਾਲੈਂਸੀਆ	Valencia (stad)
ਕੰਨਿਆ ਤਾਰਾਮੰਡਲ	Maagd (sterrenbeeld)
ਨਰਤੁਰੰਗ ਤਾਰਾਮੰਡਲ	Centaur (sterrenbeeld)
ਕਰਕ ਤਾਰਾਮੰਡਲ	Kreeft (sterrenbeeld)
ਮਾਲਾਗਾ	Málaga (stad)
ਪਰਣਿਨ ਘੋੜਾ ਤਾਰਾਮੰਡਲ	Pegasus (sterrenbeeld)
ਸੱਤਿਆਜੀਤ ਰਾਏ	Satyajit Ray
ਸਟੀਵਨ ਸਪੀਲਬਰਗ	Steven Spielberg
ਸਪਤਰਿਸ਼ੀ	Grote Beer
ਮਾਰੀਓਂ ਕੋਤੀਯਾਰ	Marion Cotillard
ਮੋ ਯਾਨ	Mo Yan
ਮਾਕਸ ਪਲਾਂਕ	Max Planck
ਗੁਆਦਾਲਾਹਾਰਾ	Guadalajara (Jalisco)
ਸਵੀਡਿਸ਼ ਭਾਸ਼ਾ	Zweeds
ਡੈਨਿਸ਼ ਭਾਸ਼ਾ	Deens
ਨਿਕੋਲਾ ਟੈਸਲਾ	Nikola Tesla
ਮੁਹੰਮਦ ਇਬਨ ਮੂਸਾ ਅਲ-ਖ਼ਵਾਰਿਜ਼ਮੀ	Al-Chwarizmi
ਨਾਰਵੇਜੀਆਈ ਭਾਸ਼ਾ	Noors
ਚਾਣਕਿਆ	Chanakya
ਨੌਮ ਚੌਮਸਕੀ	Noam Chomsky
ਲਕਸਮਬਰਗੀ ਭਾਸ਼ਾ	Luxemburgs
ਚੈੱਕ ਭਾਸ਼ਾ	Tsjechisch
ਸਲੋਵਾਕ ਭਾਸ਼ਾ	Slowaaks
ਕਾਰਲ ਮਾਰਕਸ	Karl Marx
ਮਗਿਆਰ ਭਾਸ਼ਾ	Hongaars
ਵੋਲਟੇਅਰ	Voltaire
ਏਸਟੋਨਿਆਈ ਭਾਸ਼ਾ	Estisch
ਮੂਸਾ	Mozes
ਗਿਆਨ	Kennis
ਹਿੰਦੂ ਧਰਮ	Hindoeïsme
ਬੇਲਾਰੂਸੀ ਭਾਸ਼ਾ	Wit-Russisch
ਖੋਸੇ ਮੂਖੀਕਾ	José Mujica
ਤਾਬਾਰੇ ਵਾਸਕੇਸ	Tabaré Vázquez
ਦਮੀਤਰੀ ਮੈਂਡਲੀਵ	Dmitri Mendelejev
ਪਰਮਾਣੂ	Atoom
ਅਰਨਸਟ ਰਦਰਫ਼ੋਰਡ	Ernest Rutherford
ਪ੍ਰਕਾਸ਼	Licht
ਯੂਨਾਨੀ ਭਾਸ਼ਾ	Grieks
ਮਿੱਥ ਵਿਗਿਆਨ	Mythologie
ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ	Besturingssysteem
ਤਾਜ ਮਹਿਲ	Taj Mahal
ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ	Programmeertaal
ਈ-ਮੇਲ	E-mail
ਇੱਕ ਈਸ਼ਵਰਵਾਦ	Monotheïsme
ਜੋਸਿਪ ਬਰੋਜ਼ ਟੀਟੋ	Josip Broz Tito
ਆਤਮਾ	Ziel (filosofie)
ਮਾਲਟਾਈ ਭਾਸ਼ਾ	Maltees
ਫ਼ਾਰਸੀ ਭਾਸ਼ਾ	Perzisch
ਧਰਮ	Religie
ਕੋਰੀਅਨ ਭਾਸ਼ਾ	Koreaans
ਅਬਰਾਹਮ	Abraham
ਜਣਨ ਦੀ ਕਿਤਾਬ	Genesis (boek)
ਰੇਨੇ ਦੇਕਾਰਤ	René Descartes
ਮੰਦਾਰਿਨ ਭਾਸ਼ਾ	Mandarijn (taal)
ਵੀਅਤਨਾਮੀ ਭਾਸ਼ਾ	Vietnamees
ਸਟੈਚੂ ਆਫ਼ ਲਿਬਰਟੀ	Vrijheidsbeeld (New York)
ਖਮੇਰ ਭਾਸ਼ਾ	Khmer (taal)
ਲੁੰਬਿਨੀ	Lumbini (plaats)
ਸਿਗਮੰਡ ਫ਼ਰਾਇਡ	Sigmund Freud
ਥਾਈ ਭਾਸ਼ਾ	Thai (taal)
ਬਰਮੀ ਭਾਸ਼ਾ	Birmaans
ਜੈਨ ਧਰਮ	Jaïnisme
ਗਿਓਕ ਵਿਲਹੈਲਮ ਫ਼ਰੀਡਰਿਸ਼ ਹੇਗਲ	Georg Wilhelm Friedrich Hegel
ਮੰਗੋਲ ਭਾਸ਼ਾ	Mongools
ਬਾਕੂ	Bakoe
ਕਜ਼ਾਖ ਭਾਸ਼ਾ	Kazachs
ਕਿਰਗੀਜ਼ ਭਾਸ਼ਾ	Kirgizisch
ਵਿਸ਼ਵ ਵਿਰਾਸਤ ਟਿਕਾਣਾ	Werelderfgoedlijst
ਉਜ਼ਬੇਕ ਭਾਸ਼ਾ	Oezbeeks
ਯਹੂਦੀ ਧਰਮ	Jodendom
ਥਿੰਫੂ	Thimphu (stad)
ਬੰਦਰ ਸੇਰੀ ਬੇਗਵਾਨ	Bandar Seri Begawan
ਹਿਬਰੂ ਭਾਸ਼ਾ	Hebreeuws
ਅਜ਼ੇਰੀ ਭਾਸ਼ਾ	Azerbeidzjaans
ਸਰਬੀਆਈ ਭਾਸ਼ਾ	Servisch
ਦੀਲੀ	Dili (stad)
ਇਮੈਨੂਅਲ ਕਾਂਤ	Immanuel Kant
ਸਿੱਖੀ	Sikhisme
ਜਾਨ ਮੇਨਾਰਡ ਕੇਨਜ਼	John Maynard Keynes
ਵਿਆਂਗ ਚਾਨ	Vientiane (stad)
ਮੋਪਾਸਾਂ	Guy de Maupassant
ਮਾਲੇ	Malé
ਯੋਗਾਸਣ	Yoga
ਜਾਨ ਲਾਕ	John Locke (filosoof)
ਫ਼ਰੀਡਰਿਸ਼ ਨੀਤਸ਼ੇ	Friedrich Nietzsche
ਬਿਸ਼ਕੇਕ	Bisjkek
ਯਾਂ ਪਾਲ ਸਾਰਤਰ	Jean-Paul Sartre
ਦੁਸ਼ਾਂਬੇ	Doesjanbe
ਕਾਲਜਾ	Lever
ਗੁਰਦਾ	Nier (biologie)
ਐਡਮ ਸਮਿਥ	Adam Smith
ਮੈਕਸ ਵੈਬਰ	Max Weber (socioloog)
ਲੁਡਵਿਗ ਵਿਟਗਨਸਟਾਈਨ	Ludwig Wittgenstein
ਨਿੰਜਾ	Ninja
ਵਲਵਲਾ	Emotie
ਮਨੋਵਿਗਿਆਨ	Psychologie
ਤਿੰਬਕਤੂ	Timboektoe (stad)
ਮਹਾਂਸਾਗਰ	Oceaan
﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ	Victoria van het Verenigd Koninkrijk
ਗੌਤਮ ਬੁੱਧ	Gautama Boeddha
ਲੋਥਲ	Lothal
ਪੀਟ ਸੈਮਪਰਾਸ	Pete Sampras
ਵਿਰੋਧਵਿਕਾਸ	Dialectiek
ਮੁਹੰਮਦ	Mohammed
ਨੀਤੀ ਵਿਗਿਆਨ	Ethiek
ਗਿਆਨ ਮੀਮਾਂਸਾ	Kennistheorie
ਕਾਟੋ	Eekhoorns
ਸਚਿਨ ਤੇਂਦੁਲਕਰ	Sachin Tendulkar
ਯਥਾਰਥ	Werkelijkheid
ਏ ਪੀ ਜੇ ਅਬਦੁਲ ਕਲਾਮ	Abdul Kalam
ਬੀਬੀਸੀ	British Broadcasting Corporation
ਸ਼ਾਹਰੁਖ ਖਾਨ	Shahrukh Khan
ਸਲਮਾਨ ਖ਼ਾਨ	Salman Khan (acteur)
ਅਲ-ਗ਼ਜ਼ਾਲੀ	Al-Ghazali
ਕੈਟਰੀਨਾ ਕੈਫ਼	Katrina Kaif
ਮਾਰਟਿਨ ਲੂਥਰ	Maarten Luther
ਆਮਿਰ ਖ਼ਾਨ	Aamir Khan
ਅਮਿਤਾਭ ਬੱਚਨ	Amitabh Bachchan
ਸ਼ੀਆ ਇਸਲਾਮ	Sjiisme
ਕੈਥੋਲਿਕ ਗਿਰਜਾਘਰ	Rooms-katholieke Kerk
ਤਾਓਵਾਦ	Taoïsme
ਪਾਰਸੀ ਧਰਮ	Zoroastrisme
ਸੂਫ਼ੀਵਾਦ	Soefisme
ਸ਼ਿਰਾ	Ader (anatomie)
ਬੰਗਾਲੀ ਭਾਸ਼ਾ	Bengaals
ਚੈਲਸੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Chelsea FC
ਆਰਸਨਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Arsenal FC
ਘੰਡੀ	Strottenhoofd
ਜੋੜ (ਸਰੀਰੀ ਬਣਤਰ)	Gewricht
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ	Falklandeilanden
ਇਪ੍ਸਵਿਚ ਟਾਊਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Ipswich Town FC
ਧਮਣੀ	Slagader
A	A (letter)
ਕਰਨਲ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Kernel
ਮਾਈਕਲ ਸ਼ੂਮਾਕਰ	Michael Schumacher
ਲੂਇਸ ਹੈਮਿਲਟਨ	Lewis Hamilton
ਮੈਨ ਟਾਪੂ	Man (eiland)
ਨਿਊਯਾਰਕ ਟਾਈਮਜ਼	The New York Times
ਜੇ ਐੱਫ਼ ਕੈਨੇਡੀ	John F. Kennedy
B	B (letter)
ਆਨਰੇ ਦੇ ਬਾਲਜ਼ਾਕ	Honoré de Balzac
G	G (letter)
U	U (letter)
Z	Z (letter)
ਫ਼ਲੇਮੇਂਕੋ	Flamenco
F	F (letter)
J	J (letter)
ਵਰਨਮਾਲਾ	Alfabet
ਅੱਖਰ	Letter
ਰੇਗੇ	Reggae
T	T (letter)
C	C (letter)
R	R (letter)
D	D (letter)
ਕੋਇੰਬਟੂਰ	Coimbatore (stad)
ਅਲਫ਼ਾ	Alfa (letter)
ਓਮੇਗਾ	Omega (letter)
I	I (letter)
ਮਿਊ (ਅੱਖਰ)	Mu (letter)
E	E (letter)
H	H (letter)
K	K (letter)
L	L (letter)
M	M (letter)
N	N (letter)
O	O (letter)
P	P (letter)
Q	Q (letter)
S	S (letter)
V	V (letter)
W	W (letter)
X	X (letter)
Y	Y (letter)
ਡੱਚ ਵਿਕੀਪੀਡੀਆ	Nederlandstalige Wikipedia
ਫਾਈ	Phi (letter)
ਟੀਪੂ ਸੁਲਤਾਨ	Tipoe Sultan
ਮੀਲ ਪੱਥਰ	Mijlpaal
ਰਾਹੁਲ ਗਾਂਧੀ	Rahul Gandhi
ਭਾਰਤੀ ਰਾਸ਼ਟਰੀ ਕਾਂਗਰਸ	Congrespartij
ਭਾਰਤੀ ਜਨਤਾ ਪਾਰਟੀ	Bharatiya Janata-partij
ਦਿਵਾਲੀ	Divali
ਪਲਾਜ਼ਮਾ	Plasma (aggregatietoestand)
ਹੋਲੀ	Holi-Phagwa
ਪਾਈਥਾਗੋਰਸ	Pythagoras
ਨਰਾਤੇ	Navratri
ਦੁਸਹਿਰਾ	Dashera
ਕੁੰਭ ਮੇਲਾ	Kumbh Mela
ਕੋਲੋਸੀਅਮ	Colosseum
ਤਾਰਾਗੋਤਾ	Zaragoza (stad)
ਰਿਆਲ ਸੋਸੀਏਦਾਦ	Real Sociedad
ਸਿਵਿਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Sevilla FC
ਵਾਲੈਂਸੀਆ ਕਲੱਬ ਦੀ ਫੁੱਟਬਾਲ	Valencia CF
ਉੱਤਰਕਿਰੀਟ ਤਾਰਾਮੰਡਲ	Noorderkroon
ਕਬੂਤਰ ਤਾਰਾਮੰਡਲ	Duif (sterrenbeeld)
ਇਕਊਲੀਅਸ	Veulen (sterrenbeeld)
ਫੀਨਿਕਸ ਤਾਰਾਮੰਡਲ	Phoenix (sterrenbeeld)
ਖ਼ਰਗੋਸ਼ ਤਾਰਾਮੰਡਲ	Haas (sterrenbeeld)
ਕਰਾਇਨਾ ਤਾਰਾਮੰਡਲ	Kiel (sterrenbeeld)
ਐਂਤਲਿਆ ਤਾਰਾਮੰਡਲ	Luchtpomp (sterrenbeeld)
ਡੇਵਿਡ ਬੈਕਮ	David Beckham
ਰਾਯਨ ਗਿੱਗਸ	Ryan Giggs
ਵ੍ਰਸ਼ ਤਾਰਾਮੰਡਲ	Stier (sterrenbeeld)
ਵਿਕਾਰਾਗ ਰੋਡ	Vicarage Road
ਕਾਰਡਿਫ਼	Cardiff
ਮਿਆਦੀ ਪਹਾੜਾ	Periodiek systeem
ਥੋਸ਼ਾਊਨ	Tórshavn
ਜਾਰਜਟਾਊਨ, ਗੁਇਆਨਾ	Georgetown (Guyana)
ਖ਼ੁਦਕੁਸ਼ੀ	Zelfmoord
ਡੀਵੈਨ ਜਾਨਸਨ	Dwayne Johnson
ਕੁਤਰਦੰਦੀ ਜੀਵ	Knaagdieren
ਕਬੂਤਰ	Duiven (vogels)
ਬੈਕਟੀਰੀਆ	Bacteriën
ਰੁੱਖ	Boom (plant)
ਲੈਮਡਾ	Lambda
ਇਨਕਲਾਬ	Revolutie
ਪਨੀਰ	Kaas
ਟਾਈਗਰ ਵੁਡਜ਼	Tiger Woods
ਆਲੂ	Aardappel
ਸ਼ੱਕਰ	Tafelsuiker
ਸਬਜੀ	Groente
ਰੋਬੋਟ	Robot
ਟੈਕਨਾਲੋਜੀ	Technologie
ਪੇਚ	Schroef (verbinding)
ਇੰਜੀਨੀਅਰੀ	Engineering
ਜਾਣਕਾਰੀ	Informatie
ਸੱਭਿਆਚਾਰ	Cultuur
ਹਿੰਦੁਸਤਾਨੀ ਭਾਸ਼ਾ	Hindoestani
ਸੰਸਕ੍ਰਿਤ ਭਾਸ਼ਾ	Sanskriet
ਅਲਜ਼ਾਈਮਰ ਰੋਗ	Ziekte van Alzheimer
ਪਾਰਕਿਨਸਨ ਰੋਗ	Ziekte van Parkinson
ਇਬਨ ਅਲ-ਹੀਸ਼ਮ	Alhazen
ਦ ਗਾਰਡੀਅਨ	The Guardian (krant)
ਤਿਜ਼ਾਬ	Zuur (scheikunde)
ਰਸਾਇਣਕ ਯੋਗ	Samengestelde stof
ਔਸ਼ਧੀ ਵਿਗਿਆਨ	Geneeskunde
ਖ਼ਾਰ	Base (scheikunde)
ਸਾਰਾਯੇਵੋ	Sarajevo
ਲਘੂਗਣਕ	Logaritme
ਵਿਧਾਨ ਸਭਾ	Wetgevende macht
ਗਿਣਤੀ	Rekenen
ਸੰਵਿਧਾਨਕ ਕਨੂੰਨ	Staatsrecht
ਪੈਂਟਾਗਨ	Pentagon (Verenigde Staten)
ਗੁਣਕ ਪ੍ਰਬੰਧ	Coördinatenstelsel
ਲੂਣ	Keukenzout
ਫ਼ੀਦੇਲ ਕਾਸਤਰੋ	Fidel Castro
ਮਾਈਕਰੋਸਾਫਟ ਵਰਡ	Microsoft Word
ਕਿਊਬਾ ਦਾ ਇਨਕਲਾਬ	Cubaanse Revolutie
ਮੂੰਗੇ ਦੀਆਂ ਚਟਾਨਾਂ	Koraalrif
ਮੈਨਹੈਟਨ	Manhattan (New York)
ਰਸਾਇਣਕ ਤੱਤ	Chemisch element
ਸਮੀਕਰਨ	Vergelijking (wiskunde)
ਫੰਕਸ਼ਨ (ਹਿਸਾਬ)	Functie (wiskunde)
ਕਾਰਬਨੀ ਰਸਾਇਣ ਵਿਗਿਆਨ	Organische chemie
ਕੋਣ	Hoek (meetkunde)
ਕਾਰਬੋਹਾਈਡਰੇਟ	Koolhydraat
ਆਰੀਆਭੱਟ	Aryabhata
ਹਾਰਮੋਨ	Hormoon
ਅਣੂ	Molecuul
ਪ੍ਰਵੇਗ	Versnelling (natuurkunde)
ਸ਼ਿਵ	Shiva
ਊਰਜਾ	Energie
ਵਿਸ਼ਨੂੰ	Vishnoe
ਮੁਕਾਮੀ ਇਲਾਕਾ ਜਾਲ	Local area network
ਬਿਜਲਚੁੰਬਕੀ ਕਿਰਨ	Elektromagnetische straling
ਲਾਲਹੇਠ ਕਿਰਨ	Infrarood
ਪਰਾਬੈਂਗਣੀ ਕਿਰਨਾਂ	Ultraviolet
ਘਰੋਗੀਕਰਨ	Domesticatie
ਟਕਸਾਲੀ ਮਕੈਨਕੀ	Klassieke mechanica
ਜੀਵ ਵਿਗਿਆਨਕ ਵਰਗੀਕਰਨ	Taxonomie in de biologie
ਜ਼ੋਰ	Kracht
ਚੁੰਬਕੀ ਖੇਤਰ	Magnetisch veld
ਨਸਲੀ ਵਿਤਕਰਾ	Apartheid
ਗੁਰੂਤਾ ਖਿੱਚ	Zwaartekracht
ਤਕੜਾ ਮੇਲ-ਜੋਲ	Sterke kernkracht
ਜੰਗੀ ਕਲਾ	Vechtkunst
ਮਾੜਾ ਮੇਲ-ਜੋਲ	Zwakke kernkracht
ਕਰਾਟੇ	Karate
ਜੂਡੋ (ਖੇਡ)	Judo
ਚੁੰਬਕ	Magneet
ਪੁੰਜ	Massa (natuurkunde)
ਫ਼ਿਲਮ	Film (cinematografie)
ਧਾਤ	Metaal
ਨਿਊਕਲੀ ਫੱਟ	Kernsplijting
ਫੂ	Gas (aggregatietoestand)
ਤਰਲ	Vloeistof
ਠੋਸ	Vaste stof
ਸਮੁੰਦਰੀ ਜਹਾਜ਼	Schip (transportmiddel)
ਖੇਤੀਬਾੜੀ	Landbouw
ਕਪਾਹ	Katoen
ਪਹਿਰਾਵਾ	Kleding
ਹਲ	Ploeg (werktuig)
ਵੇਗ	Snelheid
ਤਾਪਮਾਨ	Temperatuur
ਨੈਨੋਤਕਨਾਲੋਜੀ	Nanotechnologie
ਸਮਾਂ	Tijd
ਕਾਗ਼ਜ਼	Papier
ਪਲਾਸਟਿਕ	Plastic
ਖ਼ਲਾਅ	Vacuüm
ਖੇਤਰਫਲ	Oppervlakte
ਪਾਈਥਾਗੋਰਸ ਥਿਊਰਮ	Stelling van Pythagoras
ਗਾਮਾ ਕਿਰਨ	Gammastraling
ਅੰਕ	Getal (wiskunde)
ਕੰਪਲੈਕਸ ਨੰਬਰ	Complex getal
ਡਾਰਵਿਨ, ਉੱਤਰੀ ਰਾਜਖੇਤਰ	Darwin (Australië)
ਕ੍ਰਿਸਟੀਆਨੋ ਰੋਨਾਲਡੋ	Cristiano Ronaldo
ਮੀਟਰ	Meter
ਸਕਿੰਟ	Seconde
ਮੱਕੀ	Mais
ਜੌਂ	Gerst
ਕੈਲਵਿਨ	Kelvin (eenheid)
ਚਿੱਤਰਕਾਰੀ	Schilderkunst
ਰੰਗ-ਮੰਚ	Theater (kunstvorm)
ਬਿਜਲਾਣੂ ਤਕਨਾਲੋਜੀ	Elektronica
ਚਲੰਤ ਬਿਜਲੀ	Elektrische stroom
ਵਾਰਵਾਰਤਾ	Frequentie
ਡਾਇਓਡ	Diode
ਬਣਾਉਟੀ ਮਸ਼ੀਨੀ ਬੁੱਧੀ	Kunstmatige intelligentie
ਮੌਸਮ	Weer (meteorologie)
ਮਾਰੀਆ ਸ਼ਾਰਾਪੋਵਾ	Maria Sjarapova
ਨਿੱਕੀ ਹੈਲੀ ਰੰਧਾਵਾ	Nikki Haley
ਵਾਲ ਸਟਰੀਟ	Wall Street
