Áfríkà	Afrika
Àsìá ilẹ̀ Láọ̀s	Vlag van Laos
Ẹ̀wádún 1680	1680-1689
Ẹ̀wádún 1610	1610-1619
Clive Dunn	Clive Dunn
191 SK	191 v.Chr.
Pópù Sylvester 3k	Paus Silvester III
Dadra àti Nagar Haveli	Dadra en Nagar Haveli
William Alfred Fowler	William Fowler
275 SK	275 v.Chr.
212 SK	212 v.Chr.
Erékùṣù Ascension	Ascension (eiland)
199 SK	199 v.Chr.
Ẹ̀wádún 1510	1510-1519
196 SK	196 v.Chr.
187 SK	187 v.Chr.
198 SK	198 v.Chr.
192 SK	192 v.Chr.
193 SK	193 v.Chr.
194 SK	194 v.Chr.
205 SK	205 v.Chr.
155 SK	155 v.Chr.
176 SK	176 v.Chr.
181 SK	181 v.Chr.
Gbohùngbohùn	Microfoon
Àwọn Agbègbè Òkèrè Brítánì	Britse overzeese gebieden
Bjørnstjerne Bjørnson	Bjørnstjerne Bjørnson
Constantius 2k	Constantius II
Ẹ̀bùn Pulitzer	Pulitzerprijs
167 SK	167 v.Chr.
166 SK	166 v.Chr.
174 SK	174 v.Chr.
165 SK	165 v.Chr.
Àsìá ilẹ̀ Nẹ́dálándì	Vlag van Nederland
208 SK	208 v.Chr.
Ivan Bunin	Ivan Boenin
160 SK	160 v.Chr.
161 SK	161 v.Chr.
164 SK	164 v.Chr.
182 SK	182 v.Chr.
173 SK	173 v.Chr.
172 SK	172 v.Chr.
Theodosius 1k	Theodosius I
178 SK	178 v.Chr.
175 SK	175 v.Chr.
Valentinian 1k	Valentinianus I
Constantine 2k	Constantijn II van Rome
Octavio Paz	Octavio Paz
Valerian (emperor)	Valerianus I
Claudius Gothicus	Claudius Gothicus
Maximian	Maximianus
.nc	.nc
.re	.re
Aurelian	Aurelianus
.vi	.vi
.sh	.sh
Wangari Maathai	Wangari Maathai
Raúl Castro	Raúl Castro
Flavius Valerius Severus	Severus II
Numerian	Numerianus
Àsìá ilẹ̀ Austríà	Vlag van Oostenrijk
Hostilian	Hostilianus
Diadumenian	Diadumenianus
Valentinian 2k	Valentinianus II
Erékùṣù Baker	Baker (eiland)
154 SK	154 v.Chr.
Max Theiler	Max Theiler
132 SK	132 v.Chr.
170 SK	170 v.Chr.
157 SK	157 v.Chr.
111 SK	111 v.Chr.
114 SK	114 v.Chr.
220 SK	220 v.Chr.
163 SK	163 v.Chr.
162 SK	162 v.Chr.
280 SK	280 v.Chr.
134 SK	134 v.Chr.
Saint-Denis, Réunion	Saint-Denis (Réunion)
Aishwarya Rai	Aishwarya Rai
.vg	.vg
Pópù Linus	Paus Linus
Pópù Sylvester 1k	Paus Silvester I
Ìgbà Tríásíkì	Trias
Romain Rolland	Romain Rolland
Ẹ̀bùn Ìṣèrántí Nobel nínú àwọn Sáyẹ́nsì Ọ̀rọ̀-Òkòwò	Prijs van de Zweedse Rijksbank voor economie
218 SK	218 v.Chr.
118 SK	118 v.Chr.
138 SK	138 v.Chr.
Forint	Hongaarse forint
135 SK	135 v.Chr.
128 SK	128 v.Chr.
270 SK	270 v.Chr.
Condoleezza Rice	Condoleezza Rice
Ọjọ́ọ̀bí	Verjaardag
.pr	.pr
Elfriede Jelinek	Elfriede Jelinek
J. J. Thomson	Joseph John Thomson
287 SK	287 v.Chr.
216 SK	216 v.Chr.
300 SK	300 v.Chr.
Milton Friedman	Milton Friedman
158 SK	158 v.Chr.
127 SK	127 v.Chr.
117 SK	117 v.Chr.
Ponna	Ponna
153 SK	153 v.Chr.
125 SK	125 v.Chr.
108 SK	108 v.Chr.
124 SK	124 v.Chr.
Paul Dirac	Paul Dirac
André Gide	André Gide
Ilé-Ẹjọ́ Ìwàọ̀daràn Káríayé	Internationaal Strafhof
221 SK	221 v.Chr.
Ivo Andrić	Ivo Andrić
Massimo D'Alema	Massimo D'Alema
SQL	SQL
Nadine Gordimer	Nadine Gordimer
230 SK	230 v.Chr.
295 SK	295 v.Chr.
276 SK	276 v.Chr.
204 SK	204 v.Chr.
288 SK	288 v.Chr.
Catherine Zeta-Jones	Catherine Zeta-Jones
Ìwé Jóṣúà	Jozua (boek)
Rudolf Christoph Eucken	Rudolf Christoph Eucken
Aisan Down	Syndroom van Down
Mùsùlùmí	Moslim
Pópù Evaristus	Paus Evaristus
Imre Kertész	Imre Kertész
Blu-ray Disc	Blu-ray
.tf	.tf
Naoto Kan	Naoto Kan
Pratibha Patil	Pratibha Patil
339	339
340	340
Àsìá ilẹ̀ Fínlándì	Vlag van Finland
Mario Monti	Mario Monti
354	354
356	356
358	358
361	361
363	363
364	364
368	368
369	369
370	370
371	371
Àdàkọ:Commonscat	Sjabloon:Commonscat
376	376
377	377
378	378
Ẹ̀wádún 1780	1780-1789
383	383
384	384
388	388
389	389
390	390
391	391
392	392
Ẹ̀wádún 1730	1730-1739
393	393
394	394
395	395
396	396
397	397
398	398
Auferstanden aus Ruinen	Auferstanden aus Ruinen
399	399
Ẹ̀wádún 1540	1540-1549
Àsìá ilẹ̀ Jẹ́mánì	Vlag van Duitsland
297 SK	297 v.Chr.
330 SK	330 v.Chr.
Episteli sí àwọn ará Rómù	Brief van Paulus aan de Romeinen
293 SK	293 v.Chr.
Idi Amin Dada	Idi Amin
Dick Cheney	Dick Cheney
.pn	.pn
Medellín	Medellín (Colombia)
320 SK	320 v.Chr.
Yulia Tymoshenko	Joelia Tymosjenko
Martin Heidegger	Martin Heidegger
.nf	.nf
Erékùṣù Newfoundland	Newfoundland
Morgan Freeman	Morgan Freeman
Ilẹ̀ ọbalúayé	Wereldrijk
.su	.su
310 SK	310 v.Chr.
326 SK	326 v.Chr.
285 SK	285 v.Chr.
Àsìá ilẹ̀ Albáníà	Vlag van Albanië
Ife Ẹ̀yẹ Àgbáyé FIFA 1930	Wereldkampioenschap voetbal 1930
New Horizons	New Horizons
Voyager 2	Voyager 2
Ẹ̀wádún 1750	1750-1759
Ẹ̀wádún 1580	1580-1589
Ẹ̀wádún 1590	1590-1599
Mir	Mir (ruimtestation)
Osvaldo Dorticós Torrado	Osvaldo Dorticós Torrado
Gbọ̀ngàn Òfurufú Kennedy	Kennedy Space Center
Didier Drogba	Didier Drogba
Hermann Staudinger	Hermann Staudinger
Glenn T. Seaborg	Glenn Seaborg
Archer John Porter Martin	Archer John Porter Martin
Richard Laurence Millington Synge	Richard Laurence Millington Synge
Linus Pauling	Linus Pauling
Cyril Norman Hinshelwood	Cyril Norman Hinshelwood
Nikolay Semyonov	Nikolaj Semjonov
Whoopi Goldberg	Whoopi Goldberg
Nọ́mbà àkọ́kọ́	Priemgetal
Kurt Vonnegut	Kurt Vonnegut
Louis Farrakhan	Louis Farrakhan
Àwọn ọmọ Áfríkà Amẹ́ríkà	Afro-Amerikanen
Charles Taylor (Liberia)	Charles Taylor (president)
Brookline, Massachusetts	Brookline (Massachusetts)
Quincy, Massachusetts	Quincy (Massachusetts)
279	279
440	440
517	517
572	572
Dan Quayle	Dan Quayle
Walter Mondale	Walter Mondale
Àwọn èdè Austronésíà	Austronesische talen
Pópù Leo 10k	Paus Leo X
Tampa, Florida	Tampa (Florida)
Colorado Springs	Colorado Springs
Virginia Beach	Virginia Beach
Mesa	Mesa (Arizona)
Wichita	Wichita (Kansas)
Albert Schweitzer	Albert Schweitzer
Óscar Arias	Óscar Arias
Melvin Calvin	Melvin Calvin
Robert Robinson (scientist)	Robert Robinson
Dizzy Gillespie	Dizzy Gillespie
Maurice Maeterlinck	Maurice Maeterlinck
Louis 17k ilẹ̀ Fránsì	Lodewijk XVII van Frankrijk
Ẹ̀rúndún 4k	4e millennium
Giulio Andreotti	Giulio Andreotti
John Stuart Mill	John Stuart Mill
ISO 8601	ISO 8601
Susan Rice	Susan Rice
John Dramani Mahama	John Dramani Mahama
Olùsọdipúpọ̀	Coëfficiënt
Jerry Rawlings	Jerry Rawlings
John Kufuor	John Agyekum Kufuor
John Evans Atta Mills	John Atta Mills
Kofi Abrefa Busia	Kofi Abrefa Busia
John Howard	John Howard
Richard Attenborough	Richard Attenborough
Spike Lee	Spike Lee
Episteli sí àwọn ará Fílíppì	Brief van Paulus aan de Filippenzen
Ónjẹ Alẹ́ Olúwa	Het Laatste Avondmaal (Jezus)
Orin Sólómọ́nì	Hooglied
Mark Antony	Marcus Antonius
Ìwé Málákì	Maleachi (boek)
Áárọ́nì	Aäron
Charlotte Amalie, Àwọn Erékùṣù Wúndíá ti Amẹ́ríkà	Charlotte Amalie
Àrùn kòkòrò àìlèfojúrí afàìsàn Ebola	Ebola
Sheikh Hasina	Hasina Wajed
Daniela Hantuchová	Daniela Hantuchová
LL Cool J	LL Cool J
Jesse Owens	Jesse Owens
Fredrik Reinfeldt	Fredrik Reinfeldt
Carl Bildt	Carl Bildt (1949)
Louis Gerhard De Geer	Louis Gerhard De Geer
Toyota	Toyota
Werner Faymann	Werner Faymann
Arthur Ashe	Arthur Ashe
Tracy Austin	Tracy Austin
Brian Baker (tennis)	Brian Baker (tennisser)
James Blake	James Blake (tennisser)
Jimmy Connors	Jimmy Connors
Jim Courier	Jim Courier
Victoria Duval	Victoria Duval
Irina Falconi	Irina Falconi
Mardy Fish	Mardy Fish
Henry 3k ilẹ̀ Fránsì	Hendrik III van Frankrijk
Zina Garrison	Zina Garrison
Vitas Gerulaitis	Vitas Gerulaitis
Althea Gibson	Althea Gibson
Tommy Haas	Tommy Haas
Jamie Hampton	Jamie Hampton
Ryan Harrison (tennis)	Ryan Harrison
John Isner	John Isner
Hjalmar Branting	Hjalmar Branting
Kọ̀nkọ̀	Kikkers
Tage Erlander	Tage Erlander
Olof Palme	Olof Palme
Thorbjörn Fälldin	Thorbjörn Fälldin
Ola Ullsten	Ola Ullsten
Ingvar Carlsson	Ingvar Carlsson
Göran Persson	Göran Persson
Ẹ̀ka:Àdájọba	Categorie:Monarchie
Ẹ̀ka:Àwọn irú ìjọba	Categorie:Staatsvorm
Ẹ̀ka:Ìjọba	Categorie:Overheid
Àgbájọ Òṣìṣẹ́ Akáríayé	Internationale Arbeidsorganisatie
Ska	Ska (muziek)
Ọkọ̀-àlọbọ̀ Òfurufú Atlantis	Atlantis (ruimteveer)
Ọkọ̀-àlọbọ̀ Òfurufú Challenger	Challenger (ruimteveer)
Ọkọ̀-àlọbọ̀ Òfurufú Columbia	Columbia (ruimteveer)
Ọkọ̀-àlọbọ̀ Òfurufú Discovery	Discovery (ruimteveer)
Àdàkọ:Infobox legislature	Sjabloon:Infobox legislatuur
Billie Jean King	Billie Jean King
Vania King	Vania King
Varvara Lepchenko	Varvara Lepchenko
Jesse Levine	Jesse Levine
Bethanie Mattek-Sands	Bethanie Mattek-Sands
Sam Querrey	Sam Querrey
Martina Navratilova	Martina Navrátilová
Nancy Richey	Nancy Richey
Alison Riske	Alison Riske
Andy Roddick	Andy Roddick
Stan Smith	Stan Smith
Sloane Stephens	Sloane Stephens
Ryan Sweeting	Ryan Sweeting
Brian Teacher	Brian Teacher
Coco Vandeweghe	Coco Vandeweghe
Donald Young (tennis)	Donald Young (tennisser)
Pópù Cornelius	Paus Cornelius
Hannes Alfvén	Hannes Alfvén
Sunita Williams	Sunita Williams
Laurence Olivier	Laurence Olivier
Charles Laughton	Charles Laughton
Àdàkọ:Ìtàn ilẹ̀ Gúúsù Amẹ́ríkà	Sjabloon:Navigatie geschiedenis Zuid-Amerika
José María Aznar	José María Aznar
Aleksander Kwaśniewski	Aleksander Kwaśniewski
Peter Ustinov	Peter Ustinov
Oprah Winfrey	Oprah Winfrey
Ìgbà Ìbíniàtijọ́	Paleogeen
Jerzy Buzek	Jerzy Buzek
Jarosław Kaczyński	Jarosław Kaczyński
Kazimierz Marcinkiewicz	Kazimierz Marcinkiewicz
Hanna Suchocka	Hanna Suchocka
Anna Magnani	Anna Magnani
Katharine Hepburn	Katharine Hepburn
Èdè Haúsá	Hausa (taal)
Philipp Lenard	Philipp Eduard Anton Lenard
Otto Hahn	Otto Hahn
James Franck	James Franck
Max von Laue	Max von Laue
Wilhelm Wien	Wilhelm Wien
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Otto Stern	Otto Stern
Nelly Sachs	Nelly Sachs
Fritz Haber	Fritz Haber
Karl Ferdinand Braun	Karl Ferdinand Braun
Adolf von Baeyer	Adolf von Baeyer
Erich Fromm	Erich Fromm
Pópù Adrian 6k	Paus Adrianus VI
Paul Ehrlich	Paul Ehrlich
Johannes Stark	Johannes Stark
Maria Goeppert-Mayer	Maria Goeppert-Mayer
Peter Grünberg	Peter Grünberg
Walther Nernst	Walther Nernst
Otto Wallach	Otto Wallach
Albrecht Kossel	Albrecht Kossel
Otto Fritz Meyerhof	Otto Fritz Meyerhof
Kurt von Schleicher	Kurt von Schleicher
Hermann Müller (olóṣèlú)	Hermann Müller
Gustav Bauer	Gustav Bauer
Hans Adolf Krebs	Hans Krebs (arts)
Gerhard Domagk	Gerhard Domagk
Wolfgang Paul	Wolfgang Paul
Ollanta Humala	Ollanta Humala
Ivo Josipović	Ivo Josipović
Georgi Parvanov	Georgi Parvanov
Omar al-Bashir	Omar al-Bashir
Felipe Calderón	Felipe Calderón
Paul Biya	Paul Biya
Yoweri Museveni	Yoweri Museveni
Michael D. Higgins	Michael Higgins (politicus)
Traian Băsescu	Traian Băsescu
Jacob Zuma	Jacob Zuma
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Harald 5k ilẹ̀ Nọ́rwèy	Harald V van Noorwegen
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Mwai Kibaki	Mwai Kibaki
Ivan Gašparovič	Ivan Gašparovič
Abdullah ilẹ̀ Sáúdí Arábíà	Abdoellah bin Abdoel Aziz al-Saoed
Bamir Topi	Bamir Topi
Karolos Papoulias	Karolos Papoulias
Jalal Talabani	Jalal Talabani
Abdelaziz Bouteflika	Abdelaziz Bouteflika
Juan Manuel Santos Calderón	Juan Manuel Santos
José Eduardo dos Santos	José Eduardo dos Santos
Salva Kiir Mayardit	Salva Kiir Mayardit
Norodom Sihamoni	Norodom Sihamoni
Laura Chinchilla	Laura Chinchilla
Blaise Compaoré	Blaise Compaoré
Hassanal Bolkiah	Hassanal Bolkiah
Danilo Türk	Danilo Türk
Qaboos ilẹ̀ Oman	Qaboes bin Said Al Said
Dimitris Christofias	Dimitris Christofias
Ali Khamenei	Ali Khamenei
Mahinda Rajapaksa	Mahinda Rajapaksa
Mswati Kẹta	Mswati III
Mauricio Funes	Mauricio Funes
Pierre Nkurunziza	Pierre Nkurunziza
Isaias Afewerki	Isaias Afewerki
Idriss Déby	Idriss Déby
Hamad ibn Isa Al Khalifa	Hamad bin Isa Al Khalifa
Yahya Jammeh	Yahya Jammeh
Hamad bin Khalifa al-Thani	Hamad bin Khalifa al-Thani
Andry Rajoelina	Andry Rajoelina
Emomalii Rahmon	Emomalii Rachmon
Ilham Aliyev	İlham Aliyev
Asif Ali Zardari	Asif Ali Zardari
Jigme Khesar Namgyal Wangchuck	Jigme Khesar Namgyel Wangchuk
Dalia Grybauskaitė	Dalia Grybauskaitė
Goodluck Jonathan	Goodluck Jonathan
Haris Silajdžić	Haris Silajdžić
Girma Wolde-Giorgis	Girma Wolde-Giorgis
Teodoro Obiang Nguema Mbasogo	Teodoro Obiang Nguema Mbasogo
Joyce Banda	Joyce Banda
Ismail Omar Guelleh	Ismaïl Omar Guelleh
Armando Guebuza	Armando Guebuza
Nursultan Nazarbayev	Noersoeltan Nazarbajev
Aníbal Cavaco Silva	Aníbal Cavaco Silva
Nguyễn Minh Triết	Nguyễn Minh Triết
Daniel Ortega	Daniel Ortega
Susilo Bambang Yudhoyono	Susilo Bambang Yudhoyono
Truong Tan Sang	Trương Tấn Sang
Shimon Peres	Shimon Peres
Alassane Ouattara	Alassane Ouattara
Joseph Kabila	Joseph Kabila
Denis Sassou-Nguesso	Denis Sassou-Nguesso
Tsakhiagiin Elbegdorj	Tsahiagiin Elbegdorzj
Michel Suleiman	Michel Suleyman
Tomislav Nikolić	Tomislav Nikolić
Václav Klaus	Václav Klaus
Gjorge Ivanov	Gjorge Ivanov
Macky Sall	Macky Sall
Ram Baran Yadav	Ram Baran Yadav
Choummaly Sayasone	Choummaly Sayasone
Ian Khama	Ian Khama
François Bozizé	François Bozizé
Hans-Adam 2k ilẹ̀ Líktẹ́nstáìnì	Hans Adam II van Liechtenstein
Anote Tong	Anote Tong
Abdullah Kejì ilẹ̀ Jọ́rdánì	Abdoellah II van Jordanië
Hifikepunye Pohamba	Hifikepunye Pohamba
Johnson Toribiong	Johnson Toribiong
Joan Enric Vives Sicília	Joan Enric Vives i Sicília
James Michel	James Michel
Abd al-Rab Mansur al-Hadi	Abd Rabbuh Mansur Al-Hadi
Mahamadou Issoufou	Mahamadou Issoufou
Zillur Rahman	Zillur Rahman
Jakaya Kikwete	Jakaya Kikwete
Ricardo Martinelli	Ricardo Martinelli
Iolu Abil	Iolu Abil
Federico Franco	Federico Franco
Manny Mori	Manny Mori
George Abela	George Abela
Andris Berzins (Ààrẹ Látfíà)	Andris Bērziņš
Michel Martelly	Michel Martelly
Ali Bongo Ondimba	Ali Bongo
Tufuga Efi	Tufuga Efi
Gurbanguly Berdimuhamedow	Gurbanguly Berdimuhamedow
George Maxwell Richards	George Maxwell Richards
Letsie 3k	Letsie III van Lesotho
Filip Vujanović	Filip Vujanović
Mùhammédù 6k ilẹ̀ Mòrókò	Mohammed VI van Marokko
Sabah Al-Ahmad Al-Jaber Al-Sabah	Sabah Al-Ahmad Al-Jaber Al-Sabah
Islam Karimov	Islom Karimov
Hans Spemann	Hans Spemann
Mykola Azarov	Mykola Azarov
Gordon Bajnai	Gordon Bajnai
Portia Simpson-Miller	Portia Simpson-Miller
Nguyễn Tấn Dũng	Nguyễn Tấn Dũng
Baldwin Spencer	Baldwin Spencer
Robert Fico	Robert Fico
Jadranka Kosor	Jadranka Kosor
Ahmed Ouyahia	Ahmed Ouyahia
Pedro Passos Coelho	Pedro Passos Coelho
Artur Rasizade	Artur Rasizade
Lawrence Gonzi	Lawrence Gonzi
Sali Berisha	Sali Berisha
Valdis Dombrovskis	Valdis Dombrovskis
Hashim Thaçi	Hashim Thaçi
Jyrki Katainen	Jyrki Katainen
Andrus Ansip	Andrus Ansip
Viktor Orbán	Viktor Orbán
Lee Hsien Loong	Lee Hsien Loong
Yoshihiko Noda	Yoshihiko Noda
José Maria Neves	José Maria Pereira Neves
Mohammed bin Rashid Al Maktoum	Mohammed bin Rasjid Al Maktoem
Raila Odinga	Raila Odinga
Jean-Claude Juncker	Jean-Claude Juncker
Andrius Kubilius	Andrius Kubilius
Jens Stoltenberg	Jens Stoltenberg
Dési Bouterse	Desi Bouterse
Nouri al-Maliki	Nouri al-Maliki
Jigme Thinley	Jigme Thinley
Essam Sharaf	Essam Sharaf
Dileita Mohamed Dileita	Dileita Mohamed Dileita
Sam Hinds	Sam Hinds
Dean Barrow	Dean Barrow
Freundel Stuart	Freundel Stuart
Kamla Persad-Bissessar	Kamla Persad-Bissessar
Tuilaepa Aiono Sailele Malielegaoi	Tuilaepa Aiono Sailele Malielegaoi
Pakalitha Mosisili	Pakalitha Mosisili
Denzil Douglas	Denzil Douglas
Salam Fayyad	Salam Fayyad
Faustin-Archange Touadéra	Faustin-Archange Touadéra
Morgan Tsvangirai	Morgan Tsvangirai
Nikola Gruevski	Nikola Gruevski
Jóhanna Sigurðardóttir	Jóhanna Sigurðardóttir
Boyko Borisov	Bojko Borisov
Klaus Tschütscher	Klaus Tschütscher
John Key	John Key
Hun Sen	Hun Sen
Mark Rutte	Mark Rutte
Tillman Thomas	Tillman Thomas
Shavkat Mirziyoyev	Shavkat Mirziyoyev
Enda Kenny	Enda Kenny
Roosevelt Skerrit	Roosevelt Skerrit
Frank Bainimarama	Frank Bainimarama
Nahas Angula	Nahas Angula
Ernst Boris Chain	Ernst Boris Chain
Daniel Kablan Duncan	Daniel Kablan Duncan
Didier Burkhalter	Didier Burkhalter
Jean Ping	Jean Ping
Louis 12k ilẹ̀ Fránsì	Lodewijk XII van Frankrijk
Pópù Leo 9k	Paus Leo IX
Pópù Victor 2k	Paus Victor II
Pópù Stephen 9k	Paus Stefanus IX (X)
Pópù Gregory 5k	Paus Gregorius V
Pópù Clement 2k	Paus Clemens II
Edmund Husserl	Edmund Husserl
Èdè Pashtó	Pasjtoe
Akọ ẹlẹ́dẹ̀	Wild zwijn
Òkun Arábíà	Arabische Zee
.si	.si
Àwọn Tuareg	Toeareg
Filip 1k ilẹ̀ Fránsì	Filips I van Frankrijk
Max Born	Max Born
Àsìá ilẹ̀ Mordovia	Vlag van Mordovië
Gloria Grahame	Gloria Grahame
Patrick Leahy	Patrick Leahy
Herbert Marcuse	Herbert Marcuse
Martin Rodbell	Martin Rodbell
Karl von Frisch	Karl von Frisch
Venkatraman Ramakrishnan	Venkatraman Ramakrishnan
Pópù Damasus 2k	Paus Damasus II
Gerhard Ertl	Gerhard Ertl
Günter Blobel	Günter Blobel
Michael Stich	Michael Stich
Bernhard von Bülow	Bernhard von Bülow
Georg Michaelis	Georg Michaelis
.sn	.sn
Ẹ̀wádún 1150	1150-1159
Àsìá ilẹ̀ Dẹ́nmárkì	Vlag van Denemarken
Joseph Wirth	Joseph Wirth
Ẹ̀wádún 1030	1030-1039
Ẹ̀wádún 1050	1050-1059
C. V. Raman	Chandrasekhara Raman
Agbègbè Polar	Poolgebied
Open Austrálíà	Australian Open (tennis)
Jeremy Bentham	Jeremy Bentham
Emperor Shirakawa	Shirakawa (keizer)
David J. Wineland	David Wineland
Walter Benjamin	Walter Benjamin
Ìgbà Ọ̀rdòfísíà	Ordovicium
Erékùṣù Jarvis	Jarvis (eiland)
Remote procedure call	Remote procedure call
Johannes Heesters	Johannes Heesters
Ìgbà Sílúríà	Siluur
Jay-Z	Jay Z
Barranquilla	Barranquilla
Heike Kamerlingh Onnes	Heike Kamerlingh Onnes
John Cockcroft	John Cockcroft
Jean-Pierre Raffarin	Jean-Pierre Raffarin
Roy J. Glauber	Roy Glauber
9496 Ockels	9496 Ockels
Anthony Hopkins	Anthony Hopkins
Ìgbà Dẹfoníà	Devoon
Wolfgang Pauli	Wolfgang Pauli
Henry Kissinger	Henry Kissinger
Daman àti Diu	Daman en Diu
Puducherry	Puducherry (unieterritorium)
Earl Wilbur Sutherland, Jr.	Earl Wilbur Sutherland Jr.
Hans Georg Dehmelt	Hans Dehmelt
Hermann Emil Fischer	Hermann Emil Fischer
Philipp Scheidemann	Philipp Scheidemann
Ìgbà Òṣèlú Kẹta Fránsì	Derde Franse Republiek
Theodor W. Hänsch	Theodor Hänsch
Horst Ludwig Störmer	Horst Ludwig Störmer
Herbert Kroemer	Herbert Kroemer
Ernst Ruska	Ernst Ruska
Alfred Kastler	Alfred Kastler
Klaus von Klitzing	Klaus von Klitzing
Ilẹ̀ Ọbalúayé Fránsì Àkọ́kọ́	Eerste Franse Keizerrijk
Bette Davis	Bette Davis
Charles 1k	Karel de Kale
Clark Gable	Clark Gable
Spencer Tracy	Spencer Tracy
Henry Hallett Dale	Henry Hallett Dale
Fridtjof Nansen	Fridtjof Nansen
Ẹ̀wádún 1370	1370-1379
Toni Morrison	Toni Morrison
Rudolf Kirchschläger	Rudolf Kirchschläger
Bing Crosby	Bing Crosby
Willard Boyle	Willard Boyle
Paul Karrer	Paul Karrer
Kwacha Sámbíà	Zambiaanse kwacha
Bòtújẹ̀	Purgeernoot
Àsìá ilẹ̀ àwọn Erékùsù Sólómọ́nì	Vlag van de Salomonseilanden
Àsíkò Ìgbéàtijọ́	Paleozoïcum
217 SK	217 v.Chr.
227 SK	227 v.Chr.
282 SK	282 v.Chr.
279 SK	279 v.Chr.
404 SK	404 v.Chr.
Miguel Ángel Asturias	Miguel Ángel Asturias
Isaac Bashevis Singer	Isaac Bashevis Singer
321 SK	321 v.Chr.
360 SK	360 v.Chr.
324 SK	324 v.Chr.
281 SK	281 v.Chr.
406 SK	406 v.Chr.
Ìjídìde Zanzibar	Revolutie van Zanzibar
Harald zur Hausen	Harald zur Hausen
Jorge Rafael Videla	Jorge Videla
Congo Free State	Kongo-Vrijstaat
Sukarno	Soekarno
Bacharuddin Jusuf Habibie	Bacharuddin Jusuf Habibie
Abdurrahman Wahid	Abdurrahman Wahid
Megawati Sukarnoputri	Megawati Soekarnoputri
Boris Becker	Boris Becker
Sabine Lisicki	Sabine Lisicki
Jürgen Habermas	Jürgen Habermas
Carl von Ossietzky	Carl von Ossietzky
George E. Smith	George E. Smith
Ìgbà Pẹ́rmíà	Perm (periode)
Georg Cantor	Georg Cantor
Emil Adolf von Behring	Emil Adolf von Behring
Wolfgang Ketterle	Wolfgang Ketterle
Otto Heinrich Warburg	Otto Heinrich Warburg
Walther Bothe	Walther Bothe
Paul Johann Ludwig von Heyse	Paul Heyse
Karl Jaspers	Karl Jaspers
Christian Wolff	Christian Wolff (filosoof)
Heinrich Cornelius Agrippa	Heinrich Cornelius Agrippa von Nettesheim
Kurt Alder	Kurt Alder
Manfred Eigen	Manfred Eigen
Gerhard Herzberg	Gerhard Herzberg
Hans Fischer	Hans Fischer
Carl Bosch	Carl Bosch
Heinrich Otto Wieland	Heinrich Otto Wieland
Johann Deisenhofer	Johann Deisenhofer
Hans von Euler-Chelpin	Hans von Euler-Chelpin
Friedrich Bergius	Friedrich Bergius
Otto Diels	Otto Diels
Robert Huber	Robert Huber
Karl Ziegler	Karl Ziegler
Johannes Georg Bednorz	Georg Bednorz
Ludwig Quidde	Ludwig Quidde
Gerd Binnig	Gerd Binnig
Johannes Hans Daniel Jensen	Hans Jensen
Max Delbrück	Max Delbrück
Christoph Waltz	Christoph Waltz
Max Horkheimer	Max Horkheimer
Lee Marvin	Lee Marvin
Kẹrosínì	Petroleum
Maximilian ilẹ̀ Baden	Max van Baden
George de Hevesy	George de Hevesy
Pavel Cherenkov	Pavel Tsjerenkov
Richard Willstätter	Richard Willstätter
Bert Sakmann	Bert Sakmann
Hartmut Michel	Hartmut Michel
Fritz Albert Lipmann	Fritz Albert Lipmann
Theobald von Bethmann-Hollweg	Theobald von Bethmann Hollweg
Erwin Neher	Erwin Neher
Adolf Otto Reinhold Windaus	Adolf Windaus
Leo Strauss	Leo Strauss
Tobias Kamke	Tobias Kamke
Carl Schmitt	Carl Schmitt
Philipp Kohlschreiber	Philipp Kohlschreiber
Björn Phau	Björn Phau
Werner Forssmann	Werner Forssmann
Mona Barthel	Mona Barthel
Immanuel Hermann Fichte	Immanuel Fichte
Konstantin Fehrenbach	Konstantin Fehrenbach
Annika Beck	Annika Beck
Dustin Brown (tennis)	Dustin Brown
Georges J. F. Köhler	Georges J. F. Köhler
Hans Morgenthau	Hans Morgenthau
Matthias Bachinger	Matthias Bachinger
Chlodwig, Prince of Hohenlohe-Schillingsfürst	Chlodwig zu Hohenlohe-Schillingsfürst
Julia Görges	Julia Görges
Cedrik-Marcel Stebe	Cedrik-Marcel Stebe
Florian Mayer	Florian Mayer
Georg Wittig	Georg Wittig
Otto Loewi	Otto Loewi
Christiane Nüsslein-Volhard	Christiane Nüsslein-Volhard
Benjamin Becker	Benjamin Becker
Angelique Kerber	Angelique Kerber
Wilhelm Cuno	Wilhelm Cuno
Philipp Petzschner	Philipp Petzschner
Emil Jannings	Emil Jannings
Wilhelm Marx	Wilhelm Marx
Gréta Arn	Gréta Arn
Robert Bárány	Robert Bárány
Julius Wagner-Jauregg	Julius Wagner-Jauregg
Max Perutz	Max Perutz
Richard Adolf Zsigmondy	Richard Adolf Zsigmondy
Fritz Pregl	Fritz Pregl
Richard Kuhn	Richard Kuhn
Alfred Hermann Fried	Alfred Hermann Fried
Thomas Klestil	Thomas Klestil
Konrad Lorenz	Konrad Lorenz
Paul Feyerabend	Paul Feyerabend
Carl Ferdinand Cori	Carl Ferdinand Cori
