Aprika	Afrika
Quintanas de Gormaz	Quintanas de Gormaz
Velilla de la Sierra	Velilla de la Sierra
Valdemaluque	Valdemaluque
San Felices	San Felices
Renieblas	Renieblas
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos (Soria)	Vizmanos
Tejado	Tejado
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Santa María de las Hoyas	Santa María de las Hoyas
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
Gómara, Soria	Gómara
Barca, Soria	Barca (Spanje)
Kinsale	Kinsale
Cihuela	Cihuela
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Sepik (rivier)
Westen Provins	Western (Papoea-Nieuw-Guinea)
Sauten Hailans	Southern Highlands
Westen Hailans	Western Highlands
Isten Hailans	Eastern Highlands
Morobe	Morobe
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga
Manus	Manus (provincie)
Sentral Provins	Central (Papoea-Nieuw-Guinea)
Milen Be	Milne Bay
Gulf Provins	Gulf (provincie)
Villadangos del Páramo	Villadangos del Páramo
Valverde de la Virgen	Valverde de la Virgen
Val de San Lorenzo	Val de San Lorenzo
Villaquilambre	Villaquilambre
Marion Barry	Marion Barry
Valdemora	Valdemora
Espinosa del Camino (Burgos)	Espinosa del Camino
Nebreda (Burgos)	Nebreda
Paul L. Smith	Paul L. Smith
Galbarros (Burgos)	Galbarros
Riego de la Vega	Riego de la Vega
Benuza	Benuza
Villamanín	Villamanín
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano
Hinojosa del Campo	Hinojosa del Campo
Mendi	Mendi
Kavieng	Kavieng
Maun Hagen	Mount Hagen
Kokopo	Kokopo
Popondetta	Popondetta
Lorengau	Lorengau
Wewak	Wewak
Rello	Rello
Rebollar	Rebollar (Soria)
Garray	Garray
Iglesias (Burgos)	Iglesias (Spanje)
Bembibre	Bembibre
Ples balus	Vliegveld
Pat Carroll	Pat Carroll
Kerema (taun)	Kerema
Tim Conway	Tim Conway
Nesenel Kapitol Distrik	National Capital District
My Thuy	Mỹ Thủy
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Grup:Siamani	Categorie:Duitsland
Grup:Itali	Categorie:Italië
Grup:Ol Yunaitet Stet	Categorie:Verenigde Staten
Grup:Kanada	Categorie:Canada
Grup:Yunaitet Kingdom	Categorie:Verenigd Koninkrijk
Grup:Spen	Categorie:Spanje
Grup:Siapan	Categorie:Japan
Grup:Ostrelia	Categorie:Australië
Grup:India	Categorie:India
Grup:Isrel	Categorie:Israël
Grup:Ijip	Categorie:Egypte
Grup:Niu Silan	Categorie:Nieuw-Zeeland
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Grup:Indonisia	Categorie:Indonesië
Grup:Irak	Categorie:Irak
Grup:Polan	Categorie:Polen
Grup:Saut Koria	Categorie:Zuid-Korea
Grup:Tailan	Categorie:Thailand
Grup:Yukren	Categorie:Oekraïne
Grup:Vietnam	Categorie:Vietnam
Grup:Ol pisin	Categorie:Vogel
Grup:Ol Sayor	Categorie:Plant
Grup:Save long Laip	Categorie:Biologie
Grup:Kemistri	Categorie:Scheikunde
Grup:Histori	Categorie:Geschiedenis
Grup:Save long giraun	Categorie:Geografie
Grup:Sosaiti	Categorie:Mens en maatschappij
Grup:Lotu	Categorie:Religie
Grup:Saiens	Categorie:Wetenschap
Grup:Giraun	Categorie:Aarde
Mun	Mun
Vegas del Condado	Vegas del Condado
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Cistierna	Cistierna
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Oquillas (Burgos)	Oquillas
Villamañán	Villamañán
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Urdiales del Páramo	Urdiales del Páramo
Oña (Burgos)	Oña (Spanje)
Grisaleña (Burgos)	Grisaleña
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Zael (Burgos)	Zael
Lerma (Burgos)	Lerma (Spanje)
Villaquejida	Villaquejida
Sariegos	Sariegos
Vega de Infanzones	Vega de Infanzones
Sabero	Sabero
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Villasabariego	Villasabariego
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Escobar de Campos	Escobar de Campos
Iglesiarrubia (Burgos)	Iglesiarrubia
Neila (Burgos)	Neila
Turcia	Turcia
Valdelugueros	Valdelugueros
Navas de Bureba (Burgos)	Navas de Bureba
San Adrián del Valle	San Adrián del Valle
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
La Gallega (Burgos)	La Gallega
Villabraz	Villabraz
Valverde-Enrique	Valverde-Enrique
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamol	Villamol
Villamoratiel de las Matas	Villamoratiel de las Matas
Benavides	Benavides (Spanje)
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Carrizo	Carrizo
Vallecillo	Vallecillo (Spanje)
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Villadecanes	Villadecanes
Truchas	Truchas
Grup:Ol pes bilong kliaim ol link	Categorie:Wikipedia:Doorverwijspagina
Grup:Pilosopi	Categorie:Filosofie
Grup:Saikolosi	Categorie:Psychologie
Grup:Budisim	Categorie:Boeddhisme
Grup:Kristen	Categorie:Christendom
Grup:Islam	Categorie:Islam
Histori long Papua Niugini	Geschiedenis van Papoea-Nieuw-Guinea
Benedicta Boccoli	Benedicta Boccoli
Wabag	Wabag
Conrad Bain	Conrad Bain
Grup:Ol pes i liklik tumas	Categorie:Wikipedia:Beginnetje
Grup:Ol planet	Categorie:Planeet
Grup:Kontinen	Categorie:Continent
Tok Abau	Abau
Lenny Henry	Lenny Henry
Templet:Footer SolarSystem	Sjabloon:Navigatie zonnestelsel
Templet:T	Sjabloon:Tl
Templet:Babel bokis	Sjabloon:Gebruikersbox
Templet:Wikipediatokples	Sjabloon:Hoofdpagina - andere talen
Grup:Ol kantri	Categorie:Land
Grup:Ekonomikis	Categorie:Economie
Wikipedia:Administrators	Wikipedia:Moderator
Grup:Manmeri	Categorie:Persoon
Wikipedia:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
Grup:Politikis	Categorie:Politiek
Grup:Saiens bilong ai	Categorie:Optica
Ijip	Egypte (land)
Templet:Bot	Sjabloon:Bot
Kanada	Canada
Grup:Hangari	Categorie:Hongarije
Grup:Estonia	Categorie:Estland
Grup:Gris	Categorie:Griekenland
Grup:Latvia	Categorie:Letland
Grup:Aislan	Categorie:IJsland
Grup:Lituwenia	Categorie:Litouwen
Grup:Slovakia	Categorie:Slowakije
Wikipedia:Copyrights	Wikipedia:Auteursrechten
Templet:Flagicon	Sjabloon:Vlagland
Grup:Ol kantri long Yurop	Categorie:Land in Europa
Grup:Yurop	Categorie:Europa
Templet:Template doc	Sjabloon:Sjabdoc
Grup:Yusa tokples	Categorie:Wikipedia:Babel
Wikipedia:Faipela lo	Wikipedia:Vijf zuilen
Templet:Softredirect	Sjabloon:Softredirect
Templet:Delete	Sjabloon:Nuweg
Grup:Ol tokples	Categorie:Taal
Grup:Grama	Categorie:Grammatica
Solija	Soldaat
Grup:Ol siti na taun bilong kantri	Categorie:Plaats naar land
Templet:Navbox	Sjabloon:Navigatie
Templet:Shortcut	Sjabloon:Verwijzing
Templet:!-	Sjabloon:!-
Templet:!!	Sjabloon:!!
Templet:Tnavbar	Sjabloon:Tnavbar
Templet:Loop	Sjabloon:Loop
Templet:Unicode	Sjabloon:Unicode
Templet:Okina	Sjabloon:Okina
Templet:Clear	Sjabloon:Clearboth
Templet:Color	Sjabloon:Tekstkleur
Templet:Nowrap	Sjabloon:Nowrap
Templet:Anchor	Sjabloon:Anker
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipedia:Archief/Wikipedia:Artikelen die elke Wikipedia zou moeten hebben
Grup:Elektroniks	Categorie:Elektronica
Templet:Babel	Sjabloon:Babel
Templet:Commons	Sjabloon:Commons
Templet:Link GA	Sjabloon:Link GA
Templet:Reflist	Sjabloon:References
Templet:Stub	Sjabloon:Beginnetje
Templet:User ar-1	Sjabloon:Gebruiker ar-1
Templet:User ast-1	Sjabloon:Gebruiker ast-1
Templet:User az	Sjabloon:Gebruiker az
Templet:Yusa eo-1	Sjabloon:Gebruiker eo-1
Templet:See also	Sjabloon:Zie ook
Templet:User da	Sjabloon:Gebruiker da
Templet:User ca-1	Sjabloon:Gebruiker ca-1
Templet:User cs-1	Sjabloon:Gebruiker cs-1
Templet:User eo-3	Sjabloon:Gebruiker eo-3
Templet:User de	Sjabloon:Gebruiker de
Templet:User de-1	Sjabloon:Gebruiker de-1
Templet:User el	Sjabloon:Gebruiker el
Templet:User es	Sjabloon:Gebruiker es
Templet:User de-3	Sjabloon:Gebruiker de-3
Templet:User en-3	Sjabloon:Gebruiker en-3
Templet:User en-1	Sjabloon:Gebruiker en-1
Templet:User en-2	Sjabloon:Gebruiker en-2
Templet:User eo-2	Sjabloon:Gebruiker eo-2
Templet:User en-4	Sjabloon:Gebruiker en-4
Templet:User en	Sjabloon:Gebruiker en
Templet:User de-2	Sjabloon:Gebruiker de-2
Templet:User es-1	Sjabloon:Gebruiker es-1
Templet:User fa	Sjabloon:Gebruiker fa
Templet:User fr-1	Sjabloon:Gebruiker fr-1
Templet:User gl-1	Sjabloon:Gebruiker gl-1
Templet:User hu-N	Sjabloon:Gebruiker hu
Templet:User sk	Sjabloon:Gebruiker sk
Templet:User tr-2	Sjabloon:Gebruiker tr-2
Templet:User fr-2	Sjabloon:Gebruiker fr-2
Templet:User ja	Sjabloon:Gebruiker ja
Templet:User ja-1	Sjabloon:Gebruiker ja-1
Templet:User it-1	Sjabloon:Gebruiker it-1
Templet:User fr	Sjabloon:Gebruiker fr
Templet:Unsigned	Sjabloon:Afzender
Grup:Azerbaijan	Categorie:Azerbeidzjan
Grup:Esia	Categorie:Azië
Grup:Soria provins	Categorie:Soria (provincie)
Grup:Castile na León	Categorie:Castilië en León
Templet:Mod	Sjabloon:Modulo
Templet:User es-2	Sjabloon:Gebruiker es-2
Templet:NewUser	Sjabloon:Hola
Templet:Ref-ru	Sjabloon:Ru
Templet:WikipediaSista	Sjabloon:Hoofdpagina/Projecten
Grup:Lingwistikis	Categorie:Taalkunde
Templet:ITA	Sjabloon:IT
Templet:Cc-by-sa-3.0	Sjabloon:Cc-by-sa-3.0
Grup:Yusa fr-1	Categorie:Wikipedia:Gebruiker fr-1
Templet:Steady	Sjabloon:Stabiel
Templet:Infobokis Kantri	Sjabloon:Infobox land
Templet:Fi icon	Sjabloon:Fi
Templet:Cite journal	Sjabloon:Citeer journal
Grup:Yusa en-4	Categorie:Wikipedia:Gebruiker en-4
Grup:Yusa en	Categorie:Wikipedia:Gebruiker en
Grup:Yusa en-2	Categorie:Wikipedia:Gebruiker en-2
Templet:Infobokis	Sjabloon:Infobox generiek
Templet:Yusa eo	Sjabloon:Gebruiker eo
Templet:User zh	Sjabloon:Gebruiker zh
Templet:Legend	Sjabloon:Legenda
Templet:Ol daireksion	Sjabloon:Navigatie windstreken
Templet:Wiktionary	Sjabloon:Wikt
Templet:Ref-lang	Sjabloon:Taalaanduiding
Grup:Egrikalsa	Categorie:Landbouw
Templet:Infobokis Setelmen	Sjabloon:Infobox plaats
Templet:User ru	Sjabloon:Gebruiker ru
Templet:IPA	Sjabloon:IPA
Grup:Language user templates	Categorie:Wikipedia:Sjablonen babel
Templet:Babel bokis-N	Sjabloon:BabelM
Templet:Babel bokis-1	Sjabloon:Babel1
Templet:MONTHNAME	Sjabloon:MONTHNAME
Wikipedia:Buk Bilong GFDL	Wikipedia:GNU Free Documentation License
Grup:Politikis long kontinen	Categorie:Politiek naar continent
Templet:Infobokis Websait	Sjabloon:Infobox website
Templet:SCO	Sjabloon:XS
Templet:Documentation subpage	Sjabloon:Sjabdoc direct
Templet:CcTLD	Sjabloon:Navigatie landelijke topleveldomeinen
Templet:POL	Sjabloon:PL
Templet:Div col	Sjabloon:Kolommen2
Templet:Harim stori	Sjabloon:Gesproken Wikipedia
Templet:Babel bokis-4	Sjabloon:Babel4
Grup:Ples balus long Vietnam	Categorie:Vliegveld in Vietnam
Templet:Emergency-bot-shutoff	Sjabloon:Noodrem
Templet:User pl-1	Sjabloon:Gebruiker pl-1
Templet:Infobokis kantri bilong bipo	Sjabloon:Infobox historisch land
Templet:Age in days	Sjabloon:Aantal dagen
Templet:FIAV	Sjabloon:FIAV
Templet:UNO	Sjabloon:UN
Templet:Ol de bilong dispela wik	Sjabloon:Zijbalk weekdagen
Templet:Gregorian serial date	Sjabloon:Gregorian serial date
Grup:Yusa ja-N	Categorie:Wikipedia:Gebruiker ja-M
Templet:Disambig	Sjabloon:Dp
Grup:Niuspepa	Categorie:Krant
Templet:User no	Sjabloon:Gebruiker no
Templet:Babel bokis-3	Sjabloon:Babel3
Templet:User it-2	Sjabloon:Gebruiker it-2
Templet:Ref-de	Sjabloon:De
Templet:InterWiki	Sjabloon:InterWiki
Templet:Coord	Sjabloon:Coördinaten
Templet:Europe topic	Sjabloon:Navigatie landen Europa
Grup:Yusa sk	Categorie:Wikipedia:Gebruiker sk
Grup:Yusa eo	Categorie:Wikipedia:Gebruiker eo
Grup:Yusa fr	Categorie:Wikipedia:Gebruiker fr
Grup:Yusa hu-N	Categorie:Wikipedia:Gebruiker hu-M
Grup:Yusa ja	Categorie:Wikipedia:Gebruiker ja
Grup:Yusa th	Categorie:Wikipedia:Gebruiker th
Grup:Yusa fr-3	Categorie:Wikipedia:Gebruiker fr-3
Grup:Yusa ja-3	Categorie:Wikipedia:Gebruiker ja-3
Grup:Yusa pl-1	Categorie:Wikipedia:Gebruiker pl-1
Grup:Yusa fr-2	Categorie:Wikipedia:Gebruiker fr-2
Grup:Yusa hu-2	Categorie:Wikipedia:Gebruiker hu-2
Grup:Yusa it-2	Categorie:Wikipedia:Gebruiker it-2
Grup:Yusa ja-2	Categorie:Wikipedia:Gebruiker ja-2
Grup:Yusa fr-N	Categorie:Wikipedia:Gebruiker fr-M
Grup:Yusa ru-N	Categorie:Wikipedia:Gebruiker ru-M
Grup:Ol kapitol bilong Osenia	Categorie:Hoofdstad in Oceanië
Grup:Yusa ca	Categorie:Wikipedia:Gebruiker ca
Grup:Yusa ca-1	Categorie:Wikipedia:Gebruiker ca-1
Grup:Ailan	Categorie:Eiland
Grup:Quang Binh provins	Categorie:Quảng Bình
Grup:Yusa sk-N	Categorie:Wikipedia:Gebruiker sk-M
Grup:Yusa de	Categorie:Wikipedia:Gebruiker de
Grup:Yusa de-2	Categorie:Wikipedia:Gebruiker de-2
Grup:Yusa de-3	Categorie:Wikipedia:Gebruiker de-3
Grup:Yusa de-N	Categorie:Wikipedia:Gebruiker de-M
Grup:Yusa dsb	Categorie:Wikipedia:Gebruiker dsb
Grup:Yusa dsb-1	Categorie:Wikipedia:Gebruiker dsb-1
Grup:Yusa el	Categorie:Wikipedia:Gebruiker el
Grup:Yusa el-N	Categorie:Wikipedia:Gebruiker el-M
Grup:Yusa en-3	Categorie:Wikipedia:Gebruiker en-3
Grup:Yusa en-N	Categorie:Wikipedia:Gebruiker en-M
Grup:Yusa eo-1	Categorie:Wikipedia:Gebruiker eo-1
Grup:Yusa eo-2	Categorie:Wikipedia:Gebruiker eo-2
Grup:Yusa eo-3	Categorie:Wikipedia:Gebruiker eo-3
Grup:Yusa eo-4	Categorie:Wikipedia:Gebruiker eo-4
Grup:Yusa es	Categorie:Wikipedia:Gebruiker es
Grup:Yusa es-1	Categorie:Wikipedia:Gebruiker es-1
Grup:Yusa eu	Categorie:Wikipedia:Gebruiker eu
Grup:Yusa eu-1	Categorie:Wikipedia:Gebruiker eu-1
Grup:Yusa hsb	Categorie:Wikipedia:Gebruiker hsb
Grup:Yusa hsb-1	Categorie:Wikipedia:Gebruiker hsb-1
Grup:Yusa hu	Categorie:Wikipedia:Gebruiker hu
Grup:Yusa hu-1	Categorie:Wikipedia:Gebruiker hu-1
Grup:Yusa hu-3	Categorie:Wikipedia:Gebruiker hu-3
Grup:Politikis long kantri	Categorie:Politiek naar land
Grup:Yusa it	Categorie:Wikipedia:Gebruiker it
Grup:Yusa it-1	Categorie:Wikipedia:Gebruiker it-1
Grup:Yusa ja-1	Categorie:Wikipedia:Gebruiker ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Categorie:Staat van de Verenigde Staten
Templet:Ol taun long Soria	Sjabloon:Navigatie provincie Soria
Grup:Ol provins bilong Vietnam	Categorie:Provincie van Vietnam
Templet:Ol provins bilong Papua Niugini	Sjabloon:Navigatie bestuurlijke indeling Papoea-Nieuw-Guinea
Grup:Ol provins bilong Papua Niugini	Categorie:Provincie van Papoea-Nieuw-Guinea
Grup:Lukluk bilong manmeri	Categorie:Afbeelding
Grup:Yusa ru-1	Categorie:Wikipedia:Gebruiker ru-1
Wikipedia:Babel	Wikipedia:Babel
Templet:Tdeprecated	Sjabloon:Sjabloon verouderd
Templet:User sv-1	Sjabloon:Gebruiker sv-1
Templet:Babel bokis-2	Sjabloon:Babel2
Grup:Ol siti na taun bilong Polan	Categorie:Stad in Polen
Grup:Paradisaeidae	Categorie:Paradijsvogel
Grup:Saiens long Manmeri na Ples	Categorie:Sociale wetenschap
Grup:Ol kantri long Aprika	Categorie:Land in Afrika
Grup:Yusa ru	Categorie:Wikipedia:Gebruiker ru
Grup:Yusa ru-2	Categorie:Wikipedia:Gebruiker ru-2
Grup:Yusa ru-3	Categorie:Wikipedia:Gebruiker ru-3
Grup:Yusa ru-4	Categorie:Wikipedia:Gebruiker ru-4
Grup:Yusa th-1	Categorie:Wikipedia:Gebruiker th-1
Grup:Yusa tpi	Categorie:Wikipedia:Gebruiker tpi
Grup:Yusa tpi-1	Categorie:Wikipedia:Gebruiker tpi-1
Grup:Yusa tpi-2	Categorie:Wikipedia:Gebruiker tpi-2
Grup:Yusa tpi-N	Categorie:Wikipedia:Gebruiker tpi-M
Grup:Yusa vi	Categorie:Wikipedia:Gebruiker vi
Templet:Ref-en	Sjabloon:En
Templet:Lang	Sjabloon:Lang
Templet:User hsb-1	Sjabloon:Gebruiker hsb-1
Grup:Vemont	Categorie:Vermont
Grup:Kolorado	Categorie:Colorado
Templet:ENG	Sjabloon:EN
Templet:Merge	Sjabloon:Samenvoegen
Grup:Politikis long PNG	Categorie:Politiek in Papoea-Nieuw-Guinea
Templet:User hu-1	Sjabloon:Gebruiker hu-1
Templet:User no-1	Sjabloon:Gebruiker no-1
Templet:User ru-1	Sjabloon:Gebruiker ru-1
Grup:Ubuntu	Categorie:Ubuntu
Grup:Manmeri bilong Belaras	Categorie:Wit-Russisch persoon
Grup:Manmeri bilong Papua Niugini	Categorie:Papoea-Nieuw-Guinees persoon
Grup:Intanet kod	Categorie:Landelijke TLD
Grup:User no-2	Categorie:Wikipedia:Gebruiker no-2
Grup:User no	Categorie:Wikipedia:Gebruiker no
Grup:Armenia	Categorie:Armenië
Grup:Bhutan	Categorie:Bhutan
Grup:Ples balus	Categorie:Vliegveld
Grup:Not Koria	Categorie:Noord-Korea
Grup:Manmeri bilong Nauru	Categorie:Nauruaans persoon
Grup:Manmeri bilong Ostrelia	Categorie:Australisch persoon
Grup:Vanuatu	Categorie:Vanuatu
Grup:Korea	Categorie:Korea
Grup:Papua Niugini	Categorie:Papoea-Nieuw-Guinea
Grup:Ol kantri long Pasifik	Categorie:Land in Oceanië
Grup:Ol kantri long Not Amerika	Categorie:Land in Noord-Amerika
Grup:Ol tokples bilong Yurop	Categorie:Taal in Europa
Grup:Ol maunten bilong Papua Niugini	Categorie:Berg in Papoea-Nieuw-Guinea
Templet:Incubator	Sjabloon:Incubator
Grup:Ol Abus	Categorie:Dierenrijk
Grup:Ol kantri long Saut Amerika	Categorie:Land in Zuid-Amerika
Grup:Ol bokis bilong musik	Categorie:Muziekinstrument
Grup:Piano	Categorie:Piano
Grup:Ol kapitol bilong kantri	Categorie:Hoofdstad
Grup:Akiolosi	Categorie:Archeologie
Grup:Ilektrisiti	Categorie:Elektriciteit
Grup:Yusa pl	Categorie:Wikipedia:Gebruiker pl
Templet:Infobokis Tokples	Sjabloon:Infobox taal
Grup:Osenia	Categorie:Oceanië
Grup:Ol kapitol bilong Not Amerika	Categorie:Hoofdstad in Noord-Amerika
Grup:Ol ailan bilong Papua Niugini	Categorie:Papoea-Nieuw-Guinees eiland
Grup:Kalsa bilong Papua Niugini	Categorie:Cultuur in Papoea-Nieuw-Guinea
Grup:Ol kapitol bilong Yurop	Categorie:Hoofdstad in Europa
Grup:Ol kapitol bilong Esia	Categorie:Hoofdstad in Azië
Grup:Ol tokples bilong Papua Niugini	Categorie:Taal in Papoea-Nieuw-Guinea
Templet:WAL	Sjabloon:WL
Templet:User tpi-3	Sjabloon:Gebruiker tpi-3
Saina (kainkain mining)	China (doorverwijspagina)
Trojany	Trojany (Mazovië)
Grup:Ol kantri long Esia	Categorie:Land in Azië
Grup:Ol kantri long Sentrel Amerika	Categorie:Land in Centraal-Amerika
Grup:Aialan	Categorie:Ierland (eiland)
Grup:Linux	Categorie:Linux
Halivim:Disembigyuesen	Help:Doorverwijspagina
Grup:Tebol bilong ol elemen	Categorie:Periodiek systeem
Grup:Ol siti na taun bilong Vanuatu	Categorie:Plaats in Vanuatu
Grup:León provins	Categorie:León (provincie)
Grup:Valencia provins	Categorie:Valencia (provincie)
Grup:Burgos provins	Categorie:Burgos (provincie)
Grup:Kala	Categorie:Kleur
Grup:Ol yunit bilong taim	Categorie:Tijdseenheid
Grup:Alicante provins	Categorie:Alicante (provincie)
Grup:Ol siti na taun bilong Brasil	Categorie:Plaats in Brazilië
Grup:Politikis long Osenia	Categorie:Politiek in Oceanië
Templet:EUR	Sjabloon:EU
Grup:Ol siti na taun	Categorie:Stad
Grup:Yusa en-1	Categorie:Wikipedia:Gebruiker en-1
Grup:Yusa de-1	Categorie:Wikipedia:Gebruiker de-1
Templet:Tim	Sjabloon:Tim
Templet:User hu-2	Sjabloon:Gebruiker hu-2
Templet:User th-2	Sjabloon:Gebruiker th-2
Templet:User tpi-1	Sjabloon:Gebruiker tpi-1
Templet:User hu-3	Sjabloon:Gebruiker hu-3
Templet:User tpi-4	Sjabloon:Gebruiker tpi-4
Templet:User tpi-2	Sjabloon:Gebruiker tpi-2
Templet:Style/IPA	Sjabloon:Style/IPA
Templet:Style/yid	Sjabloon:Style/yid
Sipesol:Nupela senis	Speciaal:RecenteWijzigingen
