ఆఫ్రికా	Afrika
వ్యాసం (గణిత శాస్త్రము)	Diameter
ఉపాధ్యాయుడు	Onderwijzer
కేంద్ర నిఘా సంస్థ	Central Intelligence Agency
రామాయణము	Ramayana
పవిత్ర ఆత్మ	Heilige Geest
ఇంటర్నెట్ మూవీ డేటాబేస్	Internet Movie Database
దలైలామా	Dalai lama
ఆక్రొతిరి మరియు ఢెకెలియా	Akrotiri en Dhekelia
క్లాస్ ఎబనర్	Klaus Ebner
వేరుశనగ	Pinda
మోకాలు	Knie (anatomie)
ఆప్రికాట్	Abrikoos
పియరీ క్యూరీ	Pierre Curie
కళ్ళద్దాలు	Bril
అగ్గిపుల్ల	Lucifer (voorwerp)
తరగతి (జీవశాస్త్రం)	Klasse (biologie)
గ్లూకోస్	Glucose
ఖగోళ భౌతిక శాస్త్రం	Astrofysica
ప్రేమికుల రోజు	Valentijnsdag
వడగళ్ళు	Hagel (neerslag)
ఊసరవెల్లి	Kameleons
ఉస్మాన్ ఇబ్న్ అఫ్ఫాన్	Oethman ibn Affan
భూస్వామ్య విధానం	Feodalisme
వారసవాహిక	Chromosoom
షార్లోట్టేస్ వెబ్ (1973 సినిమా)	Charlotte's Web (1973)
పర్యావరణ వ్యవస్థ	Ecosysteem
ఆక్లాండ్ గ్రామర్ స్కూలు	Auckland Grammar School
రిఫ్రిజిరేటర్	Koelkast
మిల్వాకీ, విస్కాన్సిన్	Milwaukee
శైవలాలు	Algen
నటాలీ పోర్ట్‌మన్	Natalie Portman
జలసంధి	Zeestraat
తపాలా బిళ్ళ	Postzegel
చిలగడదుంప	Zoete aardappel
గ్రెగర్ జోహన్ మెండల్	Gregor Mendel
కెంర్టెన్	Karinthië (deelstaat)
యాంగోన్	Rangoon (stad)
సెయింట్ లూయిస్	Saint Louis (Missouri)
ఎగ్జిస్టెన్షియలిజం	Existentialisme
వన్య శాస్త్రము	Bosbouw
నానాజాతి సమితి	Volkenbond
సమురాయ్	Samoerai
నాసికాస్థులు	Neusbeen
ఆధునిక చిత్రకళ	Moderne kunst
హెలెన్ కెల్లర్	Helen Keller
ఎన్య	Enya
ప్రాథమిక విభజన	Stam (biologie)
ఇంగ్లాండ్ రాజు హెన్రీ VIII	Hendrik VIII van Engeland
ఆశా భోస్లే	Asha Bhosle
న్యూటన్ సూత్రాలు	Wetten van Newton
కొలంబియా, దక్షిణ కెరొలిన	Columbia (South Carolina)
కుక్కల శిక్షణ	Hondentraining
బాక్సర్ (కుక్క)	Boxer (hond)
మిలియను	Miljoen
దేవనాగరి	Devanagari
పుచ్చ	Watermeloen
బంగాళాఖాతము	Golf van Bengalen
వంట	Koken (voedsel)
గాలి మర	Windmolen
ఆయతొల్లాహ్ ఖొమైనీ	Ruhollah Khomeini
విభూది తులసి	Basilicum
లేజర్	Laser (licht)
వార్త (న్యూస్)	Nieuws
జ్వరం	Koorts
అంతర్జాతీయ మహిళా దినోత్సవం	Internationale Vrouwendag
వోరార్ల్‌బెర్గ్	Vorarlberg
పీసా టవర్	Toren van Pisa
సూక్ష్మ అర్థ శాస్త్రము	Micro-economie
లీడ్స్	Leeds
చిట్టెలుక	Mus (geslacht)
ఘనపరిమాణము	Inhoud (volume)
గొడ్డలి	Bijl
సర్రియలిజం	Surrealisme
పాల్ పాట్	Pol Pot
ఎమ్మా వాట్సన్	Emma Watson
ట్రాక్టర్	Tractor
బ్లూటూత్	Bluetooth
సాధనసంపత్తి	Gereedschap
పీడనం	Druk (grootheid)
పెట్రోల్	Benzine
మైటోకాండ్రియా	Mitochondrion
క్రిస్టియాన్ హైగెన్స్	Christiaan Huygens
అలీ ఇబ్న్ అబీ తాలిబ్	Ali ibn Aboe Talib
పలవల దుప్పి	Rendier
పెనెలోప్ క్రజ్	Penélope Cruz
స్థూల ఆర్థిక శాస్త్రము	Macro-economie
రసవాదం	Alchemie
దీపస్తంభం	Vuurtoren
ది రేస్క్యూయర్స్	De Reddertjes
ఇత్తడి	Messing (legering)
జ్యాక్ నికల్సన్	Jack Nicholson
విక్రయం	Marketing
లోయ	Dal (aardrijkskunde)
జనాభా గణన	Volkstelling
సూక్ష్మజీవి	Micro-organisme
రేడియో స్టూడియో 54 నెట్వర్క్	Radio Studio 54 Network
స్నాయువు	Ligament (anatomie)
బాదం	Amandelboom
చతుర్వేదాలు	Veda's
నోస్ట్రడామస్	Nostradamus
సౌర శక్తి	Zonne-energie
సిల్వెస్టర్ స్టాలోన్	Sylvester Stallone
పానీయం	Drank
కంప్యూటర్ ప్రోగ్రామ్	Computerprogramma
సముద్రతీరం	Strand (kust)
ఇటుక	Baksteen
ఆక్టోపస్	Octopoda
లావా	Lava
తులాదండము	Hefboom
నియాండర్తల్	Neanderthaler
అంతరిక్ష నౌక	Ruimtevaartuig
కార్ల్ బెంజ్	Carl Benz
ఎన్నికలు	Verkiezing
మారథాన్	Marathon (sport)
గుణకారం	Vermenigvuldigen
ఆత్మరక్షణ	Zelfverdediging
ది ఫాక్స్ ఎండ్ ది హౌండ్	Frank en Frey
గుడ్ ఫ్రైడే	Goede Vrijdag
న్యాయవాది	Advocaat (beroep)
కారాగారము	Gevangenis
కణజాలము	Weefsel (biologie)
ఇంప్రెషనిజం	Impressionisme
బఫెలో, న్యూయార్క్	Buffalo (New York)
పర్వేజ్ ముషార్రఫ్	Pervez Musharraf
జూలియా రాబర్ట్స్	Julia Roberts
రాశి	Dierenriem
సుమో యోధులు	Sumo
శిలాజము	Fossiel
తీసివేత	Aftrekken (wiskunde)
విత్తనము	Zaad (plant)
పీత	Krabben
శస్త్ర చికిత్స	Chirurgie
కత్తెర	Schaar (gereedschap)
ఎడ్వర్డ్ జెన్నర్	Edward Jenner
సహజ వాయువు	Aardgas
ఊర్ట్ మబ్బు	Oortwolk
విషం	Vergif
డోరిస్ లెస్సింగ్	Doris Lessing
అతిసారం	Diarree
అండమాన్ నికోబార్ దీవులు	Andamanen en Nicobaren
డంబో	Dombo
వర్జీనియా వూల్ఫ్	Virginia Woolf
మూత్రం	Urine
ప్రార్థన	Gebed
వాల్‌రస్	Walrus
ఒరంగుటాన్	Orang-oetans
హిజ్బుల్లాహ్	Hezbollah
నుదురు	Voorhoofd
రాం నారాయణ్	Ram Narayan
సవాయి	Syfilis
స్కిజోఫ్రీనియా	Schizofrenie
మార్టిన్ స్కోర్సెస్	Martin Scorsese
హెరాక్లిటస్	Heraclitus
నిరుద్యోగం	Werkloosheid
సోనీ	Sony Corporation
బిగ్ బెన్	Big Ben
బార్పేట	Barpeta (district)
నాటింగ్‌హామ్	Nottingham
ద్రవ్యవేగం	Impuls (natuurkunde)
జాన్‌ డాల్టన్	John Dalton
రాకెట్	Raket
నైట్ టెంప్లర్	Tempeliers
ఉపకళా కణజాలము	Epitheel
బాబీ ఫిషర్	Bobby Fischer
పంపరపనస	Grapefruit
సమగ్ర దృశ్యం	Panorama (representatie)
చారు (సూప్)	Soep (voedsel)
మైఖేల్ జెఫ్రీ జోర్డాన్	Michael Jordan
మొలలు	Aambei
శవ పరీక్ష	Autopsie
ది గుడ్, ది బాడ్ అండ్ ది అగ్లీ	The Good, the Bad and the Ugly
న్యాయస్థానము	Rechtbank
వేరు	Wortel (plant)
కేశ ఉసిరి	Kruisbes
స్టాన్ఫోర్డ్ విశ్వవిద్యాలయం	Stanford-universiteit
వింబుల్డన్ ఛాంపియన్‌షిప్స్	Wimbledon (tennistoernooi)
ఫ్రాంక్ లాంపార్డ్	Frank Lampard
గ్రీన్ హౌస్ ప్రభావం	Broeikaseffect
ఆల్కేన్	Alkaan
గొడుగు	Paraplu
ధనియాలు	Koriander
రంజాన్	Ramadan
భారత జాతీయపతాకం	Vlag van India
గిన్నీస్ ప్రపంచ రికార్డులు	Guinness Book of Records
కంచర గాడిద	Muildier/muilezel
పరికల్పన	Hypothese
గ్రాము	Gram (eenheid)
షహాద	Sjahada
అధిక రక్తపోటు	Hypertensie
పాల్ న్యూమాన్	Paul Newman
మన్మోహన్ సింగ్	Manmohan Singh
రోసా పార్క్స్	Rosa Parks
అంతర్జాతీయ అణు శక్తి మండలి	Internationaal Atoomenergieagentschap
భిల్వార జిల్లా	Bhilwara (district)
తాహితీ	Tahiti
బార్మర్ జిల్లా	Barmer (district)
ఖదీజా	Khadija
షామానిజం	Sjamanisme
దుమ్ములగొండి	Hyena's
గోబీ ఎడారి	Gobi
డెంజెల్ వాషింగ్టన్	Denzel Washington
పర్యాయపదం	Synoniem (taalkunde)
పిరుదు	Bil (anatomie)
బకింగ్ హామ్ పాలెస్	Buckingham Palace
బొంగైగావ్	Bongaigaon (district)
కచార్	Cachar (district)
కొడవలి	Sikkel (werktuig)
తాటాకు ఆదివారం	Palmzondag
పరిశోధన	Wetenschappelijk onderzoek
రైబోసోము	Ribosoom
యూనిఫాం రిసోర్స్ లొకేటర్	Uniform Resource Locator
లోయ యొక్క పథం	Mirante do Vale
గూగుల్ ఎర్త్	Google Earth
పొద	Struik
అంతర్భేధం యొక్క విశ్లేషణము	Variantieanalyse
శంకువు	Kegel (ruimtelijke figuur)
అంతర్జాతీయ మాతృభాషా దినోత్సవం	Internationale Moedertaaldag
యుఎస్‌బి	Universal Serial Bus
తెల్ల రక్తకణాలు	Witte bloedcel
తాలిబాన్	Taliban
షెఫీల్డ్	Sheffield
అనగ్జిమాండర్	Anaximander
దర్రాంగ్	Darrang
ధెమాజి	Dhemaji (district)
డిబ్రూగర్	Dibrugarh (district)
ధుబ్రి	Dhubri (district)
మల్ల యుద్ధం	Worstelen
కాటి పెర్రీ	Katy Perry
ఇంధనం	Brandstof
హైలకండి	Hailakandi (district)
గోలాఘాట్	Golaghat (district)
సింధు లోయ నాగరికత	Indusbeschaving
కరీంగంజ్	Karimganj (district)
విస్లావా సింబోర్స్‌కా	Wisława Szymborska
కర్బి ఆంగ్లాంగ్	Karbi Anglong (district)
పసుపు	Curcuma longa
జేమ్స్ కామెరాన్	James Cameron
కైరా నైట్లీ	Keira Knightley
మోచేయి	Elleboog
ఎంపీ౩	MP3
కోక్రఝార్	Kokrajhar (district)
పాలస్తీనా	Palestijnse Autoriteit
నాగావ్	Nagaon (district)
గేదె	Waterbuffel
మారిగావ్	Marigaon (district)
లఖింపూర్	Lakhimpur (district)
తిన్‌ సుకియా	Tinsukia (district)
జీవావరణం	Biosfeer
సోనిత్‌పూర్	Sonitpur
దిమా హసాయో	North Cachar Hills
నల్బరి	Nalbari (district)
బోరోబుదూర్	Borobudur
ఇవాన్ తుర్గేనెవ్	Ivan Toergenjev
ప్రవక్త	Profeet
గాలిపటం	Vliegeren
నికోలస్ కేజ్	Nicolas Cage
శ్రీ కృష్ణుడు	Krishna (god)
అరారియా	Araria (district)
ఉత్పరివర్తనము	Mutatie (biologie)
మోక్షం	Nirwana
ఆగ్రా	Agra (India)
గోడ	Muur (bouwsel)
నూనె	Olie
ఋతుపవనాలు	Moesson (regentijd)
వాస్తుశిల్పి	Architect
బేసిక్	BASIC
అలర్జీ	Allergie
పచ్చబొట్టు	Tatoeage
స్పటికం	Kwarts
జెలగ	Bloedzuigers
సంక్షిప్త సందేశ సేవ	Sms
ఎలక్ట్రికల్ ఇంజనీరింగ్	Elektrotechniek
హీమోగ్లోబిన్	Hemoglobine
బ్యాంబి	Bambi (film)
అక్ష రాజ్యాలు	Asmogendheden
అనావృష్టి	Droogte
హైన్రిచ్ హిమ్లెర్	Heinrich Himmler
నల్ల మిరియాలు	Peper
కెంపు	Robijn (korund)
వర్గం:వికీపీడియా ప్రశ్నలు	Help:Veelgestelde vragen
లైకెన్	Korstmos
మొసలి	Krokodillen
స్వర్గం గుహ	Thiên Đường-grot
పత్రహరితం	Bladgroen
భీమా	Verzekering
సంస్థ	Organisatie
పోయేసి	Grassenfamilie
చార్లెస్, వేల్స్ యొక్క యువరాజు	Charles, prins van Wales
విక్టోరియా జలపాతం	Victoriawatervallen
జింకో	Japanse notenboom
టైమ్ పత్రిక)	Time (tijdschrift)
పవన విద్యుత్తు	Windenergie
జానపద సంగీతం	Folk
జలాలుద్దీన్ ముహమ్మద్ రూమి	Jalal ad-Din Rumi
హ్యారీ పోట్టర్ అండ్ ది ఫిలాసఫర్స్ స్టోన్	Harry Potter en de Steen der Wijzen (boek)
కాకి	Corvus (geslacht)
సి.బి.ఎస్.	CBS (televisiezender)
డిస్కవరీ ఛానల్	Discovery Channel
ఈసపు	Aesopus
చండీగఢ్	Chandigarh (unieterritorium)
ముత్యము	Parel
ఆడ	Vrouwelijk (biologie)
శతపది	Duizendpoten
మానవజాతి శాస్త్రం	Etnologie
ఫిరదౌసి	Ferdowsi
ఆంగ్‌కోర్ వాట్	Angkor Wat (tempel)
సహజ ఎంపిక	Natuurlijke selectie
బావి	Waterput
జంతు ప్రదర్శనశాల	Dierentuin
నైట్ విష్	Nightwish
సోంపు	Venkel
కే2	K2
సాపేక్ష సిద్ధాంతం	Relativiteitstheorie
ఫ్రెంచ్ ఓపెన్	Roland Garros (tennistoernooi)
పర్యావరణము	Natuurlijke omgeving
హమ్మింగ్ పక్షి	Kolibries
గుత్తాధిపత్యం	Monopolie
కివి	Apteryx
కొలెస్ట్రాల్	Cholesterol
బెర్ముడా ట్రయాంగిల్	Bermudadriehoek
ఆండ్రెస్ ఇనిఎస్తా	Andrés Iniesta
ఒయాసిస్సు	Oase
కనుబొమలు	Wenkbrauw
టర్కీ (పక్షి)	Meleagris
నాభి	Navel
అకశేరుకాలు	Ongewervelden
పాస్‌పోర్ట్	Paspoort
ఎడీ మర్ఫీ	Eddie Murphy (acteur)
జాక్ ది రిప్పర్	Jack the Ripper
బర్డ్ ఫ్లూ	Vogelpest
కాంబ్రిటేసి	Combretaceae
రీస్ విథర్‌స్పూన్	Reese Witherspoon
క్రిస్ జెరిఖో	Chris Jericho
మగ	Mannelijk (biologie)
హల్క్ హొగన్	Hulk Hogan
బ్రాంప్టన్	Brampton (Ontario)
చంద్ర గ్రహణం	Maansverduistering
మిషెల్ ఫూకొ	Michel Foucault
సల్మాన్ రష్దీ	Salman Rushdie
జిహాద్	Jihad
గ్నోమ్(GNOME)	GNOME
పురాణము	Legende (volksverhaal)
బ్లింగ్-బ్లింగ్	Blingbling
వాలెంతినా తెరిష్కోవా	Valentina Teresjkova
సొరంగం	Tunnel
నెక్ టై	Stropdas
రసాయన బంధం	Chemische binding
విన్స్ మెక్‌మాన్‌	Vince McMahon
గోల్డెన్ గేట్ వంతెన	Golden Gate Bridge
ఫాబేసి	Vlinderbloemenfamilie
ఒర్లాండో బ్లూమ్	Orlando Bloom
బల్లెము	Speer
పియర్ సైమన్ లాప్లేస్	Pierre-Simon Laplace
గానుగ	Molen
త్రవ్వకాలు(గనుల)	Mijnbouw
మహమ్మారి	Epidemie
సెల్మా లాగర్‌లోఫ్	Selma Lagerlöf
దేవాలయం	Tempel
గ్నూ	GNU
విద్యాధర్ సూరజ్ ప్రసాద్ నైపాల్	V.S. Naipaul
ఉపవాసము	Vasten
ఇకైనోడెర్మేటా	Stekelhuidigen
నౌకాశ్రయం	Haven
మల్బరీ	Moerbei
సుహార్తో	Soeharto
సన్ డూంగ్ కేవ్	Hang Sơn Đoòng
లిండ్సే లోహాన్	Lindsay Lohan
సుడోకు	Sudoku
బిందువు (జ్యామితి)	Punt (wiskunde)
అలెక్స్ ఫెర్గూసన్	Alex Ferguson
ఎంట్రోపి	Entropie
లకుముకి పిట్ట	IJsvogels
అనుకరణ	Simulatie
ఫాస్ట్ బౌలింగ్	Fast-bowling
యముడు	Yama (yoga)
మదన గింజ	Vlas (gewas)
సిమెంటు	Cement (bouwmateriaal)
పిస్టన్	Zuiger
ది డోర్స్	The Doors
బ్రహ్మపుత్రా నది	Brahmaputra
బ్రిటిష్‌ కౌన్సిల్‌	British Council
స్వస్తిక్	Swastika (symbool)
దెయ్యం	Spook
విలియం వర్డ్స్ వర్త్	William Wordsworth
డెన్నిస్ రిచీ	Dennis Ritchie
మీకాయీల్	Michaël (aartsengel)
యూకలిప్టస్	Eucalyptus
చెత్త	Afval (vuilnis)
షార్లోట్టేస్ వెబ్	Charlotte's Web (boek)
విశ్వనాథన్ ఆనంద్	Viswanathan Anand
పనస	Nangka
రోలు మరియు రోకలి	Vijzel (vermaler)
జలచర ప్రదర్శనశాల	Aquarium
సత్యేంద్రనాథ్ బోస్	Satyendra Nath Bose
కింగ్ ఆర్థర్	Koning Arthur
వరకట్నం	Bruidsschat
బాణం	Pijl (wapen)
ఎఱ్ఱకోట	Rode Fort (Delhi)
చెవుల పిల్లి	Echte hazen
దాద్రా నగరు హవేలీ	Dadra en Nagar Haveli
మానవతావాదం	Humanisme
జీయాస్ విగ్రహం-ఒలింపియా	Beeld van Zeus te Olympia
గతి శక్తి	Kinetische energie
రోసేసి	Rozenfamilie
తాబేలు	Landschildpadden
పులిట్జర్ బహుమానం	Pulitzerprijs
ఛార్లెస్‌ బాబేజ్‌	Charles Babbage
రక్త పిశాచి	Vampier
ఫిజి హిందీ	Fijisch Hindoestani
అమీబా	Amoeba (geslacht)
హ్యారీ పాటర్ అండ్ ది గోబ్లెట్ ఆఫ్ ఫైర్	Harry Potter en de Vuurbeker (boek)
హ్యారీ పాటర్ అండ్ ది డెత్లీ హాలోస్	Harry Potter en de Relieken van de Dood (boek)
వంగారి మాథాయ్	Wangari Maathai
భగవద్గీత	Bhagavad Gita
ది టైమ్స్ ఆఫ్ ఇండియా	The Times of India
ఇస్రేల్ మ్యూజియం	Israel Museum
ఉంగరము	Ring (sieraad)
హ్యారీ పాటర్ అండ్ ది హాఫ్ బ్లడ్ ప్రిన్స్	Harry Potter en de Halfbloed Prins (boek)
జిఎస్ఎమ్	GSM (communicatie)
పలి జిల్లా	Pali (district)
గాబ్రో	Gabbro
బుగ్గ	Wang (anatomie)
జీవవైవిధ్యం	Biodiversiteit
రూబిక్స్ క్యూబ్	Rubiks kubus
ఐశ్వర్య రాయ్	Aishwarya Rai
మానభంగం	Verkrachting
బొక్కెన	Emmer
ఎల్ఎక్స్‌డిఇ(LXDE)	LXDE
క్రిస్మస్ చెట్టు	Kerstboom
కు క్లక్స్ క్లాన్	Ku Klux Klan
బ్రాహ్మణులు	Brahmaan
అటకామా ఎడారి	Atacama (woestijn)
వినియోగదారు ఇంటర్‌ఫేస్	Gebruikersomgeving
హ్యారీ పాటర్ అండ్ ది ఛాంబర్ ఆఫ్ సీక్రెట్స్	Harry Potter en de Geheime Kamer (boek)
వారెన్ బఫెట్	Warren Buffett
శాసనోల్లంఘన	Burgerlijke ongehoorzaamheid
పుట్టిన రోజు	Verjaardag
కామసూత్ర	Kamasutra
కేంద్రీయ నాడీ వ్యవస్థ	Centraal zenuwstelsel
ఇబ్రాహీం మతము	Abrahamitische religies
ఇలకోడి	Krekels
క్యోటో ఒప్పందం	Kyoto-protocol
మిల్టన్ ఫ్రీడ్‌మన్	Milton Friedman
ఎడ్మండ్ హేలీ	Edmond Halley
స్వామీ వివేకానంద	Vivekananda
అంతర్జాతీయ క్రిమినల్ కోర్టు	Internationaal Strafhof
కంపైలర్	Compiler
ఎసిటిక్ ఆమ్లం	Azijnzuur
ప్రమాణం	Natuurkundige eenheid
ఆర్సేన్ వెంగెర్	Arsène Wenger
హ్యారీ పోటర్ అండ్ ది ప్రిజనెర్ ఆఫ్ అజ్కాబాన్	Harry Potter en de Gevangene van Azkaban (boek)
ఎంఎస్-డాస్	MS-DOS
నాడైన్ గార్డిమర్	Nadine Gordimer
రక్త వర్గం	Bloedgroep
కాథరిన్ జీటా-జోన్స్	Catherine Zeta-Jones
బ్లాక్ సబ్బాత్	Black Sabbath
బాబిలోనియా	Babylonië
ది గాడ్‌ఫాదర్	The Godfather
డౌన్ సిండ్రోమ్	Syndroom van Down
బ్రొక్కొలి	Broccoli
ధనుర్వాతము	Tetanus
ప్రతిభా పాటిల్	Pratibha Patil
మెంథా	Munt (geslacht)
రాబీ విలియమ్స్	Robbie Williams
పేకముక్క	Speelkaart
ప్యారిస్ హిల్టన్	Paris Hilton
ఖడ్గమృగం	Indische neushoorn
లక్నో	Lucknow (stad)
సర్కస్	Circus (attractie)
బుల్ఢానా జిల్లా	Buldhana (district)
మూస:Commonscat	Sjabloon:Commonscat
కింగ్ కోబ్రా	Koningscobra
మూల కణం	Stamcel
అరేసి	Aronskelkfamilie
ఈదీ అమీన్	Idi Amin
ఫెడోరా	Fedora
వాటర్లూ యుధ్ధం	Slag bij Waterloo
యూరియా	Ureum
నీతి	Moraal
బేవుల్ఫ్	Beowulf (gedicht)
మోర్గాన్ ఫ్రీమాన్	Morgan Freeman
సిఎన్ఎన్ (CNN)	CNN
మీనార్	Minaret
హిప్పోకాంపస్	Hippocampus (hersenen)
గిలక (పుల్లీ)	Katrol
అమృత్‌సర్	Amritsar (stad)
రిచర్డ్ గేర్	Richard Gere
ఫీనిక్స్ (పక్షి)	Feniks
గ్నూ హర్డ్	GNU/Hurd
వోయెజర్ 2	Voyager 2
రోసెట్టా వ్యోమనౌక	Rosetta (ruimtesonde)
తోటపని	Tuinbouw
పరదా	Gordijn (afscherming)
దారం	Garen (draad)
చంద్రయాన్	Chandrayaan-1
కుట్టు మిషను	Naaimachine
తెలుగు కథ	Kort verhaal
మసాచుసెట్స్ ఇన్సిట్యూట్ ఆఫ్ టెక్నాలజీ	Massachusetts Institute of Technology
పెన్సిల్వేనియా విశ్వవిద్యాలయం	Universiteit van Pennsylvania
భోజ్‌పూర్	Bhojpur (district in Bihar)
భగల్‌పూర్	Bhagalpur (district)
బెగుసరాయ్	Begusarai (district)
తూర్పు చంపారణ్	Purba Champaran
దర్భంగా	Darbhanga (district)
బక్సార్	Buxar (district)
జమూయి	Jamui (district)
గోపాల్‌గంజ్	Gopalganj (district)
ఖగరియా	Khagaria (district)
జహానాబాద్	Jehanabad (district)
రోచెస్టర్, న్యూయార్క్	Rochester (New York)
సాలి రైడ్	Sally Ride
ఆల్బర్ట్ స్విట్జర్	Albert Schweitzer
పర్యాటక రంగం	Toerisme
ఏలియమ్	Look (geslacht)
మారుపేరు	Bijnaam
పీచుమిఠాయి	Suikerspin
వివాహం (పెళ్లి)	Bruiloft
నీటి వర్ణ చిత్రాలు	Aquarel
డైర్ స్ట్రెయిట్స్	Dire Straits
ట్రోజన్ హార్స్	Paard van Troje
రిచర్డ్ అటెన్‌బరో	Richard Attenborough
కొండమీద ప్రసంగం	Bergrede
ఇస్లాం క్రైస్తవ మతాల మధ్య సంబంధాలు	Isa (profeet)
యూహాన్నా అల్ దెమాష్కీ	Johannes Damascenus
ఎబోలా వైరస్ వ్యాధి	Ebola
షేక్ హసీనా	Hasina Wajed
సుంకం	Douanerechten
మూస:Chembox	Sjabloon:Infobox chemische stof
మూస:సమాచారపెట్టె ఖనిజం	Sjabloon:Infobox mineraal
మూస:Taxobox	Sjabloon:Taxobox
ఎరిక్సన్	Ericsson
ఘనీభవించిన భుజం	Frozen shoulder
ప్రసంగం	Spraak
బ్లాక్ కామెడీ	Zwarte humor
రక్త దానం	Bloeddonatie
అకాంథేసి	Acanthaceae
లామియేసి	Lipbloemenfamilie
లిలియేసి	Leliefamilie
కప్ప	Kikkers
సాలమండర్	Salamanders
కొండ	Heuvel (landvorm)
ద్రవాభిసరణం	Osmose
సిడ్నీ హార్బర్ వంతెన	Sydney Harbour Bridge
మార్టినా నవ్రతిలోవా	Martina Navrátilová
ఆండీ రాడిక్	Andy Roddick
జఘన జుట్టు	Schaamhaar
సునీతా విలియమ్స్	Sunita Williams
పెథిడిన్	Pethidine
స్పైస్ గర్ల్స్	Spice Girls
సమర్థ రామదాసు	Samarth Ramdas
ఓప్రా విన్‌ఫ్రే	Oprah Winfrey
స్యాలమెంక	Salamanca (Chili)
పారాసిటమాల్	Paracetamol
ఫ్రిట్జ్ హేబర్	Fritz Haber
కంచము	Bord (maaltijd)
జాకబ్ జుమా	Jacob Zuma
మహీంద రాజపక్స	Mahinda Rajapaksa
ప్రణబ్ ముఖర్జీ	Pranab Mukherjee
కోట	Fortificatie
పాశ్చరైజేషన్	Pasteuriseren
తక్షణ సందేశం	Instant messaging
డిమ్ము బోర్‌గిర్	Dimmu Borgir
శ్రుతి	Shruti (muziek)
పంజాబీ భాష	Punjabi
బ్రాసికా	Kool (geslacht)
అరేబియా సముద్రము	Arabische Zee
కాలుష్యం	Milieuverontreiniging
లిలీ అలెన్	Lily Allen
సౌర ఘటం	Zonnecel
సరస్వతి	Sarasvati (godin)
ఎక్కిళ్ళు	Hik
రాట్నం	Spinnewiel
శివసేన	Shiv Sena
పిల్లి చేప	Meervalachtigen
ఆటో రిక్షా	Tuktuk
చామంతి	Chrysanthemum
ఆస్కార్ షిండ్లర్	Oskar Schindler
హెడీ క్లమ్	Heidi Klum
వెంకటరామన్ రామకృష్ణన్	Venkatraman Ramakrishnan
రజినీకాంత్	Rajinikanth
ది సౌండ్ ఆఫ్ మ్యూజిక్	The Sound of Music (film)
మాక్స్ ముల్లర్	Max Müller
ఆట్టో వాన్ గెరిక్	Otto von Guericke
భారత ఉపఖండము	Indisch subcontinent
సంకేతాధ్యయన శాస్త్రం	Semiotiek
చంద్రశేఖర వేంకట రామన్	Chandrasekhara Raman
నమస్కారం	Namasté
కేథలిక్ బైబిల్ గ్రంధాలు	Evangelie naar Filippus
తోక	Staart
హిస్టమిన్	Histamine
ప్రి-ఎక్లంప్సియా	Pre-eclampsie
నెల్లూరు	Nellore (India)
కొవ్వు ఆమ్లం	Vetzuur
రోలెక్స్	Rolex
లండన్ టవర్	Tower of London (gebouw)
వెస్ట్ మినిస్టర్ రాజభవనం	Palace of Westminster
కెనాన్ ఇంక్	Canon Inc.
అండకోశం	Stamper (plant)
ఖగోళ వేధశాల	Sterrenwacht
మౌర్య సామ్రాజ్యం	Mauryadynastie
నిద్రమాత్ర	Slaapmiddel
కోకస్	Kokken
కెనాన్ ఈ ఓ ఎస్ 1100డి	Canon EOS 1100D
మరుగుజ్జు వృక్షాలు	Bonsai
పిత్తాశయము	Galblaas
విద్యుద్విశ్లేషణ	Elektrolyse
ఆంథోనీ హాప్కిన్స్	Anthony Hopkins
పైత్యరసం	Gal (stof)
ఖలీఫా	Kalief
డ్యుయిష్ బ్యాంక్	Deutsche Bank
ఇండోర్	Indore (stad)
దమన్ దియు	Daman en Diu
పుదుచ్చేరి	Puducherry (unieterritorium)
యావజ్జీవ కారాగారశిక్ష	Levenslange gevangenisstraf
ఎముక విరుపు	Botbreuk
పాముకాటు	Slangenbeet
అజ్మల్ కసబ్	Ajmal Kasab
సైబీరియన్ పులి	Siberische tijger
ద్రావిడ ప్రజలు	Dravidiërs
ఎయిర్ ఇండియా	Air India
ఆదాము	Adam
పెండలము	Dioscorea
వక్రీభవనం	Lichtbreking
విద్యుత్ మోటారు	Elektromotor
కాగితపు విమానం	Papieren vliegtuigje
పండుగప్ప	Barramundi
అడవి ఆముదము చెట్టు	Purgeernoot
డెల్ఫీ	Delphi (Griekenland)
పీఠభూమి	Plateau (geografie)
ఎ లాట్ లైక్ లవ్	A Lot Like Love
ఎలిజబెత్ హర్లె	Elizabeth Hurley
సామ్యూల్ F. B. మోర్స్	Samuel Morse
హాగ్ చేప	Slijmprikken
బుడగ	Bubble
ద్రవ బుడగ	Bel (vloeistof)
సబ్బు బుడగ	Zeepbel
బోరిస్ బెకర్	Boris Becker
26/11 ముంబై పై దాడి	Aanslagen in Bombay van november 2008
ఎమిల్ వాన్ బెరింగ్	Emil Adolf von Behring
డాప్లర్ ప్రభావం	Dopplereffect
కన్నీరు	Traan (oog)
చొక్కా	Overhemd
ఫ్రెడ్రిక్‌ అగస్ట్‌ కెకూలే	Friedrich Kekulé
మాక్స్‌ డెల్‌బ్రక్	Max Delbrück
కిషన్‌గంజ్	Kishanganj (district)
ముంగేర్	Munger (district)
మధుబని	Madhubani (district)
