આફ્રિકા	Afrika
સપ્ટેમ્બર ૪	4 september
સપ્ટેમ્બર ૯	9 september
સપ્ટેમ્બર ૨	2 september
સપ્ટેમ્બર ૬	6 september
સપ્ટેમ્બર ૧	1 september
સપ્ટેમ્બર ૩	3 september
ડિસેમ્બર ૨૯	29 december
સપ્ટેમ્બર ૩૦	30 september
સપ્ટેમ્બર ૨૯	29 september
સપ્ટેમ્બર ૨૮	28 september
સપ્ટેમ્બર ૨૭	27 september
સપ્ટેમ્બર ૨૬	26 september
સપ્ટેમ્બર ૨૫	25 september
સપ્ટેમ્બર ૨૩	23 september
સપ્ટેમ્બર ૨૨	22 september
સપ્ટેમ્બર ૨૪	24 september
સપ્ટેમ્બર ૨૧	21 september
સપ્ટેમ્બર ૨૦	20 september
સપ્ટેમ્બર ૧૮	18 september
સપ્ટેમ્બર ૧૭	17 september
સપ્ટેમ્બર ૧૯	19 september
સપ્ટેમ્બર ૧૬	16 september
ડિસેમ્બર ૩૦	30 december
ડિસેમ્બર ૩૧	31 december
ઓક્ટોબર ૧	1 oktober
ઓક્ટોબર ૧૫	15 oktober
ઓક્ટોબર ૧૨	12 oktober
ઓક્ટોબર ૧૦	10 oktober
ઓક્ટોબર ૧૪	14 oktober
ઓક્ટોબર ૯	9 oktober
ઓક્ટોબર ૮	8 oktober
ઓક્ટોબર ૧૩	13 oktober
ઓક્ટોબર ૭	7 oktober
ઓક્ટોબર ૧૧	11 oktober
ઓક્ટોબર ૬	6 oktober
ઓક્ટોબર ૪	4 oktober
ઓક્ટોબર ૫	5 oktober
ઓક્ટોબર ૩	3 oktober
ઓક્ટોબર ૨	2 oktober
બકરી	Geit
ઓક્ટોબર ૩૧	31 oktober
ઓક્ટોબર ૩૦	30 oktober
ઓક્ટોબર ૨૯	29 oktober
ઓક્ટોબર ૨૮	28 oktober
ઓક્ટોબર ૨૬	26 oktober
ઓક્ટોબર ૨૫	25 oktober
ઓક્ટોબર ૨૪	24 oktober
ઓક્ટોબર ૨૭	27 oktober
ઓક્ટોબર ૨૨	22 oktober
ઓક્ટોબર ૨૩	23 oktober
ઓક્ટોબર ૨૦	20 oktober
ઓક્ટોબર ૨૧	21 oktober
ઓક્ટોબર ૧૯	19 oktober
ઓક્ટોબર ૧૭	17 oktober
ઓક્ટોબર ૧૬	16 oktober
ઓક્ટોબર ૧૮	18 oktober
નવેમ્બર ૧૫	15 november
નવેમ્બર ૧૪	14 november
નવેમ્બર ૧૩	13 november
નવેમ્બર ૧૨	12 november
નવેમ્બર ૧૧	11 november
નવેમ્બર ૧૦	10 november
નવેમ્બર ૭	7 november
નવેમ્બર ૮	8 november
નવેમ્બર ૯	9 november
નવેમ્બર ૬	6 november
નવેમ્બર ૫	5 november
નવેમ્બર ૪	4 november
નવેમ્બર ૩	3 november
નવેમ્બર ૨	2 november
નવેમ્બર ૧	1 november
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30 november
નવેમ્બર ૨૯	29 november
નવેમ્બર ૨૮	28 november
નવેમ્બર ૨૭	27 november
નવેમ્બર ૨૬	26 november
નવેમ્બર ૨૫	25 november
નવેમ્બર ૨૩	23 november
નવેમ્બર ૨૪	24 november
નવેમ્બર ૨૧	21 november
નવેમ્બર ૨૦	20 november
નવેમ્બર ૨૨	22 november
નવેમ્બર ૧૯	19 november
નવેમ્બર ૧૮	18 november
નવેમ્બર ૧૭	17 november
નવેમ્બર ૧૬	16 november
કાઠમંડુ	Kathmandu (stad)
સીડની	Sydney
મેલબોર્ન	Melbourne
પર્થ	Perth (Australië)
નાઈલ નદી	Nijl
કોંગો નદી	Kongo (rivier)
ધૂમકેતુ	Komeet
જાકાર્તા	Jakarta
જાવા (ટાપુ)	Java (eiland)
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:Zandbak
કમ્પ્યુટર હાર્ડવેર	Hardware
નકશો	Kaart (cartografie)
નવસાર	Ammoniak
ડૉંગ હેકટર એરપોર્ટ	Luchthaven Đồng Hới
શૂન્યાવકાશ	Ruimte (astronomie)
આત્મકથા	Autobiografie
ખગોળીય દૂરબીન	Telescoop (optica)
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarine
મધરબોર્ડ	Moederbord
USB ડ્રાઇવ	USB-stick
પંજાબ (પાકિસ્તાન)	Punjab (Pakistan)
મહાબોધિ મંદિર	Mahabodhitempel
સહ્યાદ્રિ પર્વતમાળા	West-Ghats
ભારતની પર્વતીય રેલ્વે	Bergspoorwegen van India
કન્ફ્યુશિયસ	Confucius
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Categorie:Wiskunde
ફરો દ્વિપસમૂહ	Faeröer
સુરત	Surat (India)
સાયપ્રસનો રાષ્ટ્રધ્વજ	Vlag van Cyprus
બાલી	Bali (eiland)
માળો (પક્ષી)	Vogelnest
લૅરી પેજ	Larry Page
ગંગા નદી	Ganges (rivier)
સેલિન ડીયોન	Céline Dion
ખંડ	Continent
એડિલેઇડ	Adelaide (Australië)
પક્ષી	Vogels
રાજધાની	Hoofdstad
ગુજરાતી ભાષા	Gujarati (taal)
મહિનો	Maand
ઢાંચો:Portal	Sjabloon:Link portaal
બિલ ગેટ્સ	Bill Gates
જ્ઞાનકોશ	Encyclopedie
મુખપૃષ્ઠ	Hoofdpagina
સિંધવ	Haliet
બાસ્કેટબોલ (રમત)	Basketbal
ક્રિકેટ	Cricket
યુરેશીયા	Eurazië
હિમાલય	Himalaya
કેપ ટાઉન	Kaapstad
કેસ્પિયન સમુદ્ર	Kaspische Zee
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Valencia (autonome gemeenschap)
મોહેં-જો-દડો	Mohenjodaro
પેટ્રા	Petra (historische stad)
એવર્ટન ફૂટબોલ ક્લબ	Everton FC
મક્કા	Mekka
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Đoković
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichén Itzá
તમિલ ભાષા	Tamil
ચા	Thee (drank)
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland (Oregon)
મૂડીવાદ	Kapitalisme
દેશ	Land (geografie)
હિલેરી ક્લિન્ટન	Hillary Clinton
કોનકોર્ડ	Concorde (vliegtuig)
ડોનાલ્ડ ડક	Donald Duck (personage)
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Straatsburg
ક્રોએશિયન ભાષા	Kroatisch
રેનો	Renault
કાલિદાસ	Kālidāsa
ઉલ્કાઓ	Meteoroïde
ગૌતમ બુદ્ધ	Boeddha (verlichte)
જૈવ તકનીક	Biotechnologie
વિશ્વ બેંક	Wereldbank
લોકશાહી	Democratie
વૈશ્વિકરણ	Mondialisering
નોબૅલ પારિતોષિક	Nobelprijs
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Elizabeth I van Engeland
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorisme
નાઝીવાદ	Nationaalsocialisme
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Indus (rivier)
કાન	Oor
આંખ	Oog (anatomie)
ગીત	Lied
હાથી	Olifanten
કીડી	Mieren
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Aubergine (plant)
હિમવર્ષા	Sneeuw
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Wereldhandelsorganisatie
ચાઇનીઝ ભાષા	Chinese talen
કુદરત	Natuur (kosmos)
રક્ત	Bloed
કંકાલતંત્ર	Skelet
ફેફસાં	Long (orgaan)
મેઘ	Regen (neerslag)
વૈશ્વિક ઉષ્ણતા	Opwarming van de Aarde
ધરતીકંપ	Aardbeving
સત્ય	Waarheid
કોમ્પ્યુટર માઉસ	Muis (computer)
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King
અવતરણ ચિહ્ન	Aanhalingsteken
કુદરતી આફતો	Natuurramp
પૂર	Overstroming
સુનામી	Tsunami
જ્વાળામુખી	Vulkaan
વાદળ	Wolk
ત્રિકોણમિતિ	Goniometrie
ભૂમિતિ	Meetkunde
તેલુગુ ભાષા	Telugu (taal)
ગ્રીક મૂળાક્ષરો	Grieks alfabet
શ્રેણી:ફ્રાન્સ	Categorie:Frankrijk
શ્રેણી:સંગીત	Categorie:Muziek
શ્રેણી:સાહિત્ય	Categorie:Literatuur
નવલકથા	Roman (literatuur)
મહાભારત	Mahabharata
પોપટ	Parkieten
હેરી પોટર	Harry Potter (boekenreeks)
મશક વાજું	Doedelzak
પીડોફિલિયા (બાળ યૌનશોષણ)	Pedofilie
સિકંદર	Alexander de Grote
સંસ્કૃતિ	Beschaving
પુરુષ	Man (geslacht)
લગ્ન	Huwelijk
ફાંસીની સજા	Doodstraf
ગુલામી પ્રથા	Slavernij
દૂધ	Melk (drank)
પર્વત	Berg (landvorm)
અશોક	Asoka
અકબર	Akbar de Grote
હોંગકોંગ	Hongkong
કરાચી	Karachi
લાગોસ	Lagos (Nigeria)
આર્કિમીડીઝ	Archimedes
થૉમસ ઍડિસન	Thomas Edison
યુક્લિડ	Euclides van Alexandrië
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Cryptografie
ઈન્ટરનેટ પ્રોટોકોલ	Internetprotocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Sterrenbeeld
નૉર્વેજિયન ભાષા	Noors
ચાણક્ય	Chanakya
બાગમતી પ્રાંત (નેપાળ)	Bagmati (zone)
નોઆમ ચોમ્સ્કી	Noam Chomsky
ભેરી પ્રાંત (નેપાળ)	Bheri
મુસા	Mozes
ધવલાગિરી પ્રાંત (નેપાળ)	Dhawalagiri
હિંદુ ધર્મ	Hindoeïsme
અણુ	Atoom
પ્રકાશ	Licht
ગંડકી પ્રાંત (નેપાળ)	Gandaki
તાજ મહેલ	Taj Mahal
જનકપુર પ્રાંત (નેપાળ)	Janakpur (zone)
ઇ-મેઇલ	E-mail
કર્ણાલી પ્રાંત (નેપાળ)	Karnali (zone)
ફારસી ભાષા	Perzisch
કોશી પ્રાંત (નેપાળ)	Kosi (bestuurlijke zone)
લુમ્બિની પ્રાંત (નેપાળ)	Lumbini (zone)
મહાકાલી પ્રાંત (નેપાળ)	Mahakali (zone)
મેચી પ્રાંત (નેપાળ)	Mechi
ઇબ્રાહિમ	Abraham
નારાયણી પ્રાંત (નેપાળ)	Narayani
રાપ્તી પ્રાંત (નેપાળ)	Rapti
સગરમાથા પ્રાંત (નેપાળ)	Sagarmatha (zone)
સેતી પ્રાંત (નેપાળ)	Seti (zone)
યુનાઇટેડ સ્ટેટ્સ આર્મી	United States Army
લુમ્બિની	Lumbini (plaats)
જૈન ધર્મ	Jaïnisme
યહૂદી ધર્મ	Jodendom
લાઓત્સે	Laozi
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
મનોવિજ્ઞાન	Psychologie
મહાવીર સ્વામી	Mahavira
ટિમ્બક્ટુ	Timboektoe (stad)
દિગંબર	Digambar
લોથલ	Lothal
મુહમ્મદ	Mohammed
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	Abdul Kalam
બીબીસી	British Broadcasting Corporation
શાહરૂખ ખાન	Shahrukh Khan
સલમાન ખાન	Salman Khan (acteur)
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Confucianisme
તાઓ ધર્મ	Taoïsme
જરથોસ્તી ધર્મ	Zoroastrisme
બંગાળી ભાષા	Bengaals
જીભ	Tong (anatomie)
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea FC
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal FC
સ્વાદુપિંડ	Alvleesklier
ફૉકલેન્ડ ટાપુઓ	Falklandeilanden
બ્લૂઝ	Blues
ઇરોડ	Erode (stad)
પ્રાથમિક શાળા	Lagere school
સેલમ	Salem (India)
કોઇમ્બતુર	Coimbatore (stad)
મૈસૂર	Mysore (stad)
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Congrespartij
ભારતીય જનતા પાર્ટી	Bharatiya Janata-partij
દિવાળી	Divali
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Kanaaltunnel
હોળી	Holi-Phagwa
પાયથાગોરસ	Pythagoras
નવરાત્રી	Navratri
દશેરા	Dashera
કુંભ મેળો	Kumbh Mela
કોલોસીયમ	Colosseum
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Periodiek systeem
કબૂતર	Duiven (vogels)
અંધાપો	Blindheid
ચીઝ	Kaas
દ્રાક્ષ	Druif
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Aardappel
શાકભાજી	Groente
સ્નૂકર	Snooker
ઇજનેરી	Engineering
પ્રત્યાયન	Communicatie
સંસ્કૃત ભાષા	Sanskriet
રુધિરાભિસરણ તંત્ર	Hart en vaatstelsel
IPv4	Internet Protocol versie 4
IP એડ્રેસ	IP-adres
પ્રશ્નચિહ્ન	Vraagteken
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center (New York)
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Keukenzout
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan (New York)
તત્વ	Chemisch element
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Vishnoe
લોકલ એરિયા નેટવર્ક	Local area network
વાઈડ એરિયા નેટવર્ક	Wide area network
વિદ્યુત-ચુંબકીય તરંગો	Elektromagnetische straling
બ્રહ્મા	Brahma (hindoeïsme)
બળ	Kracht
ચુંબકીયક્ષેત્ર	Magnetisch veld
ગુરુત્વાકર્ષણ	Zwaartekracht
માર્શલ આર્ટસ	Vechtkunst
જુડો	Judo
દળ	Massa (natuurkunde)
ધાતુ	Metaal
વાયુ	Gas (aggregatietoestand)
પ્રવાહી	Vloeistof
ઘન	Vaste stof
કૃષિ	Landbouw
કપાસ	Katoen
કપડાં	Kleding
તાપમાન	Temperatuur
ધાતુશાસ્ત્ર	Metallurgie
કાગળ	Papier
ક્ષેત્રફળ	Oppervlakte
દેનપસાર	Denpasar
સેકન્ડ	Seconde
મકાઈ	Mais
માટીકામ	Pottenbakken
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Weer (meteorologie)
લાહોર	Lahore
મેસોપોટેમીયા	Mesopotamië
પ્રાચીન ઇજિપ્ત	Oude Egypte
ગુપ્ત સામ્રાજ્ય	Gupta's
સ્લીપિંગ બ્યૂટી	Doornroosje
સિન્ડ્રેલા	Assepoester
રાજકોટ	Rajkot (stad)
જુનાગઢ	Junagadh
વડોદરા	Vadodara (stad)
ગાંધીનગર	Gandhinagar (stad)
મિકી માઉસ	Mickey Mouse
પ્રકાશસંશ્લેષણ	Fotosynthese
કર્કરોગ (કેન્સર)	Kanker
ઘઉં	Tarwe
બધિરતા	Doofheid
ગ્રેગોરીયન પંચાંગ	Gregoriaanse kalender
નિકોટિન	Nicotine
હૃદયરોગનો હુમલો	Hartinfarct
મલેરિયા	Malaria
કુપોષણ	Malnutritie
ગુપ્તરોગ	Seksueel overdraagbare aandoening
એડ્સ	Aids
ક્ષય રોગ	Tuberculose
મધુપ્રમેહ	Diabetes mellitus
ઢાંચો:Location map India	Sjabloon:Positiekaart India
બુર્જ દુબઈ	Burj Khalifa
ચીનની મહાન દિવાલ	Chinese Muur
પિરામિડ	Piramide (bouwwerk)
ફેશન	Mode
તલવાર	Zwaard (wapen)
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Lychee
નારિયેળ	Kokospalm
દાડમ	Granaatappel
સંતરુ (ફળ)	Sinaasappel
રાજસ્થાની ભાષા	Rajasthani
તેઝુ	Tezu
આઇસ્ક્રીમ	Roomijs
ઢાંચો:Location map Canada	Sjabloon:Positiekaart Canada
સીદી	Siddi (etnische groep)
નિરોધ	Condoom
ડોલર	Dollar (munt)
માછીમારી	Visserij
થોર	Cactusfamilie
ગરમ મસાલો	Garam masala
ઘર ચકલી	Huismus
મકાઉ	Macau
ચીકુ	Sapodilla
હુ જિન્તાઓ	Hu Jintao
જિરાફ	Giraffe (dier)
અરિયાલુર જિલ્લો	Ariyalur (district)
કોઇમ્બતુર જિલ્લો	Coimbatore (district)
કડ્ડલોર જિલ્લો	Cuddalore (district)
ધર્મપુરી જિલ્લો	Dharmapuri (district)
દિંડીગુલ જિલ્લો	Dindigul (district)
ઇરોડ જિલ્લો	Erode (district)
કાચીપુરમ જિલ્લો	Kanchipuram (district)
કન્યાકુમારી જિલ્લો	Kanyakumari (district)
મુછ	Snor (haargroei)
સોવિયેત યુનિયન	Sovjet-Unie
કરુર જિલ્લો	Karur (district)
મદુરાઇ જિલ્લો	Madurai (district)
રામનાથપુરમ જિલ્લો	Ramanathapuram (district)
સેલમ જિલ્લો	Salem (district)
થંજાવુર જિલ્લો	Thanjavur (district)
શિવગંગાઇ જિલ્લો	Sivaganga (district)
થેની જિલ્લો	Theni (district)
તિરુવરુર જિલ્લો	Tiruvarur (district)
તિરુનેલવેલી જિલ્લો	Tirunelveli (district)
તિરુવલ્લુર જિલ્લો	Tiruvallur (district)
વિલુપ્પુરમ જિલ્લો	Viluppuram (district)
વેલ્લોર જિલ્લો	Vellore (district)
તિરુવનામલઇ જિલ્લો	Tiruvannamalai (district)
વિરુધુનગર જિલ્લો	Virudhunagar (district)
મદ્યપાન	Alcoholisme
હૈદરાબાદ જિલ્લો	Haiderabad (district)
કુર્નૂલ	Kurnool (district)
નેલ્લોર જિલ્લો	Nellore (district)
તવાંગ જિલ્લો	Tawang (district)
ઉપરી સિયાંગ જિલ્લો	Upper Siang
C (પ્રોગ્રામિંગ ભાષા)	C (programmeertaal)
બ્રુસ લી	Bruce Lee
વીલેન	Virtual LAN
વિકિપીડિયા:ચોતરો	Wikipedia:De kroeg
કમળ	Heilige lotus
વર્મોન્ટ	Vermont
સેન જોસ, કેલિફોર્નિયા	San Jose (Californië)
હ્યુસ્ટન	Houston
હોસ્પિટલ	Ziekenhuis
ઘડિયાલ	Gaviaal
વિમાનવાહક જહાજ	Vliegdekschip
મોબાઇલ ફોન	Mobiele telefoon
શેફિલ્ડ ફૂટબોલ ક્લબ	Sheffield FC
માન્ચેસ્ટર યુનાઇટેડ ફૂટબોલ ક્લબ	Manchester United FC
સ્વાનસી સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Swansea City AFC
કાર્ડિફ સિટી ફૂટબૉલ ક્લબ	Cardiff City FC
એસ્ટોન વિલા ફૂટબોલ ક્લબ	Aston Villa FC
ન્યૂકેસલ યુનાઇટેડ ફૂટબોલ ક્લબ	Newcastle United FC
ક્વીન્સ પાર્ક રેન્જર્સ ફૂટબોલ ક્લબ	Queens Park Rangers FC
સાઉધમ્પ્ટન ફૂટબોલ ક્લબ	Southampton FC
સ્ટોક સિટી ફૂટબોલ ક્લબ	Stoke City FC
સન્ડરલેન્ડ એસોસિયેશન ફૂટબોલ ક્લબ	Sunderland AFC
ટોટનમ હોટ્સ્પર ફૂટબોલ ક્લબ	Tottenham Hotspur FC
વેસ્ટ બ્રોમવિચ એલ્બિયન ફૂટબોલ ક્લબ	West Bromwich Albion FC
વિગાન એથલેટિક ફૂટબૉલ ક્લબ	Wigan Athletic FC
તાડ બિલાડી	Loewak
બગલો	Reigers
વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	Global positioning system
સ્ક્રિલ્લેક્સ	Skrillex
હોટલ તાજ મહેલ પેલેસ	Taj Mahal Palace & Tower
વિંછી (પ્રાણી)	Schorpioenen (orde)
ફિફા વિશ્વ કપ	Wereldkampioenschap voetbal
બર્મિંગહામ સિટી ફૂટબૉલ ક્લબ	Birmingham City FC
બ્લેકબર્ન રોવર્સ ફૂટબૉલ ક્લબ	Blackburn Rovers FC
બર્નલી ફૂટબોલ ક્લબ	Burnley FC
ક્રિસ્ટલ પેલેસ ફૂટબોલ ક્લબ	Crystal Palace FC
ડર્બી કાઉન્ટી ફૂટબૉલ ક્લબ	Derby County FC
હલ સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Hull City AFC
લેસ્ટર સિટી ફૂટબૉલ ક્લબ	Leicester City FC
નોટિંગહામ ફોરેસ્ટ ફૂટબૉલ ક્લબ	Nottingham Forest FC
શેફિલ્ડ વેડન્ઝડે ફૂટબૉલ ક્લબ	Sheffield Wednesday FC
વોલ્વરહેમ્પ્ટન વેન્ડરર્સ ફૂટબૉલ ક્લબ	Wolverhampton Wanderers FC
વેબ શોધ એન્જીન	Zoekmachine
આલ્ક્લાઇન પાર્થિવ ધાતુ	Aardalkalimetaal
કોલા હોલ	Superdiep boorgat van Kola
અર્ધધાતુ	Metalloïde
પબ્લિક ડોમેન	Publiek domein
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Partido Independentista Puertorriqueño
થેમ્સ	Theems
નાતાલ	Kerstmis
લિપ વર્ષ	Schrikkeljaar
લેડી ગાગા	Lady Gaga
વાઘ	Tijger
સેમસંગ	Samsung Group
બીગલ	Beagle (hond)
કુર્કુટાકાર	Hoendervogels
ડુબકી કુટુંબ	Futen
ઑડિશા	Odisha
GFDL	GNU-licentie voor vrije documentatie
પંજાબ, ભારત	Punjab (India)
અક્ષાંશ-રેખાંશ	Geografische coördinaten
યુઇએફએ યૂરો ૨૦૧૨	Europees kampioenschap voetbal 2012
બેંક	Bank (financiële instelling)
આયરલેંડનું ગણતંત્ર	Ierland (eiland)
અઠવાડિયું	Week
હરણ	Hertachtigen
લસણ	Knoflook
કાકડી	Cucumis sativus
કાળો	Zwart (kleur)
ડુંગળી	Ui (plant)
નાસા	National Aeronautics and Space Administration
એટલાન્ટા, જ્યોર્જિયા	Atlanta
વેલિંગ્ટન	Wellington (stad in Nieuw-Zeeland)
૧૦ (અંક)	10 (getal)
પરમાણુ ક્રમાંક	Atoomnummer
ચિત્તો	Jachtluipaard
કસ્તુરી	Merel
વટાણા (વનસ્પતિ)	Erwt
કબુત	Blauwe reiger
ખજૂર	Dadelpalm
વંદો	Kakkerlakken
મૃદુકાય સમુદાય	Weekdieren
માછીમાર	Visarend
શેવાળ	Mossen
તારા માછલી	Zeesterren
સફેદ ઢોંક	Ooievaar
બાજ (પક્ષી)	Havik (vogel)
દસાડી	Meerkoet
આગિયો	Glimwormen
નાની ડુબકી	Dodaars
ચોટીલી ડુબકી	Fuut
જળ કાગડો	Aalscholver
સીંગપર (બતક)	Pijlstaart (vogel)
વિલાયતી પટ્ટાઇ	Blauwe kiekendief
અબલખ	Scholekster
થ્રશ કુટુંબ	Lijsters
પાન પટ્ટાઇ	Bruine kiekendief
કલવેતીયો	Kuifeend
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	Vlag van Georgië
શોબિગી	Gewone iora
ઉપગ્રહ પ્રક્ષેપણ યાન	Kunstmaan
યાક	Jak
પટ્ટી પટ્ટાઇ	Grauwe kiekendief
હમ્પી	Hampi
લવિંગ	Kruidnagel
કાચબરંગી	Steenloper
લક્ષદ્વીપ	Laccadiven
અશેળિયો	Tuinkers
કપાસી	Grijze wouw
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	Broeders in Christus
કાલિકોટ જિલ્લો, નેપાળ	Kalikot (district)
કૈલાલી જિલ્લો, નેપાળ	Kailali (district)
તજ	Kaneel
અમ્હારિક ભાષા	Amhaars
ચામાચિડિયું	Vleermuizen
અછામ જિલ્લો, નેપાળ	Achham
નુવાકોટ જિલ્લો, નેપાળ	Nuwakot (district)
અર્ઘખાંચી જિલ્લો, નેપાળ	Arghakhanchi
મનાંગ જિલ્લો, નેપાળ	Manang (district)
કાસ્કી જિલ્લો, નેપાળ	Kaski (district)
રુપનડેહી જિલ્લો, નેપાળ	Rupandehi (district)
પાલપા જિલ્લો, નેપાળ	Palpa (district in Nepal)
દૈલેખ જિલ્લો, નેપાળ	Dailekh (district)
સિંધુપાલચોક જિલ્લો, નેપાળ	Sindhulpalchok (district)
તનહઊ જિલ્લો, નેપાળ	Tanahu (district)
બાંકે જિલ્લો, નેપાળ	Banke (district)
સ્યાંગજા જિલ્લો, નેપાળ	Syangja (district)
ભક્તપુર જિલ્લો, નેપાળ	Bhaktapur (district)
ધાદિંગ જિલ્લો, નેપાળ	Dhading (district)
બરદિયા જિલ્લો, નેપાળ	Bardiya (district)
વાળ	Haar (zoogdier)
ગોરખા જિલ્લો, નેપાળ	Gorkha (district)
કાર્વેપાલનચોક જિલ્લો, નેપાળ	Kavrepalanchok (district)
સલ્યાન જિલ્લો, નેપાળ	Salyan (district in Nepal)
ગુલ્મી જિલ્લો, નેપાળ	Gulmi
કપિલવસ્તુ જિલ્લો, નેપાળ	Kapilvastu (district)
નવલપરાસી જિલ્લો, નેપાળ	Nawalparasi (district)
સુરખેત જિલ્લો, નેપાળ	Surkhet
મુગુ જિલ્લો, નેપાળ	Mugu (district)
રોલ્પા જિલ્લો, નેપાળ	Rolpa (district)
રસુવા જિલ્લો, નેપાળ	Rasuwa (district)
રુકુમ જિલ્લો, નેપાળ	Rukum (district)
જુમલા જિલ્લો, નેપાળ	Jumla (district)
હુમલા જિલ્લો, નેપાળ	Humla (district)
કોળિક્કોટ્	Kozhikode (stad)
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python (programmeertaal)
ઇસ્લામીક પંચાંગ	Islamitische kalender
ચકલી	Mussen
કંચનપુર જિલ્લો, નેપાળ	Kanchanpur (district)
લામજુંગ જિલ્લો, નેપાળ	Lamjung (district)
આસામીઝ ભાષા	Assamees
જાજરકોટ જિલ્લો, નેપાળ	Jajarkot (district)
મધર ટેરેસા	Moeder Teresa
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Vlag van Oost-Timor
હેણોતરો	Caracal (dier)
બ્લૉગ	Weblog
જલગાંવ	Jalgaon (hoofdstad)
ડેન્ગ્યુ	Dengue
ક્રિસમસ દ્વીપ	Christmaseiland
મોવેમ્બર	Movember
લોફ્ટસ રોડ સ્ટેડિયમ	Loftus Road
હાથોર્ન્સ	The Hawthorns
રાજાસોરસ	Rajasaurus
સ્ટેડિયમ ઓફ લાઈટ	Stadium of Light
મેષ રાશી	Ram (astrologie)
વર્જિન એટલાંટિક	Virgin Atlantic Airways
અમેરિકન એરલાઇન્સ	American Airlines
વૅલેન્શિયન	Valenciaans
ડોગરી ભાષા	Dogri
મલાલા યુસુફઝઈ	Malala Yousafzai
છત્તીસગઢી ભાષા	Chhattisgarhi
આર્મેનિયાનો રાષ્ટ્રધ્વજ	Vlag van Armenië
ભોજપુરી ભાષા	Bhojpuri
મુઘલ યુગ	Mogolrijk
સિકર	Sikar (stad)
ઇલાયચી	Kardemom
કાશ્મીરી ભાષા	Kasjmiri
ધ્રુવીય રીંછ	IJsbeer
કન્નડ ભાષા	Kannada
હાથ	Hand
ઓડિઆ ભાષા	Odia
નેપાળી ભાષા	Nepalees
વસ્તી	Bevolking
મણિપુરી ભાષા	Meitei (taal)
અસાઈ તાડ	Açaí
નેપાલ ભાષા	Nepalbhasa
સિંધી ભાષા	Sindhi (taal)
કાજુ	Kasjoeboom
ધોધ	Waterval
માખણ	Boter (zuivel)
પાબ્લો નેરુદા	Pablo Neruda
