Afrig	Afrika
Wàll:Xam-xam	Categorie:Wetenschap
Wàll:Sinemaa	Categorie:Film
Wàll:Suuf	Categorie:Aarde
Wàll:Xibaar	Categorie:Informatie
Alfe	Alfeüs
Siin-Saalum	Sine-Saloum
Njàngale	Instructief
Aana	Anna (profetes)
Aser	Aser (persoon)
Mori	Slakdolf (naaldvis)
Tamxarit	Muharram
Wàll:Xeltu	Categorie:Filosofie
Wàll:Lislaam	Categorie:Islam
Aminadab	Amminadab
Fëtt	Pseudotolithus
Betani bu Yerusalem	Al-Eizariya
Betfase	Bethfagé
Ndiané	Koningskapiteinvis
Ba Ria	Bà Rịa (stad)
Djabar	Lutjanus agennes
Benedicta Boccoli	Benedicta Boccoli
Fötö	Pseudotolithus typus
Thiékem	Galeoides decadactylus
Wolof	Wolof
Wàll:Junj	Categorie:Wikipedia:Beginnetje
Wàll:Gox yi	Categorie:Continent
Bunt:Melosuuf	Portaal:Geografie
Mikroneesi	Micronesië
Adaramit	Adramyttium
Anna Rita Del Piano	Anna Rita Del Piano
Royuwaay:M	Sjabloon:Tl
Royuwaay:Yeneenlàkk	Sjabloon:Hoofdpagina - andere talen
Wàll:Réew	Categorie:Land
Wàll:Koom-koom	Categorie:Economie
Wikipedia:Yorkat	Wikipedia:Moderator
Wàll:Kasakistaan	Categorie:Kazachstan
Wikipedia:Bureaucrats	Wikipedia:Bureaucraat
Wikipedia:Bot	Wikipedia:Bots
Wàll:Paj	Categorie:Geneeskunde
Wàll:Politig	Categorie:Politiek
Wàll:Fànn	Categorie:Kunst
Isipt	Egypte (land)
Royuwaay:Bot	Sjabloon:Bot
Kanadaa	Canada
Wàll:Beljik	Categorie:België
Wàll:Ciipër	Categorie:Cyprus
Wàll:Réewum Cek	Categorie:Tsjechië
Wàll:Danmaark	Categorie:Denemarken
Wàll:Estooni	Categorie:Estland
Wàll:Finlaand	Categorie:Finland
Wàll:Girees	Categorie:Griekenland
Wàll:Letóoni	Categorie:Letland
Wàll:Islaand	Categorie:IJsland
Wàll:Luksambuur	Categorie:Luxemburg (land)
Wàll:Lituwaani	Categorie:Litouwen
Wàll:Malt	Categorie:Malta
Wàll:Suweed	Categorie:Zweden
Wàll:Eslowaaki	Categorie:Slowakije
Wàll:Esloweeni	Categorie:Slovenië
Wàll:Tugal	Categorie:Europa
Wommatiinu mbëj	Soortelijke geleidbaarheid
Wàll:Waa-wikipedia ci làkk-ak-làkk	Categorie:Wikipedia:Babel
Royuwaay:Softredirect	Sjabloon:Softredirect
Royuwaay:Far	Sjabloon:Nuweg
Wàll:Làkk	Categorie:Taal
Wàll:Arminaat	Categorie:Kalender
Wàll:Wikipedia	Categorie:Encyclopedie Wikipedia
Wàll:Barab bu tolluwaay bu njëkk	Categorie:Top level domain
Wàll:Afrig	Categorie:Afrika
Wàll:Sulet	Categorie:Juli
Wàll:Suwe	Categorie:Juni
Wàll:Mbëjfeppal	Categorie:Elektronica
Wàll:Leeral Biibël	Categorie:Bijbel
Wàll:Weeri at mi	Categorie:Maand
Royuwaay:Babel	Sjabloon:Babel
Royuwaay:Commons	Sjabloon:Commons
Royuwaay:Lien BA	Sjabloon:Link GA
Wàll:Xaralaymbëj	Categorie:Elektrotechniek
Royuwaay:ANG	Sjabloon:AO
Royuwaay:Junj	Sjabloon:Beginnetje
Royuwaay:Jëfandikukat af-1	Sjabloon:Gebruiker af-1
Royuwaay:Jëfandikukat ar-1	Sjabloon:Gebruiker ar-1
Royuwaay:Jëfandikukat eo-1	Sjabloon:Gebruiker eo-1
Royuwaay:Jëfandikukat da	Sjabloon:Gebruiker da
Royuwaay:Jëfandikukat da-1	Sjabloon:Gebruiker da-1
Royuwaay:Jëfandikukat eo-3	Sjabloon:Gebruiker eo-3
Royuwaay:Jëfandikukat eu	Sjabloon:Gebruiker eu
Royuwaay:Jëfandikukat et-1	Sjabloon:Gebruiker et-1
Royuwaay:Jëfandikukat es	Sjabloon:Gebruiker es
Royuwaay:Jëfandikukat en-3	Sjabloon:Gebruiker en-3
Royuwaay:Jëfandikukat el-1	Sjabloon:Gebruiker el-1
Royuwaay:Jëfandikukat en-1	Sjabloon:Gebruiker en-1
Royuwaay:Jëfandikukat en-2	Sjabloon:Gebruiker en-2
Royuwaay:Jëfandikukat eo-2	Sjabloon:Gebruiker eo-2
Royuwaay:Jëfandikukat en-4	Sjabloon:Gebruiker en-4
Royuwaay:Jëfandikukat fi	Sjabloon:Gebruiker fi
Royuwaay:Jëfandikukat es-4	Sjabloon:Gebruiker es-4
Royuwaay:Jëfandikukat en	Sjabloon:Gebruiker en
Royuwaay:Jëfandikukat es-1	Sjabloon:Gebruiker es-1
Royuwaay:Jëfandikukat fr-1	Sjabloon:Gebruiker fr-1
Royuwaay:Jëfandikukat ia-2	Sjabloon:Gebruiker ia-2
Royuwaay:Jëfandikukat hi-1	Sjabloon:Gebruiker hi-1
Royuwaay:Jëfandikukat hu	Sjabloon:Gebruiker hu
Royuwaay:Jëfandikukat id-3	Sjabloon:Gebruiker id-3
Royuwaay:Jëfandikukat io-3	Sjabloon:Gebruiker io-3
Royuwaay:Jëfandikukat it-3	Sjabloon:Gebruiker it-3
Royuwaay:Jëfandikukat ja-4	Sjabloon:Gebruiker ja-4
Royuwaay:Jëfandikukat sk	Sjabloon:Gebruiker sk
Royuwaay:Jëfandikukat tr	Sjabloon:Gebruiker tr
Royuwaay:Jëfandikukat ja	Sjabloon:Gebruiker ja
Royuwaay:Jëfandikukat ja-1	Sjabloon:Gebruiker ja-1
Royuwaay:Jëfandikukat it-1	Sjabloon:Gebruiker it-1
Royuwaay:Jëfandikukat fr	Sjabloon:Gebruiker fr
Wàll:Fewirie	Categorie:Februari
Wàll:Gunóor	Categorie:Insect
Wàll:Moldaawi	Categorie:Moldavië
Royuwaay:HRV	Sjabloon:CRO
Wàll:Aserbayjaan	Categorie:Azerbeidzjan
Wàll:Asi	Categorie:Azië
Wàll:Ciili	Categorie:Chili
Wàll:Lesoto	Categorie:Lesotho
Wàll:Jëfandikukat uk	Categorie:Wikipedia:Gebruiker uk
Wàll:Jëfandikukat uk-N	Categorie:Wikipedia:Gebruiker uk-M
Wàll:Maleesi	Categorie:Maleisië
Wàll:Football	Categorie:Voetbal
Royuwaay:Mod	Sjabloon:Modulo
Royuwaay:Jëfandikukat sv	Sjabloon:Gebruiker sv
Royuwaay:Jëfandikukat it	Sjabloon:Gebruiker it
Royuwaay:Jëfandikukat uk	Sjabloon:Gebruiker uk
Royuwaay:Jëfandikukat es-2	Sjabloon:Gebruiker es-2
Wàll:Jimbulang	Categorie:Encyclopedie
Royuwaay:Bataaxalu dalal-jàmm	Sjabloon:Hola
Royuwaay:Weer	Sjabloon:Navigatie maanden
Royuwaay:USA	Sjabloon:US
Royuwaay:ITA	Sjabloon:IT
Royuwaay:GEO	Sjabloon:GE
Royuwaay:BOL	Sjabloon:BO
Royuwaay:MEX	Sjabloon:MX
Wàll:Jëfandikukat fr-1	Categorie:Wikipedia:Gebruiker fr-1
Royuwaay:MAR	Sjabloon:MA
Royuwaay:MDK	Sjabloon:MG
Royuwaay:ISBN	Sjabloon:ISBN
Royuwaay:SVK	Sjabloon:SK
Royuwaay:EGY	Sjabloon:EG
Royuwaay:KGZ	Sjabloon:KG
Royuwaay:MYT	Sjabloon:YT
Royuwaay:Infobox Réew	Sjabloon:Infobox land
Royuwaay:Max	Sjabloon:Max
Royuwaay:STP	Sjabloon:ST
Royuwaay:VEN	Sjabloon:VE
Royuwaay:UKR	Sjabloon:UA
Royuwaay:ROU	Sjabloon:RO
Royuwaay:TUR	Sjabloon:TUR
Royuwaay:JBT	Sjabloon:DJ
Wàll:Gana	Categorie:Ghana
Wàll:Jëfandikukat en-4	Categorie:Wikipedia:Gebruiker en-4
Wàll:Togóo	Categorie:Togo
Wàll:Jëfandikukat en	Categorie:Wikipedia:Gebruiker en
Wàll:Jëfandikukat zh	Categorie:Wikipedia:Gebruiker zh
Wàll:Korwaasi	Categorie:Kroatië
Wàll:Jëfandikukat zh-N	Categorie:Wikipedia:Gebruiker zh-M
Wàll:Jëfandikukat en-2	Categorie:Wikipedia:Gebruiker en-2
Royuwaay:Jëfandikukat zh	Sjabloon:Gebruiker zh
Royuwaay:Jëfandikukat ru-4	Sjabloon:Gebruiker ru-4
Royuwaay:Coord/URL	Sjabloon:MapsServer
Royuwaay:Jëfandikukat nl-1	Sjabloon:Gebruiker nl-1
Royuwaay:Jëfandikukat nl-2	Sjabloon:Gebruiker nl-2
Wàll:Jëfandikukat hi	Categorie:Wikipedia:Gebruiker hi
Royuwaay:Jëfandikukat ru	Sjabloon:Gebruiker ru
Wàll:Aamerig	Categorie:Amerika
Royuwaay:Boyutu Babel N	Sjabloon:BabelM
Royuwaay:Boyutu Babel 1	Sjabloon:Babel1
Royuwaay:KPW	Sjabloon:CV
Royuwaay:Jëfandikukat pt-1	Sjabloon:Gebruiker pt-1
Wàll:Samwie	Categorie:Januari
Royuwaay:Jëfandikukat pl	Sjabloon:Gebruiker pl
Royuwaay:Jëfandikukat nl	Sjabloon:Gebruiker nl
Royuwaay:TJK	Sjabloon:TJ
Royuwaay:Jëfandikukat no-2	Sjabloon:Gebruiker no-2
Royuwaay:Coord	Sjabloon:Coor title dms
Royuwaay:GAN	Sjabloon:GH
Royuwaay:GAM	Sjabloon:GM
Royuwaay:IDN	Sjabloon:ID
Royuwaay:AFB	Sjabloon:ZA
Royuwaay:CcTLD	Sjabloon:Navigatie landelijke topleveldomeinen
Royuwaay:POL	Sjabloon:PL
Royuwaay:BOA	Sjabloon:BW
Royuwaay:URY	Sjabloon:UY
Royuwaay:CUB	Sjabloon:CU
Royuwaay:KMR	Sjabloon:CM
Royuwaay:KOS	Sjabloon:CD
Royuwaay:BIH	Sjabloon:BA
Royuwaay:GIN	Sjabloon:GN
Royuwaay:FIN	Sjabloon:FI
Wàll:Cuub	Categorie:Schilderkunst
Royuwaay:CAN	Sjabloon:CA
Royuwaay:DNK	Sjabloon:DK
Royuwaay:Jëfandikukat	Sjabloon:Gebruikerspagina
Royuwaay:DEU	Sjabloon:DE
Royuwaay:BEN	Sjabloon:BJ
Royuwaay:SWE	Sjabloon:SE
Royuwaay:Boyutu Babel 4	Sjabloon:Babel4
Royuwaay:Jëfandikukat pl-1	Sjabloon:Gebruiker pl-1
Royuwaay:Jëfandikukat fr-3	Sjabloon:Gebruiker fr-3
Wàll:Tiniisi	Categorie:Tunesië
Royuwaay:JPN	Sjabloon:JP
Royuwaay:SOM	Sjabloon:SO
Royuwaay:VAT	Sjabloon:VA
Royuwaay:SWL	Sjabloon:SZ
Wàll:Suti	Categorie:Apparatuur
Royuwaay:ISL	Sjabloon:IS
Royuwaay:MOR	Sjabloon:MU
Royuwaay:COL	Sjabloon:CO
Royuwaay:GIB	Sjabloon:GW
Royuwaay:ERT	Sjabloon:ER
Royuwaay:GAR	Sjabloon:MR
Royuwaay:GAB	Sjabloon:GA
Royuwaay:IRN	Sjabloon:IR
Royuwaay:MAL	Sjabloon:ML
Royuwaay:SUD	Sjabloon:SD
Royuwaay:NAM	Sjabloon:NA
Royuwaay:RDA	Sjabloon:CF
Royuwaay:MKD	Sjabloon:MK
Royuwaay:GNY	Sjabloon:GQ
Royuwaay:KOM	Sjabloon:KM
Royuwaay:SAM	Sjabloon:ZM
Royuwaay:MLW	Sjabloon:MW
Royuwaay:TAN	Sjabloon:TZ
Royuwaay:KAZ	Sjabloon:KZ
Royuwaay:NIS	Sjabloon:NE
Royuwaay:KON	Sjabloon:CG
Royuwaay:SMR	Sjabloon:SM
Royuwaay:PER	Sjabloon:PE
Royuwaay:MOS	Sjabloon:MZ
Royuwaay:GUY	Sjabloon:GY
Royuwaay:ECP	Sjabloon:ET
Royuwaay:NIA	Sjabloon:NG
Royuwaay:SRB	Sjabloon:RS
Royuwaay:NIC	Sjabloon:NI
Royuwaay:LIA	Sjabloon:LR
Royuwaay:TKM	Sjabloon:TM
Royuwaay:LIB	Sjabloon:LY
Royuwaay:LES	Sjabloon:LS
Royuwaay:BUK	Sjabloon:BF
Royuwaay:CAD	Sjabloon:TD
Royuwaay:PRY	Sjabloon:PY
Royuwaay:ECU	Sjabloon:EC
Royuwaay:SEY	Sjabloon:SC
Royuwaay:SIR	Sjabloon:SL
Royuwaay:LTU	Sjabloon:LT
Royuwaay:IND	Sjabloon:IN
Royuwaay:Jëfandikukat is-1	Sjabloon:Gebruiker is-1
Royuwaay:Jëfandikukat en-5	Sjabloon:Gebruiker en-5
Wàll:Poortorikoo	Categorie:Puerto Rico
Wàll:Jëfandikukat ja-N	Categorie:Wikipedia:Gebruiker ja-M
Wàll:Royuwaay jëfëndikookat	Categorie:Wikipedia:Sjablonen Wikipedia-gebruikers
Royuwaay:CHE	Sjabloon:CH
Wàll:Suwaasilaand	Categorie:Swaziland
Wàll:Infobox	Categorie:Wikipedia:Sjablonen infobox
Royuwaay:Jëfandikukat yi-2	Sjabloon:Gebruiker yi-2
Royuwaay:ATG	Sjabloon:AG
Royuwaay:GRC	Sjabloon:GR
Royuwaay:PRT	Sjabloon:PT
Royuwaay:SIM	Sjabloon:ZW
Royuwaay:Jëfandikukat ksh	Sjabloon:Gebruiker ksh
Royuwaay:CZE	Sjabloon:CZ
Royuwaay:LVA	Sjabloon:LV
Royuwaay:AZE	Sjabloon:AZ
Royuwaay:MNE	Sjabloon:ME
Royuwaay:NLD	Sjabloon:NL
Royuwaay:GBR	Sjabloon:GB
Royuwaay:LIE	Sjabloon:LI
Royuwaay:MDA	Sjabloon:MD
Royuwaay:Boyutu Babel 3	Sjabloon:Babel3
Royuwaay:KOR	Sjabloon:KR
Royuwaay:Jëfandikukat it-2	Sjabloon:Gebruiker it-2
Royuwaay:SVN	Sjabloon:SI
Royuwaay:LBN	Sjabloon:LB
Royuwaay:FRA	Sjabloon:FR
Wàll:Mongoli	Categorie:Mongolië
Royuwaay:Gox	Sjabloon:Navigatie continenten en regio's van de wereld
Royuwaay:Jëfandikukat pt-3	Sjabloon:Gebruiker pt-3
Royuwaay:Jëfandikukat pt-2	Sjabloon:Gebruiker pt-2
Royuwaay:Jëfandikukat lb-1	Sjabloon:Gebruiker lb-1
Royuwaay:Jëfandikukat fr-4	Sjabloon:Gebruiker fr-4
Royuwaay:Jëfandikukat lv	Sjabloon:Gebruiker lv
Royuwaay:Jëfandikukat la-1	Sjabloon:Gebruiker la-1
Wàll:Réewum Maseduwaan	Categorie:Macedonië (land)
Wàll:Jëfandikukat sk	Categorie:Wikipedia:Gebruiker sk
Wàll:Jëfandikukat eo	Categorie:Wikipedia:Gebruiker eo
Wàll:Jëfandikukat et	Categorie:Wikipedia:Gebruiker et
Wàll:Jëfandikukat fr	Categorie:Wikipedia:Gebruiker fr
Wàll:Jëfandikukat hu-N	Categorie:Wikipedia:Gebruiker hu-M
Wàll:Jëfandikukat id	Categorie:Wikipedia:Gebruiker id
Wàll:Jëfandikukat ia	Categorie:Wikipedia:Gebruiker ia
Wàll:Jëfandikukat ja	Categorie:Wikipedia:Gebruiker ja
Wàll:Jëfandikukat la	Categorie:Wikipedia:Gebruiker la
Wàll:Jëfandikukat li	Categorie:Wikipedia:Gebruiker li
Wàll:Jëfandikukat pt	Categorie:Wikipedia:Gebruiker pt
Wàll:Jëfandikukat ro	Categorie:Wikipedia:Gebruiker ro
Wàll:Jëfandikukat sv	Categorie:Wikipedia:Gebruiker sv
Wàll:Jëfandikukat sw	Categorie:Wikipedia:Gebruiker sw
Wàll:Jëfandikukat vo	Categorie:Wikipedia:Gebruiker vo
Wàll:Jëfandikukat fr-3	Categorie:Wikipedia:Gebruiker fr-3
Wàll:Jëfandikukat it-3	Categorie:Wikipedia:Gebruiker it-3
Wàll:Jëfandikukat da-1	Categorie:Wikipedia:Gebruiker da-1
Wàll:Jëfandikukat et-1	Categorie:Wikipedia:Gebruiker et-1
Wàll:Jëfandikukat hi-1	Categorie:Wikipedia:Gebruiker hi-1
Wàll:Jëfandikukat li-1	Categorie:Wikipedia:Gebruiker li-1
Wàll:Jëfandikukat nl-1	Categorie:Wikipedia:Gebruiker nl-1
Wàll:Jëfandikukat pl-1	Categorie:Wikipedia:Gebruiker pl-1
Wàll:Jëfandikukat vo-1	Categorie:Wikipedia:Gebruiker vo-1
Wàll:Jëfandikukat ar-1	Categorie:Wikipedia:Gebruiker ar-1
Wàll:Jëfandikukat fr-4	Categorie:Wikipedia:Gebruiker fr-4
Wàll:Jëfandikukat it-4	Categorie:Wikipedia:Gebruiker it-4
Wàll:Jëfandikukat ar-4	Categorie:Wikipedia:Gebruiker ar-4
Wàll:Jëfandikukat fr-2	Categorie:Wikipedia:Gebruiker fr-2
Wàll:Jëfandikukat ia-2	Categorie:Wikipedia:Gebruiker ia-2
Wàll:Jëfandikukat it-2	Categorie:Wikipedia:Gebruiker it-2
Wàll:Jëfandikukat la-2	Categorie:Wikipedia:Gebruiker la-2
Wàll:Jëfandikukat nl-2	Categorie:Wikipedia:Gebruiker nl-2
Wàll:Jëfandikukat cs-N	Categorie:Wikipedia:Gebruiker cs-M
Wàll:Jëfandikukat fr-N	Categorie:Wikipedia:Gebruiker fr-M
Wàll:Jëfandikukat it-N	Categorie:Wikipedia:Gebruiker it-M
Wàll:Jëfandikukat lv-N	Categorie:Wikipedia:Gebruiker lv-M
Wàll:Jëfandikukat li-N	Categorie:Wikipedia:Gebruiker li-M
Wàll:Jëfandikukat nl-N	Categorie:Wikipedia:Gebruiker nl-M
Wàll:Jëfandikukat ru-N	Categorie:Wikipedia:Gebruiker ru-M
Wàll:Jëfandikukat sw-N	Categorie:Wikipedia:Gebruiker sw-M
Wàll:Jëfandikukat fr-5	Categorie:Wikipedia:Gebruiker fr-5
Wàll:Jëfandikukat eu-N	Categorie:Wikipedia:Gebruiker eu-M
Wàll:Jëfandikukat af	Categorie:Wikipedia:Gebruiker af
Wàll:Jëfandikukat af-1	Categorie:Wikipedia:Gebruiker af-1
Wàll:Jëfandikukat ar	Categorie:Wikipedia:Gebruiker ar
Wàll:Jëfandikukat bm	Categorie:Wikipedia:Gebruiker bm
Wàll:Jëfandikukat bm-1	Categorie:Wikipedia:Gebruiker bm-1
Wàll:Jëfandikukat ca	Categorie:Wikipedia:Gebruiker ca
Wàll:Jëfandikukat cs	Categorie:Wikipedia:Gebruiker cs
Wàll:Jëfandikukat da	Categorie:Wikipedia:Gebruiker da
Wàll:Jëfandikukat sk-N	Categorie:Wikipedia:Gebruiker sk-M
Wàll:Jëfandikukat de	Categorie:Wikipedia:Gebruiker de
Wàll:Jëfandikukat de-2	Categorie:Wikipedia:Gebruiker de-2
Wàll:Jëfandikukat de-3	Categorie:Wikipedia:Gebruiker de-3
Wàll:Jëfandikukat de-4	Categorie:Wikipedia:Gebruiker de-4
Wàll:Jëfandikukat de-N	Categorie:Wikipedia:Gebruiker de-M
Wàll:Jëfandikukat el	Categorie:Wikipedia:Gebruiker el
Wàll:Jëfandikukat el-1	Categorie:Wikipedia:Gebruiker el-1
Wàll:Jëfandikukat en-3	Categorie:Wikipedia:Gebruiker en-3
Wàll:Jëfandikukat en-5	Categorie:Wikipedia:Gebruiker en-5
Wàll:Jëfandikukat en-N	Categorie:Wikipedia:Gebruiker en-M
Wàll:Jëfandikukat eo-1	Categorie:Wikipedia:Gebruiker eo-1
Wàll:Jëfandikukat eo-2	Categorie:Wikipedia:Gebruiker eo-2
Wàll:Jëfandikukat eo-3	Categorie:Wikipedia:Gebruiker eo-3
Wàll:Jëfandikukat es	Categorie:Wikipedia:Gebruiker es
Wàll:Jëfandikukat es-1	Categorie:Wikipedia:Gebruiker es-1
Wàll:Jëfandikukat es-2	Categorie:Wikipedia:Gebruiker es-2
Wàll:Jëfandikukat es-3	Categorie:Wikipedia:Gebruiker es-3
Wàll:Jëfandikukat es-4	Categorie:Wikipedia:Gebruiker es-4
Wàll:Jëfandikukat es-N	Categorie:Wikipedia:Gebruiker es-M
Wàll:Jëfandikukat eu	Categorie:Wikipedia:Gebruiker eu
Wàll:Jëfandikukat fi	Categorie:Wikipedia:Gebruiker fi
Wàll:Jëfandikukat fi-N	Categorie:Wikipedia:Gebruiker fi-M
Wàll:Jëfandikukat hu	Categorie:Wikipedia:Gebruiker hu
Wàll:Jëfandikukat id-3	Categorie:Wikipedia:Gebruiker id-3
Wàll:Jëfandikukat io	Categorie:Wikipedia:Gebruiker io
Wàll:Jëfandikukat io-1	Categorie:Wikipedia:Gebruiker io-1
Wàll:Jëfandikukat io-3	Categorie:Wikipedia:Gebruiker io-3
Wàll:Jëfandikukat is	Categorie:Wikipedia:Gebruiker is
Wàll:Jëfandikukat is-1	Categorie:Wikipedia:Gebruiker is-1
Royuwaay:Jëfandikukat la-3	Sjabloon:Gebruiker la-3
Wàll:Jëfandikukat pt-3	Categorie:Wikipedia:Gebruiker pt-3
Wàll:Yonenti Lislaam	Categorie:Profeet uit de Koran
Wàll:Jëfandikukat pl-N	Categorie:Wikipedia:Gebruiker pl-M
Wàll:Jëfandikukat pt-1	Categorie:Wikipedia:Gebruiker pt-1
Wàll:Jëfandikukat ka-1	Categorie:Wikipedia:Gebruiker ka-1
Wàll:Jëfandikukat it	Categorie:Wikipedia:Gebruiker it
Wàll:Jëfandikukat it-1	Categorie:Wikipedia:Gebruiker it-1
Wàll:Jëfandikukat ja-1	Categorie:Wikipedia:Gebruiker ja-1
Wàll:Jëfandikukat ka	Categorie:Wikipedia:Gebruiker ka
Wàll:Jëfandikukat ko	Categorie:Wikipedia:Gebruiker ko
Wàll:Jëfandikukat ko-3	Categorie:Wikipedia:Gebruiker ko-3
Wàll:Jëfandikukat ksh	Categorie:Wikipedia:Gebruiker ksh
Wàll:Jëfandikukat ksh-N	Categorie:Wikipedia:Gebruiker ksh-M
Wàll:Jëfandikukat la-1	Categorie:Wikipedia:Gebruiker la-1
Wàll:Jëfandikukat la-3	Categorie:Wikipedia:Gebruiker la-3
Wàll:Jëfandikukat lb	Categorie:Wikipedia:Gebruiker lb
Wàll:Jëfandikukat lb-1	Categorie:Wikipedia:Gebruiker lb-1
Royuwaay:NOR	Sjabloon:NO
Royuwaay:BRA	Sjabloon:BR
Wàll:Nowembar	Categorie:November
Wàll:Jëfandikukat ru-1	Categorie:Wikipedia:Gebruiker ru-1
Royuwaay:Jëfandikukat sv-1	Sjabloon:Gebruiker sv-1
Wàll:Maars	Categorie:Maart
Wàll:Sattumbar	Categorie:September
Wàll:Jëfandikukat lv	Categorie:Wikipedia:Gebruiker lv
Royuwaay:TNI	Sjabloon:TN
Wàll:Oktoobar	Categorie:Oktober
Royuwaay:Boyutu Babel 2	Sjabloon:Babel2
Wàll:Xam-xamu nosukaay	Categorie:Informatiewetenschap
Wàll:Géej	Categorie:Zee
Wàll:Disambar	Categorie:December
Wàll:Ut	Categorie:Augustus
Wàll:Mee	Categorie:Mei
Wàll:Awril	Categorie:April
Wàll:Angila	Categorie:Anguilla
Royuwaay:LUX	Sjabloon:LU
Wàll:Endustri	Categorie:Industrie
Wàll:Ndox	Categorie:Water
Wàll:Taariixu Aamerig	Categorie:Geschiedenis van Amerika
Bunt:Diine	Portaal:Religie
Wàll:Belaarus	Categorie:Wit-Rusland
Royuwaay:MCO	Sjabloon:MC
Royuwaay:Jëfandikukat pt-4	Sjabloon:Gebruiker pt-4
Royuwaay:Jëfandikukat cs	Sjabloon:Gebruiker cs
Royuwaay:Jëfandikukat ru-2	Sjabloon:Gebruiker ru-2
Royuwaay:Jëfandikukat es-3	Sjabloon:Gebruiker es-3
Royuwaay:Jëfandikukat ko-3	Sjabloon:Gebruiker ko-3
Wàll:Jëfandikukat pt-2	Categorie:Wikipedia:Gebruiker pt-2
Wàll:Jëfandikukat pt-4	Categorie:Wikipedia:Gebruiker pt-4
Wàll:Jëfandikukat pt-N	Categorie:Wikipedia:Gebruiker pt-M
Wàll:Jëfandikukat ro-2	Categorie:Wikipedia:Gebruiker ro-2
Wàll:Jëfandikukat ru	Categorie:Wikipedia:Gebruiker ru
Wàll:Jëfandikukat ru-2	Categorie:Wikipedia:Gebruiker ru-2
Wàll:Jëfandikukat ru-4	Categorie:Wikipedia:Gebruiker ru-4
Wàll:Jëfandikukat sk-1	Categorie:Wikipedia:Gebruiker sk-1
Wàll:Jëfandikukat sv-1	Categorie:Wikipedia:Gebruiker sv-1
Wàll:Jëfandikukat sv-N	Categorie:Wikipedia:Gebruiker sv-M
Wàll:Jëfandikukat tr	Categorie:Wikipedia:Gebruiker tr
Wàll:Jëfandikukat tr-N	Categorie:Wikipedia:Gebruiker tr-M
Wàll:Jëfandikukat yi	Categorie:Wikipedia:Gebruiker yi
Wàll:Jëfandikukat yi-2	Categorie:Wikipedia:Gebruiker yi-2
Royuwaay:IRL	Sjabloon:IE
Royuwaay:ALB	Sjabloon:AL
Royuwaay:AND	Sjabloon:AD
Royuwaay:ARG	Sjabloon:AR
Royuwaay:ARM	Sjabloon:AM
Royuwaay:Jëfandikukat ca	Sjabloon:Gebruiker ca
Royuwaay:BUR	Sjabloon:BI
Royuwaay:BGR	Sjabloon:BG
Royuwaay:BHS	Sjabloon:BS
Royuwaay:BLR	Sjabloon:BY
Royuwaay:KOD	Sjabloon:CI
Royuwaay:CYP	Sjabloon:CY
Wàll:Melosuufug Tugal	Categorie:Geografie van Europa
Royuwaay:Xóotal	Sjabloon:Zie hoofdartikel
Royuwaay:EST	Sjabloon:EE
Royuwaay:RUS	Sjabloon:RU
Royuwaay:TOG	Sjabloon:TG
Royuwaay:AUT	Sjabloon:AT
Royuwaay:CHL	Sjabloon:CL
Royuwaay:CHN	Sjabloon:CN
Wàll:Angolaa	Categorie:Angola
Wàll:Bene	Categorie:Benin
Wàll:Botswana	Categorie:Botswana
Wàll:Burkinaa Faaso	Categorie:Burkina Faso
Wàll:Buruundi	Categorie:Burundi
Wàll:Jibuti	Categorie:Djibouti
Wàll:Gineg yamoo	Categorie:Equatoriaal-Guinea
Wàll:Eritere	Categorie:Eritrea
Wàll:Gaboŋ	Categorie:Gabon
Wàll:Gàmbi	Categorie:Gambia
Wàll:Kamerun	Categorie:Kameroen
Wàll:Keeñaa	Categorie:Kenia
Wàll:Komoor	Categorie:Comoren
Wàll:Libi	Categorie:Libië
Wàll:Madagaskaar	Categorie:Madagaskar
Wàll:Malawi	Categorie:Malawi
Wàll:Marok	Categorie:Marokko
Wàll:Gànnaar	Categorie:Mauritanië
Wàll:Mosambik	Categorie:Mozambique
Wàll:Namibi	Categorie:Namibië
Wàll:Ruwandaa	Categorie:Rwanda
Royuwaay:IRQ	Sjabloon:IQ
Wàll:Taariixu senegaal	Categorie:Geschiedenis van Senegal
Wàll:Diiney Senegaal	Categorie:Religie in Senegal
Wàll:Melosuufug Afrig gu Bëj-saalum	Categorie:Geografie van Zuid-Afrika
Royuwaay:Jëfandikukat ar-4	Sjabloon:Gebruiker ar-4
Wàll:Melosuufug Alseeri	Categorie:Geografie van Algerije
Royuwaay:Jëfandikukat la-2	Sjabloon:Gebruiker la-2
Royuwaay:Jëfandikukat li-1	Sjabloon:Gebruiker li-1
Royuwaay:Jëfandikukat pt	Sjabloon:Gebruiker pt
Royuwaay:Jëfandikukat ro-2	Sjabloon:Gebruiker ro-2
Royuwaay:Jëfandikukat ru-1	Sjabloon:Gebruiker ru-1
Royuwaay:Jëfandikukat sk-1	Sjabloon:Gebruiker sk-1
Royuwaay:Jëfandikukat zh-1	Sjabloon:Gebruiker zh-1
Royuwaay:Jëfandikukat zh-2	Sjabloon:Gebruiker zh-2
Royuwaay:Jëfandikukat zh-4	Sjabloon:Gebruiker zh-4
Wàll:Saambi	Categorie:Zambia
Wàll:Senegaal	Categorie:Senegal
Wàll:Seysel	Categorie:Seychellen
Wàll:Simbaawee	Categorie:Zimbabwe
