Āfrika	Afrika
Lajošs Košuts	Lajos Kossuth
The Offspring	The Offspring
Pripete	Pripjat (rivier)
Džozefs Henrijs	Joseph Henry
Velesa	Veles (Macedonië)
Čerņigova	Tsjernihiv
Čerkasi	Tsjerkasy
Gostivara	Gostivar
Gevgelija	Gevgelija
Kerča	Kertsj
Parastā vīrcele	Vlasbekje
Wir sind Helden	Wir sind Helden
Lielziedu uzpirkstīte	Grootbloemig vingerhoedskruid
Lajošs II Jagellons	Lodewijk II van Hongarije
Rotenburga/Oberlauzica	Rothenburg/Oberlausitz
Branko Crvenkovskis	Branko Crvenkovski
Cikadeju rinda	Palmvarens
Karolingu renesanse	Karolingische renaissance
Eiženija de Montiho	Eugénie de Montijo
Makijivka	Makijivka
Krivojroga	Kryvy Rih
Vācbaltieši	Baltische Duitsers
Vinnica	Vinnytsja
Lielā ceļteka	Grote weegbree
Vladislavs Špīlmans	Władysław Szpilman
Rasaskrēsliņi	Vrouwenmantel
Fernāns Ležē	Fernand Léger
Nova Sola	Nowa Sól
Citava	Zittau
Bathory (grupa)	Bathory (band)
Milorads Pavičs	Milorad Pavić (schrijver)
Araukārijas	Araucaria
Hannoveres dinastija	Huis Hannover
Arturi Ilmari Virtanens	Artturi Ilmari Virtanen
Bitola	Bitola
Harolds Kroto	Harold Kroto
Horļivka	Horlivka
Šternberga (Vācija)	Sternberg (Mecklenburg)
Roberts Solovs	Robert Solow
Austrijas ozols	Moseik
Stepans Bandera	Stepan Bandera
Broņislavs Geremeks	Bronisław Geremek
Šumava	Bohemer Woud
Romēns Garī	Romain Gary
Silverchair	Silverchair
Pļavas lapsaste	Grote vossenstaart
Ārstniecības brūnvālīte	Grote pimpernel
Meža vizbulis	Anemone sylvestris
Sofiko	Sopho Chalvasji
Goldensteitas @@@u0026Warriors"	Golden State Warriors
Vārpainā krauklene	Christoffelkruid
Parastais miežabrālis	Rietgras
Platlapu dzeguzene	Brede wespenorchis
Garlapu cefalantēra	Wit bosvogeltje
Sarkanā cefalantēra	Rood bosvogeltje
Smaržīgā naktsvijole	Welriekende nachtorchis
Vīru dzegužpuķe	Mannetjesorchis
Parastā ligzdene	Vogelnestje (plant)
Odu gimnadēnija	Grote muggenorchis
Heidars Alijevs	Heydər Aliyev
Reihenbaha/Oberlauzica	Reichenbach/O.L.
Dolina	Dolyna
Züri-Metzgete	Kampioenschap van Zürich
Ļeņinska-Kuzņecka	Leninsk-Koeznetski
Austrijas Marija Luīze	Marie Louise van Oostenrijk
Ļenska	Lensk
Zaļā dobziede	Groene nachtorchis
Gaiļbiksīte	Gulden sleutelbloem
Pavasara mazpurenīte	Gewoon speenkruid
Kodīgā gundega	Scherpe boterbloem
Pļavas gandrene	Beemdooievaarsbek
Walther P38	Walther P38
Vasilijs Čuikovs	Vasili Tsjoejkov
Zobenbrāļu ordenis	Orde van de Zwaardbroeders
Reihsvērs	Reichswehr
Nātru raibenis	Kleine vos
Loviss Korints	Lovis Corinth
Andrejs Vlasovs	Andrej Vlasov
Vasilijs Žukovskis	Vasili Zjoekovski
Purva bērzs	Zachte berk
Pundurbērzs	Dwergberk
Mihaels Andreass Barklajs de Tolli	Michael Andreas Barclay de Tolly
Baltalksnis	Witte els
Gustavs Husāks	Gustáv Husák
Lomonosova	Lomonosov (stad)
Čerņivci	Tsjernivtsi
Kristiāns VIII Oldenburgs	Christiaan VIII van Denemarken
Valdemārs II Estridsens	Waldemar II van Denemarken
Nikola Karabatičs	Nikola Karabatić
Saimons Retls	Simon Rattle
Ārstnieciskais baldriāns	Echte valeriaan
Parks (nozīmju atdalīšana)	Park (doorverwijspagina)
Zaporožje	Zaporizja
Vera Menčika	Vera Menchik
Purva sermulīte	Waterviolier
Daudzlapu airene	Italiaans raaigras
Aitu auzene	Festuca ovina
Zaļziedu naktsvijole	Bergnachtorchis
Ložņu saulenīte	Dennenorchis
Sīkplikstiņi	Arabidopsis
Lēzeļa lipare	Groenknolorchis
Āzijas Kauss futbolā	Aziatisch kampioenschap voetbal
Kārlis Štāmics	Karel Filip Stamic
Tutmoss III	Thoetmosis III
Folksšturms	Volkssturm
Garva	Garoua
Andreass Klēdens	Andreas Klöden
Kurts Mazurs	Kurt Masur
Let L-410 Turbolet	Let L-410 Turbolet
Marija Anna Mocarte	Maria Anna Mozart
Pāvels Beļajevs	Pavel Beljajev
Pīrsings	Piercing
Eikens	Aiken
Trejdaivu koraļļsakne	Koraalwortel
Ozolīšu saulkrēsliņš	Akeleiruit
Baobabi	Baobab
Belhatova	Bełchatów
Tomašova Mazovecka	Tomaszów Mazowiecki
Pjotrkova Tribunalska	Piotrków Trybunalski
Javožno	Jaworzno
Parastā kalme	Kalmoes
Kokas augs	Coca (plant)
Baltā lente	Das weiße Band
Purvāju vienlape	Eenblad
Svetozars Gligoričs	Svetozar Gligorić
V. E. B. Dūboiss	William Edward Burghardt Du Bois
Maksis Lībermanis	Max Liebermann
Gūtenberga bībele	Gutenbergbijbel
Zigmunds Baumans	Zygmunt Bauman
Mamonova	Mamonovo
Peļastu lapsaste	Duist (plant)
Villainā meduszāle	Gestreepte witbol
Sārtā bezlape	Bleke schubwortel
Deguma dzegužpuķe	Aangebrande orchis
Rāmalla	Ramallah
Viktorijas sala	Victoria-eiland
Tatjana Nikolajevna	Tatjana Nikolajevna van Rusland
Kid Rock	Kid Rock
Kromeržīža	Kroměříž
2012. gada Vācijas Grand Prix	Grand Prix Formule 1 van Duitsland 2012
951 Gaspra	Gaspra (planetoïde)
Dānijas Anna	Anna van Denemarken (1574-1619)
Elizabete Stjuarte	Elizabeth Stuart
Hlučīna	Hlučín
Žamberka	Žamberk
AEG	AEG
Divšķautņu asinszāle	Sint-janskruid
Kirovohrada	Kirovohrad
Mariss Jansons	Mariss Jansons
Vrbno pie Pradēda	Vrbno pod Pradědem
Biosfēras rezervāts	Biosfeerreservaat
Žagaņa	Żagań
Semjanovice Slonske	Siemianowice Śląskie
Jūdžīns Sernans	Eugene Cernan
Pekari Slonski	Piekary Śląskie
Feodosija	Feodosija
Dževdets Sunajs	Cevdet Sunay
Smaržīgais sausserdis	Tuinkamperfoelie
(I Can't Get No) Satisfaction	(I Can't Get No) Satisfaction
Parastā bārbele	Zuurbes
Pabjaņice	Pabianice
Marīna	Marine (schilderkunst)
Klinšu ozols	Wintereik
Leo Bēnhakers	Leo Beenhakker
Spānijas Marija Anna	Maria Anna van Spanje
Taisnleņķa trīsstūris	Rechthoekige driehoek
Tāla sīkplikstiņš	Zandraket
Peta Niksone	Pat Nixon
Parastā virza	Vogelmuur
Taisnā zarna	Endeldarm
Zeltainīšu dzimta	Lycaenidae
Ural	Oeral
Volkswagen Phaeton	Volkswagen Phaeton
Parastā liepa	Winterlinde
Meža sprigane	Groot springzaad
Albērs Lebrēns	Albert Lebrun
Meždurečenska	Mezjdoeretsjensk (oblast Kemerovo)
Olympia	Olympia
9x17 mm	.380 ACP
Luijs Nikolā Davū	Louis Nicolas Davout
Čīles araukārija	Slangenden
Radomsko	Radomsko
Berdičiva	Berdytsjiv
Maiks Hakabī	Mike Huckabee
Drohobiča	Drohobytsj
Jeremija	Jeremia (profeet)
Patriss de Makmahons	Patrice de Mac-Mahon
Čulalongkorns	Rama V
Karlušs I	Karel I van Portugal
Karloss Kastanjeda	Carlos Castaneda
Mušu ofrīda	Vliegenorchis
Prijanka Čopra	Priyanka Chopra
Aronijas	Appelbes (geslacht)
Jenss Novotnijs	Jens Nowotny
Alfrēds Penivorts	Alfred Pennyworth
Marks Švarcers	Mark Schwarzer
Brobergene	Brobergen
Nina Hāgena	Nina Hagen
Baijas federālā universitāte	Federale Universiteit van Bahia
Minasžeraisas tehnoloģiskās izglītības federālais centrs	Centro Federal de Educação Tecnológica de Minas Gerais
Endijs Kerols	Andy Carroll
Džemals Girsels	Cemal Gürsel
Temīda	Themis (mythologie)
Filipīnu jūra	Filipijnenzee
Amplitūda	Amplitude
Zilā kurpīte	Blauwe monnikskap
Alkīni	Alkyn
Santakrūza	Santa Cruz (Californië)
Gēnu inženierija	Genetische technologie
Līdzstrāva	Gelijkstroom
Čukču jūra	Tsjoektsjenzee
Arekipa	Arequipa (stad)
Santabarbara	Santa Barbara (Californië)
Aglomerācija	Agglomeratie
Brāļu draudzes	Evangelische Broedergemeente
Sams	Europese meerval
Pelējums	Beschimmeling
Akadēmiskā airēšana	Roeien (sport)
.com	.com
Standartnovirze	Standaardafwijking
Lokauts	Lock-out
Ģeopolitika	Geopolitiek
Rotšildi	Rothschild (familie)
Radiouztvērējs	Radio-ontvanger
.cs	.cs
Narvalis	Narwal
Paviāni	Bavianen
Faru	Faro (stad)
Albērvila	Albertville (Frankrijk)
Adžmāna	Ajman (emiraat)
Veslijs Klārks	Wesley Clark
Austrijas Holokausta memoriālais dienests	Oostenrijkse Herdenkingsdienst
Betele	Betelpeper
Sazvērestības teorija	Complottheorie
Pipari	Piper (geslacht)
Somālijas karogs	Vlag van Somalië
Koma	Coma (geneeskunde)
Augstais ailants	Hemelboom
Hugo Kapets	Hugo Capet
Džets Lī	Jet Li
Akcīze	Accijns
Boriss III Sakss-Koburgs-Gota	Boris III van Bulgarije
Aleksandrs I Batenbergs	Alexander I van Bulgarije
Tālmācība	Afstandsonderwijs
Harolds Godvinsons	Harold II van Engeland
Vladislavs Gomulka	Władysław Gomułka
Vļora	Vlorë (stad)
Džozefs Prīstlijs	Joseph Priestley
Františeks Palackis	František Palacký
Anna Leopoldovna	Elisabeth Catharina Christina van Mecklenburg-Schwerin
Absolūtais spožums	Absolute helderheid
Britu Kino un televīzijas mākslas akadēmija	British Academy of Film and Television Arts
Princis Alberts Viktors	Albert Victor, hertog van Clarence
2011. gada Pasaules čempionāts kalnu slēpošanā	Wereldkampioenschappen alpineskiën 2011
Pieteka	Zijrivier
Jirži no Podebradiem	George van Podiebrad
Valērijs Bikovskis	Valeri Bykovski
Citronskābe	Citroenzuur
Knuts	Knut (ijsbeer)
Glaukoma	Glaucoom
Patrīcija Kāsa	Patricia Kaas
Gilgamešs	Gilgamesj
Lenteņi	Lintwormen
Elektrostacija	Elektriciteitscentrale
Sanantonio @@@u0026Spurs"	San Antonio Spurs
Barioni	Baryon
Dūkstu grīslis	Slijkzegge
Nepālas karogs	Vlag van Nepal
Maunaloa	Mauna Loa
Nīderlandes Austrumindijas kompānija	Vereenigde Oostindische Compagnie
Kapučīno	Cappuccino
Mišela Feifere	Michelle Pfeiffer
Anno Domini	Anno Domini
Saimniecība	Economie (systeem)
Vasaras Olimpiskās spēles	Olympische Zomerspelen
Svētais Huberts	Hubertus van Luik
Paramount Pictures	Paramount Pictures
Camp Nou	Camp Nou
Dambriedis	Damhert
Kamerūnas karogs	Vlag van Kameroen
Stadio Olimpico	Olympisch Stadion (Rome)
Atlantas @@@u0026Hawks"	Atlanta Hawks
Rostokas universitāte	Universiteit van Rostock
Padekalē	Nauw van Calais (zeestraat)
Hiparhs	Hipparchus (astronoom)
Gidons Krēmers	Gidon Kremer
Baltais degunradzis	Witte neushoorn
Žozefs Prusts	Louis Joseph Proust
Murads III	Murat III
Krievijas—Japānas karš	Russisch-Japanse Oorlog
Tipogrāfija	Typografie
Valters Halšteins	Walter Hallstein
Fagots	Fagot
Tetraedrs	Viervlak
Pink	P!nk
ANO dalībvalstu uzskaitījums	Lidstaten van de Verenigde Naties
Ēna	Schaduw
Āfrikas bifelis	Kafferbuffel
Karaļa runa	The King's Speech
Salmi	Stro
Krēsla (filma)	Twilight (2008)
Konstantinopoles krišana	Beleg en val van Constantinopel (1453)
Bukera balva	Booker Prize
Līdzenums	Vlakte
Lācene	Kruipbraam
Parastais deviņvīruspēks	Koningskaars
Vīnlapu mežvītenis	Bosrank
Dzemdes kakla vēzis	Baarmoederhalskanker
Prado muzejs	Museo Nacional del Prado
Ūdenspipars	Waterpeper
Ai Veivei	Ai Weiwei
Aleksandrs III (pāvests)	Paus Alexander III
Mauthauzenes koncentrācijas nometne	Mauthausen (concentratiekamp)
Haims Sutins	Chaïm Soutine
Zemes stunda	Het Uur der Aarde
Marks Rotko	Mark Rothko
Cena (ekonomika)	Prijs (economie)
Varšavas geto sacelšanās	Opstand in het getto van Warschau
Anna I	Anna van Rusland
Osips Zadkins	Ossip Zadkine
Ruse	Roese (stad)
Honorijs III	Paus Honorius III
Meteorisms	Winderigheid
Ole Rēmers	Ole Rømer
Sulu jūra	Suluzee
Martins Heinrihs Klaprots	Martin Heinrich Klaproth
Ernans Krespo	Hernán Crespo
Stefanija Meiere	Stephenie Meyer
Pēteris II Romanovs	Peter II van Rusland
Metropoles mākslas muzejs	Metropolitan Museum of Art
Botsvanas karogs	Vlag van Botswana
Eiropas autoceļš E30	Europese weg 30
Deivids Rikardo	David Ricardo
Džons Rokfellers	John D. Rockefeller
Dzirde	Gehoor
.mf	.mf
Edinburgas universitāte	Universiteit van Edinburgh
Henrijs III Plantagenets	Hendrik III van Engeland
Austrijas ģerbonis	Wapen van Oostenrijk
Konvekcija	Convectie
Prospērs Merimē	Prosper Mérimée
Henrijs VI Lankasters	Hendrik VI van Engeland
Eduards IV Jorks	Eduard IV van Engeland
Roberts Kubica	Robert Kubica
Teofrasts	Theophrastus
Kaliksts III	Paus Calixtus III
Rietumu pasaule	Westerse wereld
Evandželīna Lilī	Evangeline Lilly
Kristalogrāfija	Kristallografie
Centrālparks	Central Park
Marians Rejevskis	Marian Rejewski
Sagas prefektūra	Saga (prefectuur)
Kolumbijas karogs	Vlag van Colombia
Džūds Lo	Jude Law
Krimas haniste	Kanaat van de Krim
Samsuna	Samsun (stad)
SMTP	Simple Mail Transfer Protocol
Andžela Deivisa	Angela Davis
Telnet	Telnet
Rudais gārnis	Purperreiger
Šarls Moriss de Taleirāns-Perigors	Charles-Maurice de Talleyrand
Sendenī	Saint-Denis (Seine-Saint-Denis)
Eisebijs	Paus Eusebius
Gustavs Dalens	Nils Gustaf Dalén
Čārlzs Barkla	Charles Glover Barkla
Bērts Lankasters	Burt Lancaster
Džeks Keruaks	Jack Kerouac
Džovanni Lorenco Bernīni	Gian Lorenzo Bernini
Iraklija	Iraklion (stad)
Ziemeļamerikas, Centrālamerikas un Karību reģiona futbola asociāciju konfederācija	CONCACAF
Mohameds Ali Džinna	Mohammed Ali Jinnah
Da Vinči kods (filma)	The Da Vinci Code (film)
Seismogrāfs	Seismograaf
Malduguns	Dwaallicht
Sējas melnsēklīte	Zwarte komijn
Mišela Bahmane	Michele Bachmann
Severodonecka	Sjevjerodonetsk
Utilitārisms	Utilitarisme
Ķecerība	Ketterij
Pasāts	Passaat
Inocents IV	Paus Innocentius IV
Skanderbegs	Skanderbeg
Kuprainais kalns	Brokeback Mountain
Alfrēds Rasels Volless	Alfred Russel Wallace
Riogrande	Rio Grande (Río Bravo)
Bērnu nams	Weeshuis
Londonas acs	London Eye
Maha skaitlis	Machgetal
Amhrán na bhFiann	Amhrán na bhFiann
Baltkrievijas rublis	Wit-Russische roebel
Vattenfall Cyclassics	Vattenfall Cyclassics
Hosē Rauls Kapablanka	José Raúl Capablanca
Lasāmatmiņa	Read-only memory
Li Aņs	Ang Lee
Tokusimas prefektūra	Tokushima (prefectuur)
Lomu spēle	Rollenspel (spel)
Abatija	Abdij
Skanderbeg	21. Waffen-Gebirgs-Division der SS Skanderbeg (albanische Nr. 1)
Delīrijs	Delier
Anna Paulovna	Anna Paulowna van Rusland
1962. gada FIFA Pasaules kauss	Wereldkampioenschap voetbal 1962
Braņevo	Braniewo (plaats)
Mareks Edelmans	Marek Edelman
Gambija (upe)	Gambia (rivier)
Holeras vibrions	Vibrio cholerae
Zviedrijas futbola izlase	Zweeds voetbalelftal
Daivspurzivis	Kwastvinnigen
Žubīšu dzimta	Vinkachtigen
Homonīms	Homoniem
Viljams Gladstons	William Ewart Gladstone
Zirgspēks	Paardenkracht
Čīles karogs	Vlag van Chili
Boicenburga pie Elbas	Boizenburg/Elbe
Spāņi	Spanjaarden
Celestīns I	Paus Celestinus I
Oderas—Neises līnija	Oder-Neissegrens
Dzeltenais vizbulis	Gele anemoon
Zilā vizbulīte	Leverbloempje
Leine	Leine (rivier)
Carta marina	Carta Marina
Baltais vizbulis	Bosanemoon
Melnā driģene	Bilzekruid
Alise (augs)	Schildzaad
Kava	Kava (plant)
Davids Silva	David Jiménez Silva
Dažādlapu araukārija	Araucaria heterophylla
Pols Reino	Paul Reynaud
Urbanizācija	Verstedelijking
2009. gada Vācijas Grand Prix	Grand Prix Formule 1 van Duitsland 2009
Deflācija	Deflatie
Karību jūras pirāti: Miroņa lāde	Pirates of the Caribbean: Dead Man's Chest
Ilkajs Gindogans	İlkay Gündoğan
Vladimirs Kramņiks	Vladimir Kramnik
Bezžokļaiņi	Kaakloze vissen
2012. gada Pasaules čempionāts biatlonā	Wereldkampioenschappen biatlon 2012
In-Grid	In-Grid
Purva dzeguzene	Moeraswespenorchis
Savelijs Tartakovers	Sawielly Tartakower
Kapa pučs	Kapp-putsch
Kārlis Šmits-Rotlufs	Karl Schmidt-Rottluff
Alčevska	Altsjevsk
Muskares	Druifhyacint
Zalkšu dzegužpuķe	Harlekijn (plant)
Parole	Wachtwoord
Mēklenburgas-Štrēlicas Šarlote	Charlotte van Mecklenburg-Strelitz
Ošlapu kļava	Vederesdoorn
Pigments	Pigment
Sefevīdi	Safawiden
Kārlis Heinrihs Grauns	Carl Heinrich Graun
Formaldehīds	Formaldehyde
Hitīns	Chitine
Berlīnes maratons	Marathon van Berlijn
Jaltas konference	Conferentie van Jalta
Skudrskābe	Mierenzuur
Volgas somu valodas	Fins-Wolgaïsche talen
Magnētiskās rezonanses tomogrāfija	MRI-scanner
Vācijas upju uzskaitījums	Lijst van rivieren in Duitsland
Atkarīgo teritoriju uzskaitījums	Afhankelijk gebied
Las Ketchup	Las Ketchup
Pienskābe	Melkzuur
Purva ozols	Moeraseik
Impulsa moments	Impulsmoment
Klipertona sala	Clipperton
Anglicisms	Anglicisme
1,2,3-Triazols	1,2,3-triazool
1,2,4-Triazols	1,2,4-triazool
Klaipēdas apgabals	Memelland
Orlando @@@u0026Magic"	Orlando Magic
Hjūstonas @@@u0026Rockets"	Houston Rockets
Parastais tamus	Spekwortel
Tiune Sugihara	Chiune Sugihara
Kibucs	Kibboets
Vadživaruds	Rama VI
Vienādranga tīkls	Peer-to-peer
Krievijas vēsture	Geschiedenis van Rusland
Pūkainais ozols	Donzige eik
Okeāns (mitoloģija)	Oceanus (god)
Absolūti melns ķermenis	Zwarte straler
Gruzīnu alfabēts	Georgisch alfabet
Oftalmoloģija	Oogheelkunde
Juvelierdarbs	Sieraad
Gulags	Goelag
Kagavas prefektūra	Kagawa (prefectuur)
Dihloretāns	1,2-dichloorethaan
Redinga	Reading (Engeland)
1,2-Propāndiols	Propyleenglycol
Privatizācija	Privatisering
Butadiēns	1,3-butadieen
1,3-Propāndiols	1,3-propaandiol
Permutācija	Permutatie
Ziemeļu linneja	Linnaeusklokje
Lielais mārsilu zilenītis	Tijmblauwtje
Karš un miers	Oorlog en vrede (boek)
Parastais zilenītis	Icarusblauwtje
Eiropas Ogļu un tērauda kopiena	Europese Gemeenschap voor Kolen en Staal
Kalifornijas Tehnoloģiju institūts	California Institute of Technology
1,6-Heksāndiols	1,6-hexaandiol
Havjers Maskerano	Javier Mascherano
Andromeda (mitoloģija)	Andromeda (mythologie)
Mislovice	Mysłowice
Čeladza	Czeladź
ADSL	Asymmetric Digital Subscriber Line
Astoņvainaglapu driāde	Zilverkruid
Purva atālene	Parnassia (soort)
Leņķiskais ātrums	Hoeksnelheid
Eiropas saulpurene	Europese trollius
Pļavas dedestiņa	Veldlathyrus
Japānas širmegle	Japanse parasolden
Japāņi	Japanners
Jirži Paroubeks	Jiří Paroubek
Patriss Lumumba	Patrice Lumumba
Harijs Poters un Nāves dāvesti: Pirmā daļa	Harry Potter en de Relieken van de Dood deel 1
Parastā purvmirte	Wilde gagel
Harijs Poters un Jauktasiņu Princis (filma)	Harry Potter en de Halfbloed Prins (film)
Katari	Katharen
Fregate	Fregat
Blusu sūrene	Perzikkruid
T.A.T.u.	T.A.T.u.
Pekausis	Tsjeboerasjka
Kriminoloģija	Criminologie
Komats	Komma
Rāvas gundega	Egelboterbloem
Gregors X	Paus Gregorius X
Ukrainas himna	Sjtsje ne vmerla Oekrajiny
Pamirs	Pamir
Ģeoķīmija	Geochemie
Aspergera sindroms	Syndroom van Asperger
Čerkasu apgabals	Oblast Tsjerkasy
1992. gada Eiropas čempionāts futbolā	Europees kampioenschap voetbal 1992
Džūlija Endrūsa	Julie Andrews
Resena	Resen (Macedonië)
Imperatorpingvīns	Keizerspinguïn
Vācijas eiro monētas	Duitse euromunten
Jāns Kross	Jaan Kross
Kazimežs Kuratovskis	Kazimierz Kuratowski
Hērons	Heron van Alexandrië
Henrijs IV Lankasters	Hendrik IV van Engeland
Selims II	Selim II
Audi A3	Audi A3
Lielbritānijas Karaliste	Koninkrijk Groot-Brittannië
Kameņa Pomorska	Kamień Pomorski
Žukovo	Żukowo
Garca/Rīgene	Garz/Rügen
Zlotorija	Złotoryja
Heopss	Chufu
Lesna	Leśna
Ilova	Iłowa
Soleca Kujavska	Solec Kujawski
Raiders Hešedāls	Ryder Hesjedal
Peņska	Pieńsk
Ouens Vilsons	Owen Wilson
Bjalogarda	Białogard
Nāve (tēls)	Magere Hein
Barta	Barth (stad)
Diakons	Diaken
Andrē Bretons	André Breton
Pomerānijas Ēriks	Erik VII van Denemarken
Helmno	Chełmno nad Wisłą
Slavno	Sławno (stad)
Līnija	Kromme
Džankoja	Dzjankoj
Krasnoperekopska	Krasnoperekopsk
Romni	Romny
Pols Allens	Paul Allen
Makedonska Broda	Makedonski Brod
Baltirbes	Lagopus
Bosnijas un Hercegovinas karogs	Vlag van Bosnië en Herzegovina
Eusebiu	Eusébio (voetballer)
Toreza	Torez
Miltiāds	Paus Miltiades
Maksis Pehšteins	Max Pechstein
Samoa salas	Samoa-eilanden
Mezosfēra	Mesosfeer (atmosfeer)
Niki Minaža	Nicki Minaj
Jonosfēra	Ionosfeer
Pulcēšanās brīvība	Vrijheid van vergadering
Terminators (filma)	The Terminator
Džefersons Deiviss	Jefferson Davis
Kuopio	Kuopio
Ernsts Augusts I Hanovers	Ernst August I van Hannover
Romiešu tiesības	Romeins recht
Itālijas kampaņa	Italiaanse veldtocht (Tweede Wereldoorlog)
Stetoskops	Stethoscoop
Džeina Greja	Jane Grey
Balkānu kampaņa	Balkanveldtocht
Amulets (seriāls)	Charmed (televisieserie)
Prāgas pavasaris	Praagse Lente
Allahābāda	Allahabad (stad)
Džini koeficients	Gini-coëfficiënt
Somijas himna	Maamme (Vårt land)
Kolins Fērts	Colin Firth
Merkantilisms	Mercantilisme
Dālderis	Daalder
Mehmeds VI	Mehmet VI
Ustjkamenogorska	Öskemen
Onkoloģija	Oncologie
Ultraskaņa	Ultrageluid
Zosims	Paus Zosimus
Dream Theater	Dream Theater
Pelagijs	Pelagius (monnik)
Augšdelma kauls	Opperarmbeen
Spānijas provinces	Provincies van Spanje
Saimons Kauels	Simon Cowell
Akadēmija	Academie
Neiromediatori	Neurotransmitter
Redze	Zien
Kramaļģes	Diatomeeën
Šaritē - Berlīnes Universitātes slimnīca	Charité (Berlijn)
Jemenas karogs	Vlag van Jemen
Kredītmenedžments	Kredietrisico
Neoliberālisms	Neoliberalisme
Drošsirdis	Braveheart (1995)
Angara	Angara (rivier)
Mažino līnija	Maginotlinie
Sofija Marso	Sophie Marceau
Bruņcepuru dzegužpuķe	Soldaatje
Dzeltenais saulkrēsliņš	Poelruit
Plaukstdators	Personal digital assistant
Melnaugļu aronija	Zwarte appelbes
Zilā kāpnīte	Jakobsladder (plant)
Kailā trūkumzālīte	Kaal breukkruid
Pegazs	Pegasus (mythologie)
Tīruma zilausis	Wilde ridderspoor
Parastā ūdensgundega	Fijne waterranonkel
Aragonas Katrīna	Catharina van Aragon
Atlants	Atlas (naslagwerk)
Sarmati	Sarmaten
Nitroglicerīns	Nitroglycerine
1929. gada Pasaules čempionāts šosejas riteņbraukšanā	Wereldkampioenschappen wielrennen 1929
Eiklīda ģeometrija	Euclidische meetkunde
Čārlzs Vilsons	Charles Thomson Rees Wilson
Foronīdi	Hoefijzerwormen
Elektrolīts	Elektrolyt
Zīmogs	Zegel (oorkonde)
Denveras @@@u0026Nuggets"	Denver Nuggets
Bleika Laivlija	Blake Lively
Ebersbaha-Neigersdorfa	Ebersbach-Neugersdorf
Klīvlendas @@@u0026Cavaliers"	Cleveland Cavaliers
Psiho	Psycho
Beščadu apriņķis	Powiat Bieszczadzki
Akrona	Akron (Ohio)
Olivjē Bereta	Olivier Beretta
Olga Aleksandrovna	Olga Aleksandrovna van Rusland
Difūzija	Diffusie
Beludžistāna (province)	Beloetsjistan (provincie)
Džesika Bīla	Jessica Biel
Eva Longorija	Eva Longoria
Tveras kņazi	Vorstendom Tver
Hersonas apgabals	Oblast Cherson
Hjū Grānts	Hugh Grant
Svešinieks (romāns)	De vreemdeling
Tjūringa mašīna	Turingmachine
Kanaāna	Kanaän (gebied)
Kongo Republikas karogs	Vlag van Congo-Brazzaville
Tesla	Tesla (eenheid)
Par Tēvzemi un Res Publica apvienība	Isamaa ja Res Publica Liit
Henrijs	Henry (eenheid)
Ezra Paunds	Ezra Pound
Post Office Protocol	Post Office Protocol
Viljams Šoklijs	William Shockley
Austrumsibīrijas jūra	Oost-Siberische Zee
Paklājs	Tapijt
Prolog	Prolog
Šarlotas @@@u0026Hornets"	Charlotte Bobcats
Jūras kapteinis	Kapitein-ter-zee
Soccer City	Soccer City
Austrijas futbola izlase	Oostenrijks voetbalelftal
Īrijas futbola izlase	Iers voetbalelftal
Nemaņa Vidičs	Nemanja Vidić
Ankora	Angkor (stad)
Counter Strike	Counter-Strike
Rubija	Meekrap
Ramenska	Ramenskoje
Odžu dzimta	Adders
Hosē Manuels Reina	José Manuel Reina
Bazilika	Basiliek
Goda leģiona ordenis	Legioen van Eer
Magdeburgas tiesības	Maagdenburgs recht
Ziemassvētku pamiers	Kerstbestanden
Bezpeļņas organizācija	Non-profit
Vinsona masīvs	Vinsonmassief
Mežrags	Hoorn (muziekinstrument)
Džiu džitsu	Jiujitsu
Latvijas futbola 1. līga	1. līga
Benedikts II	Paus Benedictus II
10,000 Days	10,000 Days (Tool)
Volvo	AB Volvo
Silīcija ieleja	Silicon Valley
Sintezators	Synthesizer
Tumšais bruņinieks	The Dark Knight
Desmitdienu karš	Tiendaagse Oorlog
10 000 metri	10.000 meter (atletiek)
10000 p.m.ē. (filma)	10,000 BC
Francisks Ksaverijs	Franciscus Xaverius
Komunistiskā Internacionāle	Komintern
Nazraņa	Nazran
Rafaels van der Vārts	Rafael van der Vaart
Aizkrūtes dziedzeris	Thymus (orgaan)
Emirates Stadium	Emirates Stadium
Aleksandrs Borodins	Aleksandr Borodin
Vērsis (zodiaka zīme)	Stier (astrologie)
Nove	Nowe
Santiago Bernabéu	Estadio Santiago Bernabéu
Hoseps Gvardiola	Josep Guardiola
Tjaņaņmeņas laukums	Plein van de Hemelse Vrede
Helena (mitoloģija)	Helena (mythologie)
Orānijas Morics	Maurits van Oranje
Meksikas futbola izlase	Mexicaans voetbalelftal
Depozīts	Muntschat
Tik Tok	TiK ToK
Brīnišķais prāts	A Beautiful Mind
Armīns Millers-Štāls	Armin Mueller-Stahl
Marks Vālbergs	Mark Wahlberg
ASV futbola izlase	Amerikaans voetbalelftal
Parlamenta pils	Parlementspaleis
Krēsla	Schemering
Fīniksas @@@u0026Suns"	Phoenix Suns
Ļvovas apgabals	Oblast Lviv
Parastā rudzusmilga	Grote windhalm
Naudiņu saulrozīte	Geel zonneroosje
Kavasaki	Kawasaki (stad)
Parastais vizulis	Bevertjes
