Naakaii Łizhiní Bikéyah	Afrika
Dilní bee Nidaʼanéhígíí	Muziekinstrument
Dééłgai	Cygnus (geslacht)
Bikááʼ náʼoobałí	Helikopter
Dziʼizítsoh	Motorfiets
Tééhoołtsódii	Nijlpaard
Séí	Zand
Naakaii Łizhiní Bikéyahdę́ę́ʼ náshdóítsoh łikizhígíí	Luipaard
Déélgééd	Neushoorns
Beeʼeldííl Dahsinil	Albuquerque
Hashkʼaan dootłʼizhí (babáayah)	Papaja
Chʼil łigaii (atʼééké bijish)	Wittekool
Náshdóítsoh	Poema
Ásáí dinéʼiʼ	Arabieren
Deeteel	Eland
Shádiʼááhdę́ę́ʼ náshdóítsoh łikizhígíí	Jaguar
Lókʼaatsoh	Bamboe
Káango (Ałtsʼáʼáztiin)	Congo
Kʼaiʼ	Wilg
Shash bizaʼazis hólóní	Koala
Náshdóí kʼos bee naashchʼąąʼígíí	Nevelpanter
Shashtsoh	Bruine beer
Łéʼétsoh	Rattus
Akʼáán	Meel
Mágítsoh	Gorilla's
Bitsįʼ yishtłizhii	Indianen
Chʼil akʼahí	Avocado
Neeshchʼííłbáhí	Pinda
Dzidzétsoh díkʼǫ́ǫzhii	Abrikoos
Naʼashǫ́ʼii łahgo ánééhé	Kameleons
Yootó	Santa Fe (New Mexico)
Łééchąąłgaii	Greyhound (hond)
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Dingo
Chʼééhjiyáán	Watermeloen
Teide	El Teide
Naʼastsʼǫǫsí	Mus (geslacht)
Hakʼaz bįįh	Rendier
Chʼosh doo yitʼínii	Micro-organisme
Táshchozhii	Zwaluwen (zangvogels)
Neeshchʼííʼ hááheeshchiiʼí	Amandelboom
Łóóʼ bigaan tseebíí	Octopoda
Chʼosh bikágí ntłʼizí	Krabben
Tábąąstííntsoh bideeʼ hólónígíí	Walrus
Mágí diʼilí	Orang-oetans
Atsátsoh	Steenarend
Łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí	Torpediniformes
Chʼil łitsxooí ntsxaaígíí	Grapefruit
Kʼíníjíłʼahí (dííshjį́ ááłjiní)	Kruisbes
Kʼaalógiiłgaígíí	Witjes (vlinders)
Naʼastsʼǫǫsí binááʼ áłtsʼíísígíí	Spitsmuizen
Dzaanééz	Muildier/muilezel
Tsinlátah shash łichíʼígíí	Kleine panda
Tsídii jáádnézí	Phoenicopterus
Tééh łééchąąʼí	Hyena's
Łóóʼtsoh dootłʼizhígíí	Blauwe vinvis
Sóól	Esdoorn (geslacht)
Aghaaʼ	Wol
Deesdoigi	Tropen (geografie)
Shádiʼááhdę́ę́ʼ tłʼízí	Lama (dier)
Mósíʼilí	Pers (kattenras)
Lókʼaatah mósí ałchiní	Moeraskat
Náátsʼózídę́ę́ʼ mósíłkizhii ałchinígíí	Bengaalse tijgerkat
Náshdóítʼą́ʼí łikizhígíí	Serval (katachtige)
Tábąąh béégashii	Waterbuffel
Béégashiitsoh naʼałkǫ́ǫ́ʼígíí	Lamantijnen
Hastiin Leiw Éíwiksson	Leif Eriksson
Akágí yitsʼǫǫsii	Bloedzuigers
Anáʼálwoʼ:TʼAN (FAQ)	Help:Veelgestelde vragen
Táłkááʼ tsʼin	Krokodillen
Chidítsoh	Vrachtauto
Gáagii	Corvus (geslacht)
Tó wónaanídę́ę́ʼ náshdóí	Euraziatische lynx
Jááłánii (bitsiitsʼiin nteelígíí)	Duizendpoten
Giní	Falco (geslacht)
Dahiitį́hii	Kolibries
Tsídii biyęęzhtsohígíí	Apteryx
Tązhii	Meleagris
Chʼosh (Bíígháán Ádaadinígíí)	Ongewervelden
Gáagii naashchʼąąʼígíí	Scharrelaars
Mąʼii	Coyote
Dah Naatʼaʼí Sǫʼ bił Sinil	The Star-Spangled Banner
Akʼah sisíʼí tsin	Eucalyptus
Mááya dinéʼiʼ	Maya's
Gahtsoh	Echte hazen
Bisóodi bíchį́į́h nineezí	Aardvarken
Sonora Hahoodzo	Sonora (staat)
Nahakʼízii	Krekels
Chaaʼ	Bevers (geslacht)
Chʼilzooł	Broccoli
Kááʼtsʼiní	Gordeldieren
Atsʼiis naałdzid	Longkanker
Béésh náábałí atsiniltłʼish ííłʼínígíí	Windturbine
Méhigo tééh	Vallei van Mexico
Shą́ą́ʼnahalghałí (naaldeehii)	Klipdasachtigen
Nahatʼeʼiitsoh łichíiʼii	Rode reuzenkangoeroe
Azeeniłchin	Lipbloemenfamilie
Chʼał	Kikkers
Tsxilghááh	Salamanders
Shádiʼááhdę́ę́ʼ atsátsoh	Harpij (roofvogel)
Shádiʼááhdę́ę́ʼ chʼał kʼaasdáhígíí	Pijlgifkikkers
Chʼał niłtólí	Glaskikkers
Chʼał dichʼízhí	Padden
Tónteel tsídiitsoh	Albatrossen
Chidí nadlééh	Cabriolet
Chʼał atʼąąʼ nahalinii	Megophryidae
Naashgalí	Mescalero (volk)
Bisóodi ałchiní	Wild zwijn
Naʼastsʼǫǫsí dóó Łéʼétsoh Danilínígíí	Muroidea
Mariner 10	Mariner 10
Sǫʼ łóóʼ bigaanézí	Slangsterren
Dághaałóóʼ	Meervalachtigen
Łóóʼtʼą́hí	Platvissen
Toohjįʼ ndiigaii	Amerikaanse kleine zilverreiger
Kʼaalógii bitseeʼ hólóní	Pages (vlinders)
Tó wónaanídę́ę́ʼ dlǫ́ʼiiłkizhii	Gevlekte bunzing
Díłdánii	Odontophoridae
Táłtłʼááh łį́į́ʼ	Zeepaardjes
Łóóʼ bíígháántsiighąąʼ ádaadinígíí	Slijmprikken
Béésh Sinil	Winslow (Arizona)
Achʼįʼ Náhiłtį́į́	Safford
Tó wónaanídę́ę́ʼ dzeeh	Edelhert
Tsézhin Deezʼáhí	St. Johns (Arizona)
Béésh Bá Hooghan	Globe (Arizona)
Kinłání (Hoozdoh Hahoodzo)	Flagstaff (Arizona)
Michoacán Hahoodzo	Michoacán de Ocampo
Tʼiisyaakin	Holbrook (Arizona)
Naʼníʼá Hótsaa	Page (Arizona)
Táłtłʼááh chʼosh daadánígíí	Garnalen
Mágíshzhin	Chimpansees
Łóóʼntsxaaí łikizhígíí	Walvishaai
Dlǫ́ʼii yił Aheedaałtʼéhígíí	Mangoesten
Béésh Bichʼahníí Bikéyahdę́ę́ʼ ayání	Wisent
Łóóʼtsoh bitsiiʼ dikʼání	Potvis
Waaʼ (dííshjį́ ááłjiní)	Spinazie
Néʼéshjaatsoh	Amerikaanse oehoe
Shádiʼááhdę́ę́ʼ tłʼízíʼilí	Alpaca (zoogdier)
Chʼosh ditłʼooí	Rups
Łóóʼ bigaan neeznání	Pijlinktvissen
Bijáád noodǫ́ǫzii	Okapi
Méhigo Hahoodzo	Mexico (staat)
Ayání	Amerikaanse bizon
Mąʼiiłgaii	Poolvos
Táłtłʼááh chʼosh chʼééh digháhii bideetsohígíí	Zeehazen
Gólízhii Danilínígíí	Stinkdieren
Táłtłʼááh adijiłii	Zee-egels
Nahachagii	Caelifera
Wóóneeshchʼįįdii (nahachaʼígíí)	Treksprinkhaan
Tsídiitsoh ditsʼozígíí	Emoe
Ałhaʼdeetʼaah	Overeenkomst (contract)
Naayééʼ tsídii	Archaeopteryx (dier)
Tsísʼná (bitłʼizh ííłʼínígíí)	Honingbijen
Chééwokii dinéʼiʼ	Cherokee (volk)
Tsin naaʼeeł hééł bee nágéhéʼ	Vrachtschip
Ałtį́į́ jikʼáshí áłtsʼózígíí (chʼil)	Heermoes
Yéigo ałhoshii	Slaapmuizen
Naʼashjéʼii bijéí dah łichíiʼii	Zwarte weduwe (spin)
Mágí dághaaʼígíí	Keizertamarin
Didzéłchííʼ	Ilex
Naałání	Comanche (volk)
Oozéí / Ayahkinii	Hopi (volk)
Toohjįʼ noołnahiitsoh	Reuzenreiger
Bidááʼ Haʼaztʼiʼ Tsékooh	Grand Canyon
Táłtłʼááh naʼashjéʼii	Waterspin
Táłtłʼááh tsisteełtsoh	Lederschildpad
Tsídii yáłtiʼí yázhí	Grasparkiet
Tábąąh mąʼii	Gewone wasbeer
Hołchʼíʼí	Brandnetel
Tsįdláád	Baardmos
Dáághahii dinéʼiʼ	Fransen
Shash łizhinígíí	Amerikaanse zwarte beer
Náshdóí bizaʼazis hólóní	Buidelwolf
Łeeyiʼ chʼosh	Lumbricina
Shash bitéélgaígíí	Aziatische zwarte beer
Chʼoshtʼą́hí	Platwormen
Hashtłʼish jeeshóóʼ	Lammergier
Jádí bíchį́į́htsohígíí	Saiga
Táłtłʼááh chʼoshtsoh chʼééh digháhii	Zeekomkommers
Chidí naatʼaʼí dilwoʼí	Jachtvliegtuig
Bíchį́į́h naatsʼǫǫdí	Tapirs
Tó wónaanídę́ę́ʼ mąʼii	Gewone jakhals
Chʼóshgai (tsin)	Witte spar
Łóóʼ Bigaan Dahólónígíí	Inktvissen
Naʼashǫ́ʼii łóóʼ	Palingachtigen
Dahbaʼ (tsin)	Fraxinus
Łóóʼ hashkéhétsoh	Witte haai
Neeshchʼííłchííʼ	Kastanje
Chį́į́hnézí nahatʼeʼígíí	Springspitsmuizen
Táłtłʼááh ayání	Doejong
Dibé Diníí Bikéyahdę́ę́ʼ náshdóí	Pardellynx
Maadíséloo	Monticello (Utah)
Kʼaiʼ Bił Hahazteel	Kanab
Toohjįʼ ndiigaiitsoh	Grote zilverreiger
Wóóneeshchʼįįdii	Zangcicaden
Dééshzhiin	Zwarte zwaan
Naakaii náásééł	Bidsprinkhanen
Dlǫ́ǫ́ʼ ntsxaaígíí	Capibara
Mąʼii bijaaʼtsohí	Fennek (vos)
Dilchaʼ	Marmotten
Náshdóí łibáhígíí	Rode lynx
Chʼilhaatʼaʼii	Smelleken
Tééh hóyáaniitsoh	Witte dolfijn
Jádí bideeʼ yisdizígíí	Impala
Náátsʼózídę́ę́ʼ mąʼiiłchííʼ	Aziatische wilde hond
Łóóʼtsoh bighą́ą́ʼ yílkʼidígíí	Bultrug
Ghą́ą́ʼnaakiskʼidii	Kameel
Tábąąh mąʼiiniiʼí	Wasbeerhond
Naʼazhǫǫsh (ndajiné dóó adazhdikaʼgi)	Casino (gokken)
Ndikʼąʼ	Behaarde katoen
Dlǫ́tʼą́ʼí	Stokstaartje
Azeeʼ hókániitsoh (chʼil daadánígíí)	Artisjok
Kéchwa dinéʼiʼ	Quichua (volk)
Mąʼii bizaʼazis hólóní	Tasmaanse duivel
Shash bítááʼłgaígíí	Brilbeer
Jádítsoh	Grote koedoe
Naatʼáanii Moctezuma II	Motecuhzoma II
Biwooʼ Ádaałtsʼíísígíí	Luiaards en miereneters
Ásáí dinéʼiʼ bikéyah	Arabische wereld
Shash yázhí	Maleise beer
Shash ndilnaʼii	Lippenbeer
Teeł	Lisdodde
Chʼódeenínii	Blauwspar
Łéʼétsoh yiljaaʼí	Boterbloem
Hakʼaz náshdóí	Canadese lynx
Mąʼii yił Ałhidanoolinígíí Yázhí	Kleine beren
Béésh Bichʼahii beʼakétłʼóól dijoolí	Koolrabi
Tłʼoh waaʼí nahalinígíí	Witte klaver
Tséʼésgízii	Gele ribes
Tábąąstííntsoh dághaaʼígíí	Baardrob
Atʼééké bijish yázhí	Spruitkool
Tsékooh	Kloof
Noodah	Agave (geslacht)
Łeeʼdoolʼeezí	Bremraapfamilie
Kinteel Bił Hahoodzo	San Juan County (New Mexico)
Beeʼeldííl Dahsinil Bił Hahoodzo	Bernalillo County
Aniłtʼánii	Netvleugeligen
Kʼaalógii bijáád dį́įʼii	Nymphalidae
Nímasii yiyání	Coloradokever
Awééʼchíʼí (chʼil)	Klokje
Taʼaghálii	Astragalus (geslacht)
Naaʼołí yiltʼąąʼí	Lathyrus
Azeeʼ ndootʼeezhí łibáhígíí	Malrove
Hastóí tsiiyéélí	Clematis
Chʼilátah atsʼos	Basterdwederik
Kʼish	Witte els
Dééłjáád	Krulzuring
Shį́náldzidí (chʼil bilátah hózhóón)	Leeuwenbek
Kʼįįʼ	Sumak (geslacht)
Naaztání	Valse christusdoorn
Táłkááʼbéésh	Sagittaria
Tsinyaa tłʼoh	Beemdgras
Tłʼééʼ yiigáhii	Teunisbloem
Tłʼoh deeskʼidí	Papegaaienkruid
Ndootʼeezhí	Bergamot (kruid)
Wóóseekʼidii	Pijlstaarten
Dzílí bíláshgaan	Reigersbek
Díkʼǫ́ǫ́zhí (chʼil)	Melde
Tʼąąʼdoolghasí	Zilverschoon
Teełikaní	Schorrenzoutgras
Láʼashdlaʼ	Vijfbladige wingerd
Tséghániłchʼi	Postelein
Zééʼiilwoʼii	Vossenstaart
Chéchʼil ntłʼizí yiltʼąąʼí	Mahonie (plant)
Tólchiintsoh	Moerasandoorn
Tséyaa hataałí	Koolraap
Tłʼohtsʼózí	Rus (geslacht)
Tłʼoh dichʼíízh	Zegge
Shashdą́ą́ʼ	Berberis
Tłʼoh waaʼítsoh	Witte honingklaver
Díkʼǫ́ǫ́zhí yiltʼąąʼí	Melganzenvoet
Bįįh yildeeʼí	Lampionplant
Kʼaalógii bitʼaʼ ndikʼąʼ nahalinígíí	Lycaenidae
Hosh niteelí	Opuntia
Chʼał nineezí	Amerikaanse brulkikker
Tééh hóyáanii bíchį́į́htsahí	Narwal
Mágí bíchį́į́htsohígíí	Bavianen
Bįįh łikizhígíí (Béésh Bichʼahníí Bikéyahdę́ę́ʼígíí)	Damhert
Tábąąh ayání	Kafferbuffel
Nátʼostsoh	Koningskaars
Teeł náyizí	Noordse rus
Tólchiin (chʼil)	Akkermunt
Dibé diníí dinéʼiʼ	Spanjaarden
Binaʼadaałtzózí	Japanners
Chʼil awoshí	Stekend loogkruid
Chʼil naamaasii	Witte amarant
Ahaditʼáán	Goudzuring
Yéʼiibeʼetsʼos	Zwenkdravik
Naazkaadí	Nerfamarant
Ostseʼ yiltʼąąʼí	Sofiekruid
Ostseʼ	Hongaarse raket
Azeediilchʼílii	Blauwe lupine
Bikétłʼóól názbąs	Beklierde basterdwederik
Łóóʼ bíchį́į́h nineezí	Zwaardvis
Łį́į́ʼ Ndahalinígíí	Paardachtigen
Binááʼ Ádaałtsʼózí bichʼil łigaií	Chinese kool
Azeedíchʼííʼ	Chilipeper
Kolíya Tááʼ Bikéyahą́ą	Drie koninkrijken van Korea
Łeehdoolʼeez łichííʼí	Rode biet
Hashkʼaantsoh yiltʼeesígíí	Bakbanaan
Iiʼnótʼį́į́	Infectie
Chʼah Diʼilii Bikéyahdę́ę́ʼ mósí ałchinígíí	Manoel
Tááʼyaʼniiltʼóshiiłbáhígíí	Grijze kardinaal
Jááłánii (bikágí ntłʼizígíí)	Miljoenpoten
Iichʼąhii ntsxaaígíí	Atlasvlinder
Łóóʼ ńdídzihígíí	Longvissen
Chʼíshiibeezhii	Mezen (vogels)
Giní jáádnézí	Secretarisvogel
Hakʼaz néʼéshjaaʼ	Sneeuwuil
Shádiʼááhdę́ę́ʼ jeeshóóʼ	Andescondor
Chidí naatʼaʼítsoh beeʼeldǫǫh bikǫʼ neiyéhé	Bommenwerper
Shash bighą́ąʼgi hadzíbáhí	Grizzlybeer
Kǫʼ naʼałbąąsii	Stoomlocomotief
Ndíyíliitsoh	Zonnebloem
Naaʼahóóhaiłkizhígíí	Parelhoenders
Tłʼiish yighání	Honingdas
Dadilhóni aheltłʼidígíí	Handgranaat
Naakaii Łizhiní Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Afrikaanse wilde hond
Aniłtʼánii (tʼááłaʼajínígoʼígíí)	Haften
Ayánítsoh bighą́ą́ʼaskʼidígíí	Gaur (rund)
Niinahnízaad	Nenahnezad
Máaz yikááʼ nandahí Spirit	Spirit (MER)
Hakʼaz giníłgaii	Giervalk
Tsétah jeeshóóʼ łibáhí	Vale gier
Tééh łééchąąʼí łikizhígíí	Gevlekte hyena
Tłʼízí ałchiní	Bezoargeit
Yaaʼ dóó chʼosh bíchį́į́h dadichʼízhí	Haakwormen
Beeʼeldǫǫh	Musket
Chʼosh bitsʼaʼígíí bigaan dahólónígíí	Armpotigen
Tʼąąʼdoolghasí (daadánígíí)	Andijvie
Dlǫ́ʼii (bílaʼashdlaʼii bilį́į́ʼ)	Fret (dier)
Łóóʼtsoh łibáhígíí	Grijze walvis
Chʼah Diʼilii Bikéyahdę́ę́ʼ atsátsoh	Steppearend
Yiisnááh	Krijgsgevangene
Dzeeh	Wapiti
Tsinlátahgi tsídii nahatʼeʼígíí	Muisvogels
Nátʼoh (chʼil)	Gewone tabaksplant
Tsé Nitsaa Deezʼáhí	Rock Point
Tsin naaʼeeł bee daʼahijighánígíí	Slagschip
Tsísʼná yiyání	Bijeneters
Bisóodi bizęęs dį́įʼii	Knobbelzwijn
Dlǫ́ʼiitsoh naalzheehígíí	Fretkat
Nahachagii biyázhí	Bladluizen
Naalkʼįhiitsoh	Huidvliegers
Łóóʼ naatʼaʼí	Vliegende vissen
Hakʼaz ayání	Muskusos
Tsétah gah	Fluithazen
Mąʼiitsoh bikʼos bineʼdę́ę́ʼ łizhinígíí	Manenwolf
Iichʼąhiitsʼósí	Schietmotten
Kéyah Dańlínídę́ę́ʼ atsátsoh	Apenarend
Tábąąstííntsoh bíchį́į́htsohígíí	Zeeolifanten
Łóóʼntsxaaí díníchʼahii	Reuzenhaai
Chʼosh yighání	Aardwolf
Mágí bitseeʼ noodǫ́zígíí	Ringstaartmaki
Táyiʼ chʼoshnézí	Snoerwormen
Dlǫ́tsʼósí łibáhígíí	Smalstreepmangoest
Tó naagoʼ	Druppel
Dlǫ́ʼiitsoh Danilínígíí	Civetkatachtigen
Mágí bigaanézí	Gibbons (mensaap)
Bílaneezii	Vingerdier
Séí mąʼii	Steppevos
Naalʼeełítsoh bitéél halchíʼí	Roodhalsgans
Tłʼízí bideeʼ yisdizígíí	Schroefhoorngeit
Jádí	Gaffelbok
Wónikǫsí	Phasmatodea
Tééh łééchąąʼí noodǫ́zígíí	Gestreepte hyena
Tsídiiłchxoní	Hoatzin (soort)
Táłtłʼááh chʼoshtʼą́hí bikááʼtsʼinígíí	Keverslakken
Mąʼii bighą́ąʼgi hadzíjiní	Zadeljakhals
Naakaii Łizhiní Bikéyahdę́ę́ʼ mąʼiiłchííʼ	Ethiopische wolf
Tsétah dibé	Dikhoornschaap
Dibé dóó Tłʼízí Ndahalinígíí	Bokken
Mágí bíchį́į́h dootłʼizhígíí	Mandril
Tó wónaanídę́ę́ʼ dibé ałchiní	Moeflon
Tsiighájíłchí	Cuscuta
Bįįhyázhí biwooʼnézí	Siberisch muskushert
Dzeeh łikizhígíí	Sikahert
Tábąąh mósí ałchiní	Vissende kat
Chį́į́h yee achʼiishíhii	Zaagvissen
Shádiʼááhdę́ę́ʼ hodíłchʼil mąʼii	Boshond
Hakʼaz mágí	Japanse makaak
Tsé Biiʼ Ndzisgaii	Monument Valley
Mágí bíchį́į́h niilyoolígíí	Neusaap
Shádiʼááhdę́ę́ʼ tsídiitsoh	Nandoe
Dáádílí łibáhígí	Bruine tandbaars
Náátsʼózídę́ę́ʼ mósíłtsxooí ałchinígíí	Aziatische goudkat
Łóóʼnteeltsoh	Maanvis (Mola)
Gaanłáníchilí dóó Gaanłání doo yitʼíinii	Zoetwaterpoliepen
Atłʼóóh	Weven
Chʼoshkʼaaʼ	Pijlwormen
Tábąąh bįįh	Chinese waterree
Hodíłchʼil jeeshóóʼ	Koningsgier
Dlǫ́ǫ́ʼ bitseetłʼooígíí	Chinchilla's
Achʼąąʼ adáʼatsʼiʼ	Inenting
Néʼéshjaaʼ bíńdáhii	Sperweruil
Bitseeʼ yee adiłhałii	Amerikaanse alligator
Jádítsoh noodǫ́zígíí	Bongo (antilope)
Níyolgi naatʼaʼígíí (tónteel tsídii)	Stormvogeltjes
Tádídíín yiyání	Bladhaantjes
Tsídiidaashiyishí	Ibissen
Yílnoodii (łóóʼ)	Sphyraena
Shádiʼááhdę́ę́ʼ łéʼétsoh bitseeʼ ádinígíí	Agoeti's
Chʼosh bitsʼaʼłáaʼii	Monoplacophora
Naʼashǫ́ʼii łóóʼ hashkéhé	Franjehaai
Jeeshóóʼ	Californische condor
Táłkááʼ chʼó	Kleine watereppe
Chʼosh dilwoʼígíí	Zandloopkevers (onderfamilie)
Chʼosh doo yitʼíinii bee nílʼíní	Microscoop
Tsin ditʼinii	Spermophilus
Joogii	Blauwe gaai
Łeeyiʼ nahakʼízii	Veenmollen
Náátsʼózídę́ę́ʼ naalʼeełí	Mandarijneend
Mąʼii bijaaʼabanígíí	Grootoorvos
Tsídiitsoh bikʼos dootłʼizhí	Casuarius
Atsiniltłʼish ííłʼíinii (naʼashǫ́ʼii łóóʼ)	Sidderaal
Dįʼ	Ruigpoothoenders
Niicháadii (łóóʼ)	Kogelvissen
Tééhoołtsódiichilí	Dwergnijlpaard
Kʼiiznoodǫ́ǫzii (tsin yigházhígíí)	Paca's
Wóláchííʼ yildeełítsoh	Reuzenmiereneter
Dibéʼniiʼí	Says phoebe
Bináʼadaałtsózí bitsin naaʼeeł	Jonk
Níłtsą́goʼ (bideeneezígíí)	Boktorren
Tséʼédǫ́ʼii bitsiinézí	Schorpioenvliegen (orde)
Tłʼohtahgi díłdánii yił aheełtʼéhii	Vechtkwartels
Łóóʼyiniʼįįhí (tónteel tsídii)	Jagers
Shádiʼááhdę́ę́ʼ tó hóyáanii	Orinocodolfijn
Naʼashǫ́ʼiitsoh	Iguana
Binaʼadaałtsózí dinéʼi	Oosten
Łóóʼ adishishí	Pijlstaartroggen
Tsin yąąh dzootʼihí	Boomklevers
Atʼaʼ yiltʼąąʼí dah sidáhígíí (chʼosh ntsxaaígíí)	Kokoskrab
Yółeehii	Vinarmigen
Tiníléí	Gilamonster
Dijádídlǫ́ʼí	Strandleeuwerik
Tłʼoh	Gazon (grasveld)
Dinas	Berendruif
Mąʼii bikʼiizgi hadzíjiní	Gestreepte jakhals
Yadiizį́įgo ayání	Gerenoek
Télii bijáád noodǫ́zí	Wilde ezel
Bitsʼáá bidaʼhodiʼniil	Tactiek van de verschroeide aarde
Mágíłchííʼ	Gouden leeuwaapje
Dááʼadeeʼii	Platalea
Łóóʼ hashkéhé bitsiiʼ dikʼání	Hamerhaaien
Taahilnoodii	Genten (vogels)
Kʼíneedlíshii adiłhashígíí	Vliegende herten
Łééh yidi tóʼígíí	Aquifer
Naʼashǫ́ʼiitsoh naʼałkǫ́ʼígíí	Zeeleguaan
Tsídiisháshii	Bombycilla
Yaaʼ bitsʼaʼígíí	Schildluizen
Daateel	Schuitbekreiger
Tééh łééchąąʼí ditsʼozígíí	Bruine hyena
Tsétaʼ łį́į́ʼ	Mustang (paard)
Kénézí	Jacana's
Neeshchʼííʼ	Pijnboompit
Naalʼeełítsoh yił aheełtʼéhii łizhin dóó łigaiígíí	Ekstergans
Mąʼii chʼil	Guldenroede
Yaadaaʼnézí (tónteel tsídii)	Rynchops
Tsídii disxǫsígíí	Glansvogels
Náátsʼózídę́ę́ʼ mósíłchíiʼii ałchinígíí	Borneogoudkat
Shádiʼááhdę́ę́ʼ tsétah mósí ałchinígíí	Bergkat
Tsinlátahgi dlǫ́ʼiitsoh	Beermarter
Jeeshóóʼ łizhinígíí	Zwarte gier
Naałʼashí	Vogelspinnen
Dééłdą́ą́ʼ	Adelaarsvaren
Hashkʼaan yildeełígíí (tsídii)	Toerako's
Łį́į́chilí	Shetlandpony
Daakʼį́į́ʼ	Numenius
Mąʼiiłtsooí łibáhígíí	Grijze vos
Naʼashǫ́ʼiitsoh dootłʼizhígíí	Groene leguaan
Chidí bikéíjį́ʼ adeizʼááhígíí	Pick-up (autotype)
Bįįh bitseełgaiígíí	Witstaarthert
Wónitłʼizí	Landpissebedden
Díʼdikii (jádí)	Dikdiks
Hakʼaz mąʼiitsoh	Poolwolf
Ndikʼąʼ biyaʼ	Katoensnuitkever
Tłʼoh naadą́ą́ʼ biyaʼ	Graanklander
Łeeyiʼ jááłániichilí	Pauropoda
Aniłtʼánii (bikʼosnézí)	Kameelhalsvliegen
Dlóóʼ binaalniih	Builenpest
Ááhooshtʼįįh	Capitulatie
Tséʼédǫ́ʼii dishooí	Zweefvliegen (dieren)
Tsáʼásziʼ dóó Noodah	Agavaceae
Tééh tsisteeł	Chelonioidea
Bichʼah Dootłʼizhii	Vredesoperatie
Dlǫ́ʼii łizhin dóó łitsooígíí	Maleise bonte marter
Chʼosh ałchozhii (chéłchaaʼ)	Spekkevers
Łeʼesoołii (bitseeʼ naakiígíí)	Dipluren
Dlǫ́ʼátsoh	Bosmarmot
Chʼééh digháhii dóó Tsisteeł	Schildpadden
Tááʼyaʼniiltʼóshii	Kardinaalachtigen
Łóóʼ bigaanłánígo bitsʼaʼígíí	Nautilidae
Łeʼesoołii (bitseeʼ tááʼígíí)	Franjestaarten
Tłʼézhii	Dazen
Tániilʼáítsʼóóz	Juffers
Aniłtʼániitsʼóóz	Mierenleeuwen
Tó wónaanídę́ę́ʼ hazéí bíchį́į́hnézí	Toepaja's
Hakʼaz gah	Poolhaas
Bįįh łikizhígíí (Naakaii Dootłʼizhii Bikéyahdę́ę́ʼígíí)	Axishert
Nahashchʼidí (naaldeehii)	Zilverdas
Bisóodi bideeʼ názhahígíí	Babiroessa's
Tsídii bichʼahtsooígíí	Dubbelhoornige neushoornvogel
Shádiʼááhdę́ę́ʼ bisóodi diʼilígíí	Pekari's
Náʼagéédí bizaʼazis hólóní	Buidelmollen
Bilagáana	Blanken
Tłʼézhiiłbáhí	Sluipvliegen
Jádítsoh diłhiłígíí	Nyala (antilope)
Jádítsoh bideeʼ shiyishígíí	Sabelantilope
Dlǫ́ʼiitsoh łikizhígíí	Afrikaanse civetkat
Tsinaʼayąʼii yildeełí	Numbat
Tsétah tłʼízí	Sneeuwgeit
Jááłániichilí bighádzígaiígíí	Symphyla
Gahchilí	Dwergkonijn
Tsiishgaii	Dwergboomklever
Dééłgai bitsiiʼ halzhinígíí	Zwarthalszwaan
Chʼosh nahachagii	Dwergcicaden
Hóółtseiigi naʼastsʼǫǫsí	Woestijnratten
Gaanłání	Ceriantharia
Tádídíín yiyání łichíʼígíí	Leliehaantje
Laanaa Yáʼátʼéehgo Késhmish	We wish you a merry Christmas
Naʼazǫ́ǫzii	Mierwespen
Jáád neishoodí (naʼashjéʼii haalzheehígíí)	Spinnendoders
Naalʼeełí bidaatsʼózí	Mergus
Naalʼeełí łizhinígíí	Melanitta
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ naalʼeełítsoh łibáhígíí	Hoendergans
Dahsánítsoh	Gewoon stekelvarken
Naʼastsʼǫǫsí bitseeʼ dichʼízhí	Stekelmuizen
Tsétah nahatʼeʼiitsoh	Rotskangoeroes
Táłkááʼ dilwoʼí	Schaatsenrijders
Akáshtʼóózh biyaʼ	Stofluizen
Łeʼesoołii (bideeʼ ádinígíí)	Proturen
Ąąʼąʼii	Pica (geslacht)
Jádí bideeʼ dį́įʼii	Vierhoornantilope
Táłtłʼááh chʼosh ntsxaaígíí	Japanse reuzenkrab
Mósí ałchiní bitsiiʼtʼąhígíí	Platkopkat
Naakaii Łizhiní Bikéyahdę́ę́ʼ naalʼeełítsoh dibéłchíʼígíí	Nijlgans
Hosh aditsahiitsoh	Saguaro (cactus)
Tʼáá łichíʼígo náʼagéédí	Naakte molrat
Tsisteeł łizhinígíí	Kolenbranderschildpad
Tééh jeeshóóʼ	Witruggier
Iichʼąhii noodǫ́zí	Hyles lineata
Atʼąąʼ nahalinii	Phylliidae
Ghą́ą́ʼnoodǫ́ǫzii (tsin yigházhígíí)	Pacarana
Łéʼétsoh beeniʼíhoniitaahígíí	Cavia's
Naʼashǫ́ʼii dichʼízhii	Padhagedissen
Chéłchaaʼ bikʼosnézí	Trachelophorus giraffa
Ásaaʼ neiyéhii	Oliekevers
Naʼashǫ́ʼiitsoh łitsooígíí	Galapagoslandleguaan
